date,equity_pc_ratio,total_pc_ratio,index_pc_ratio,etp_pc_ratio,vix_pc_ratio,spx_pc_ratio,oex_pc_ratio,mrut_pc_ratio,mxea_pc_ratio,mxef_pc_ratio,mxacw_pc_ratio,mxwld_pc_ratio,mxusa_pc_ratio,cbtx_pc_ratio,mbtx_pc_ratio,speqx_pc_ratio,speqw_pc_ratio,mgtn_pc_ratio,mgtnw_pc_ratio,equity_call,equity_put,equity_total,equity_oi_call,equity_oi_put,equity_oi_total,total_call,total_put,total_total,total_oi_call,total_oi_put,total_oi_total,index_call,index_put,index_total,index_oi_call,index_oi_put,index_oi_total,etp_call,etp_put,etp_total,etp_oi_call,etp_oi_put,etp_oi_total,vix_call,vix_put,vix_total,vix_oi_call,vix_oi_put,vix_oi_total,spx_call,spx_put,spx_total,spx_oi_call,spx_oi_put,spx_oi_total,source
2003-10-17,0.46,0.64,,,,,,,,,,,,,,,,,,1017225,463135,1480360,,,,1152086,733258,1885344,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2003-10-21,0.59,0.7,,,,,,,,,,,,,,,,,,648197,380941,1029138,,,,773759,540023,1313782,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2003-10-22,0.77,0.98,,,,,,,,,,,,,,,,,,541154,415498,956652,,,,663452,646991,1310443,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2003-10-23,0.72,0.85,,,,,,,,,,,,,,,,,,493194,354797,847991,,,,579837,493493,1073330,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2003-10-24,0.79,0.91,,,,,,,,,,,,,,,,,,567785,447421,1015206,,,,690948,630758,1321706,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2003-10-27,0.51,0.64,,,,,,,,,,,,,,,,,,435215,223098,658313,,,,512226,328592,840818,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2003-10-28,0.66,0.75,,,,,,,,,,,,,,,,,,563950,374757,938707,,,,713166,532300,1245466,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2003-10-29,0.53,0.58,,,,,,,,,,,,,,,,,,693158,364516,1057674,,,,809215,471246,1280461,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2003-10-30,0.7,0.81,,,,,,,,,,,,,,,,,,627894,439451,1067345,,,,725972,585376,1311348,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2003-10-31,1.03,1.12,,,,,,,,,,,,,,,,,,491689,504173,995862,,,,578348,647265,1225613,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
