date,value
2024-12-02,0.00
2024-12-03,0.00
2024-12-04,0.50
2024-12-05,0.00
2024-12-06,1.00
2024-12-09,0.00
2024-12-10,0.60
2024-12-11,0.00
2024-12-12,0.57
2024-12-13,0.67
2024-12-16,0.20
2024-12-17,0.60
2024-12-18,0.70
2024-12-19,1.00
2024-12-20,0.50
2024-12-23,0.64
2024-12-24,1.00
2024-12-26,0.37
2024-12-27,0.89
2024-12-30,6.00
2024-12-31,0.04
2025-01-02,0.60
2025-01-03,1.50
2025-01-06,3.00
2025-01-07,0.67
2025-01-08,0.67
2025-01-09,0.00
2025-01-10,1.00
2025-01-13,0.75
2025-01-14,1.57
2025-01-15,1.67
2025-01-16,1.00
2025-01-17,0.00
2025-01-21,0.65
2025-01-22,0.40
2025-01-23,0.38
2025-01-24,0.67
2025-01-27,0.57
2025-01-28,0.60
2025-01-29,0.56
2025-01-30,0.67
2025-01-31,0.60
2025-02-03,1.00
2025-02-04,0.00
2025-02-05,2.00
2025-02-06,0.00
2025-02-07,0.00
2025-02-10,0.00
2025-02-11,0.00
2025-02-12,1.00
2025-02-13,0.00
2025-02-14,0.00
2025-02-18,0.00
2025-02-19,6.00
2025-02-20,0.00
2025-02-21,0.00
2025-02-24,0.00
2025-02-25,0.00
2025-02-26,0.00
2025-02-27,0.00
2025-02-28,0.00
2025-03-03,0.00
2025-03-04,0.00
2025-03-05,0.00
2025-03-06,4.00
2025-03-07,0.00
2025-03-10,0.00
2025-03-11,0.00
2025-03-12,0.00
2025-03-13,0.00
2025-03-14,0.00
2025-03-17,0.00
2025-03-18,0.00
2025-03-19,0.00
2025-03-20,0.00
2025-03-21,0.00
2025-03-24,0.00
2025-03-25,0.00
2025-03-26,0.00
2025-03-27,0.00
2025-03-28,0.00
2025-03-31,0.00
2025-04-01,0.00
2025-04-02,2.00
2025-04-03,2.00
2025-04-04,0.00
2025-04-07,0.00
2025-04-08,0.00
2025-04-09,0.00
2025-04-10,0.00
2025-04-11,0.00
2025-04-14,0.00
2025-04-15,0.00
2025-04-16,0.00
2025-04-17,0.00
2025-04-21,0.00
2025-04-22,0.00
2025-04-23,4.00
2025-04-24,0.00
2025-04-25,0.00
2025-04-28,0.00
2025-04-29,0.00
2025-04-30,0.00
2025-05-01,0.00
2025-05-02,0.00
2025-05-05,0.00
2025-05-06,0.00
2025-05-07,0.00
2025-05-08,0.00
2025-05-09,0.00
2025-05-12,0.00
2025-05-13,0.00
2025-05-14,0.00
2025-05-15,0.00
2025-05-16,0.00
2025-05-19,0.00
2025-05-20,0.00
2025-05-21,0.00
2025-05-22,0.00
2025-05-23,0.00
2025-05-27,0.00
2025-05-28,0.00
2025-05-29,0.00
2025-05-30,2.00
2025-06-02,0.00
2025-06-03,0.00
2025-06-04,0.00
2025-06-05,2.00
2025-06-06,0.00
2025-06-09,0.00
2025-06-10,0.00
2025-06-11,1.00
2025-06-12,0.00
2025-06-13,0.00
2025-06-16,0.00
2025-06-17,0.00
2025-06-18,0.00
2025-06-20,0.00
2025-06-23,0.00
2025-06-24,0.00
2025-06-25,0.00
2025-06-26,0.00
2025-06-27,0.00
2025-06-30,0.60
2025-07-01,0.58
2025-07-02,0.25
2025-07-03,0.62
2025-07-07,0.55
2025-07-08,0.62
2025-07-09,0.57
2025-07-10,0.71
2025-07-11,0.00
2025-07-14,0.56
2025-07-15,0.61
2025-07-16,0.00
2025-07-17,0.60
2025-07-18,0.60
2025-07-21,0.61
2025-07-22,0.56
2025-07-23,0.00
2025-07-24,0.63
2025-07-25,0.00
2025-07-28,0.58
2025-07-29,0.65
2025-07-30,0.60
2025-07-31,0.01
2025-08-01,1.00
2025-08-04,0.61
2025-08-05,0.66
2025-08-06,0.59
2025-08-07,8.00
2025-08-08,0.73
2025-08-11,0.65
2025-08-12,0.55
2025-08-13,0.57
2025-08-14,0.51
2025-08-15,0.44
2025-08-18,0.61
2025-08-19,0.53
2025-08-20,0.59
2025-08-21,0.48
2025-08-22,0.25
2025-08-25,0.50
2025-08-26,0.64
2025-08-27,0.53
2025-08-28,0.95
2025-08-29,0.00
2025-09-02,0.63
2025-09-03,0.33
2025-09-04,0.63
2025-09-05,0.00
2025-09-08,0.44
2025-09-09,5.00
2025-09-10,0.61
2025-09-11,3.00
2025-09-12,1.00
2025-09-15,0.59
2025-09-16,0.33
2025-09-17,0.75
2025-09-18,49.00
2025-09-19,1.00
2025-09-22,0.60
2025-09-23,0.58
2025-09-24,1.00
2025-09-25,0.44
2025-09-26,1.33
2025-09-29,1.43
2025-09-30,0.60
2025-10-01,0.11
2025-10-02,0.50
2025-10-03,0.40
2025-10-06,6.00
2025-10-07,2.50
2025-10-08,0.57
2025-10-09,0.33
2025-10-10,2.25
2025-10-13,0.70
2025-10-14,0.00
2025-10-15,0.79
2025-10-16,7.00
2025-10-17,0.58
2025-10-20,4.00
2025-10-21,0.62
2025-10-22,0.00
2025-10-23,0.67
2025-10-24,1.00
2025-10-27,0.00
2025-10-28,3.00
2025-10-29,0.00
2025-10-30,1.00
2025-10-31,0.01
2025-11-03,2.00
2025-11-04,0.20
2025-11-05,0.71
2025-11-06,0.59
2025-11-07,0.67
2025-11-10,0.00
2025-11-11,2.00
2025-11-12,1.00
2025-11-13,0.61
2025-11-14,0.00
2025-11-17,0.40
2025-11-18,1.00
2025-11-19,1.00
2025-11-20,1.03
2025-11-21,0.92
2025-11-24,0.00
2025-11-25,1.04
2025-11-26,1.00
2025-11-28,0.01
2025-12-01,0.40
2025-12-02,0.17
2025-12-03,0.50
2025-12-04,0.58
2025-12-05,0.67
2025-12-08,2.00
2025-12-09,1.20
2025-12-10,1.00
