date,value
2003-10-17,1017225
2003-10-21,648197
2003-10-22,541154
2003-10-23,493194
2003-10-24,567785
2003-10-27,435215
2003-10-28,563950
2003-10-29,693158
2003-10-30,627894
2003-10-31,491689
2003-11-03,569931
2003-11-04,595255
2003-11-05,551267
2003-11-06,548140
2003-11-07,643147
2003-11-10,432969
2003-11-11,447950
2003-11-12,592174
2003-11-13,609893
2003-11-14,662739
2003-11-17,658441
2003-11-18,568928
2003-11-19,551508
2003-11-20,562395
2003-11-21,693747
2003-11-24,630412
2003-11-25,546189
2003-11-26,462159
2003-11-28,218810
2003-12-01,597095
2003-12-02,601278
2003-12-03,608963
2003-12-04,584895
2003-12-05,494881
2003-12-08,458933
2003-12-09,611586
2003-12-10,625605
2003-12-11,589907
2003-12-12,511771
2003-12-15,607936
2003-12-16,634957
2003-12-17,604679
2003-12-18,665543
2003-12-19,791236
2003-12-22,553240
2003-12-23,489783
2003-12-24,249030
2003-12-26,225065
2003-12-29,565058
2003-12-30,557304
2003-12-31,541039
2004-01-02,545682
2004-01-05,869787
2004-01-06,872664
2004-01-07,802874
2004-01-08,970355
2004-01-09,942691
2004-01-12,744167
2004-01-13,883197
2004-01-14,843879
2004-01-15,1148119
2004-01-16,1532818
2004-01-20,994208
2004-01-21,882847
2004-01-22,783191
2004-01-23,764989
2004-01-26,628069
2004-01-27,653867
2004-01-28,759350
2004-01-29,836300
2004-01-30,580051
2004-02-02,655778
2004-02-03,655186
2004-02-04,705234
2004-02-05,654226
2004-02-06,779861
2004-02-09,587594
2004-02-10,608761
2004-02-11,732913
2004-02-12,820594
2004-02-13,632241
2004-02-17,691467
2004-02-18,718617
2004-02-19,953805
2004-02-20,1046201
2004-02-23,782625
2004-02-24,708377
2004-02-25,621845
2004-02-26,607116
2004-02-27,528027
2004-03-01,360769
2004-03-02,597318
2004-03-03,508197
2004-03-04,547185
2004-03-05,556020
2004-03-08,634998
2004-03-09,637026
2004-03-10,695671
2004-03-11,675246
2004-03-12,563698
2004-03-15,520912
2004-03-16,543232
2004-03-17,721088
2004-03-18,607071
2004-03-19,677758
