date,value
2019-10-07,95341646
2019-10-08,96708472
2019-10-09,97927854
2019-10-10,98990871
2019-10-11,100382553
2019-10-14,98979986
2019-10-15,100342688
2019-10-16,101960584
2019-10-17,103847936
2019-10-18,105187324
2019-10-21,87485583
2019-10-22,89923695
2019-10-23,92168520
2019-10-24,93986012
2019-10-25,95707913
2019-10-28,93251470
2019-10-29,95522284
2019-10-30,97522006
2019-10-31,99272125
2019-11-01,100768303
2019-11-04,98168069
2019-11-05,100102714
2019-11-06,102017029
2019-11-07,103379622
2019-11-08,105293902
2019-11-11,103227142
2019-11-12,104821448
2019-11-13,106443648
2019-11-14,107909996
2019-11-15,109527700
2019-11-18,93078967
2019-11-19,95586864
2019-11-20,97545389
2019-11-21,99350230
2019-11-22,101381801
2019-11-25,99300763
2019-11-26,101300344
2019-11-27,102777928
2019-11-29,104097384
2019-12-02,101177217
2019-12-03,103179780
2019-12-04,104947357
2019-12-05,105918572
2019-12-06,107509938
2019-12-09,105450909
2019-12-10,107284395
2019-12-11,108721509
2019-12-12,110198337
2019-12-13,111908146
2019-12-16,110195074
2019-12-17,111434450
2019-12-18,112531066
2019-12-19,113740607
2019-12-20,115028237
2019-12-23,95369707
2019-12-24,97463737
2019-12-26,98283572
2019-12-27,99559959
2019-12-30,97498596
2019-12-31,98881644
2020-01-02,99728964
2020-01-03,101339099
2020-01-06,100297440
2020-01-07,102369165
2020-01-08,104330680
2020-01-09,105870860
2020-01-10,107770354
2020-01-13,106292032
2020-01-14,108326970
2020-01-15,110348319
2020-01-16,112136258
2020-01-17,113685048
2020-01-21,68671139
2020-01-22,71956185
2020-01-23,74493468
2020-01-24,76768162
2020-01-27,74489436
2020-01-28,76989734
2020-01-29,79242022
2020-01-30,81442004
2020-01-31,83244143
2020-02-03,79698559
2020-02-04,82051463
2020-02-05,84583235
2020-02-06,86931923
2020-02-07,88669821
2020-02-10,86169418
2020-02-11,88710305
2020-02-12,90951483
2020-02-13,93256070
2020-02-14,95010528
2020-02-18,92354472
2020-02-19,94526437
2020-02-20,96681271
2020-02-21,98853205
2020-02-24,80858713
2020-02-25,83717403
2020-02-26,86189525
2020-02-27,88537769
2020-02-28,90913383
2020-03-02,87809848
2020-03-03,90283135
2020-03-04,92224391
2020-03-05,94277825
2020-03-06,96269331
2020-03-09,93730538
2020-03-10,95683868
2020-03-11,97648780
2020-03-12,99571788
2020-03-13,100930693
2020-03-16,98292572
2020-03-17,99794045
2020-03-18,101476322
2020-03-19,103258480
2020-03-20,104490936
2020-03-23,78571562
2020-03-24,80789172
2020-03-25,82913210
2020-03-26,84785940
2020-03-27,86897112
2020-03-30,84500315
2020-03-31,86417240
2020-04-01,88026690
2020-04-02,89385920
2020-04-03,91297112
2020-04-06,89270288
2020-04-07,91467321
2020-04-08,93199645
2020-04-09,94855468
2020-04-13,93503613
2020-04-14,95522697
2020-04-15,96716100
2020-04-16,99198018
2020-04-17,101232420
2020-04-20,81186705
2020-04-21,84081647
2020-04-22,86083561
2020-04-23,88111533
2020-04-24,90212256
2020-04-27,88051208
2020-04-28,90768753
2020-04-29,92864370
2020-04-30,95292178
2020-05-01,97157716
2020-05-04,94238645
2020-05-05,96521551
2020-05-06,98428753
2020-05-07,100202028
2020-05-08,102062673
2020-05-11,99490204
2020-05-12,102573869
2020-05-13,104606225
2020-05-14,106729765
2020-05-15,108696761
2020-05-18,90751541
2020-05-19,94691876
2020-05-20,97000088
2020-05-21,99807926
2020-05-22,101983609
2020-05-26,99566874
2020-05-27,102365158
2020-05-28,105050709
2020-05-29,107215795
2020-06-01,104407250
2020-06-02,107170503
2020-06-03,109599644
2020-06-04,111485059
2020-06-05,114669864
2020-06-08,113069453
2020-06-09,117544233
2020-06-10,120675235
2020-06-11,123261561
2020-06-12,125722428
2020-06-15,121632653
2020-06-16,124275366
2020-06-17,126245497
2020-06-18,128040827
2020-06-19,130094933
2020-06-22,99539419
2020-06-23,103173257
2020-06-24,106022120
2020-06-25,108515180
2020-06-26,111038416
2020-06-29,106853427
2020-06-30,109503825
2020-07-01,111863398
2020-07-02,113677292
2020-07-06,111849168
2020-07-07,114541609
2020-07-08,116870059
2020-07-09,119307150
2020-07-10,121762888
2020-07-13,119299812
2020-07-14,122123581
2020-07-15,124290171
2020-07-16,126662451
2020-07-17,128595660
2020-07-20,102661244
2020-07-21,106036295
2020-07-22,109455768
2020-07-23,112078556
2020-07-24,114290093
2020-07-27,110273333
2020-07-28,113404721
2020-07-29,115689560
2020-07-30,118081564
2020-07-31,120367526
2020-08-03,116044614
2020-08-04,119551267
2020-08-05,122124208
2020-08-06,125037456
2020-08-07,127164723
2020-08-10,123831456
2020-08-11,127286896
