date,value
2019-10-07,80497297
2019-10-08,81619030
2019-10-09,82801017
2019-10-10,83446784
2019-10-11,84596467
2019-10-14,83338341
2019-10-15,84424355
2019-10-16,85655978
2019-10-17,87156975
2019-10-18,88010633
2019-10-21,74889592
2019-10-22,76787162
2019-10-23,78610684
2019-10-24,80041666
2019-10-25,81549104
2019-10-28,79443685
2019-10-29,81120815
2019-10-30,82651626
2019-10-31,84063635
2019-11-01,85457872
2019-11-04,83481060
2019-11-05,85185682
2019-11-06,87091837
2019-11-07,88442305
2019-11-08,89854962
2019-11-11,87911943
2019-11-12,89251499
2019-11-13,90326710
2019-11-14,91479261
2019-11-15,92538920
2019-11-18,78297663
2019-11-19,80116114
2019-11-20,82039836
2019-11-21,83489317
2019-11-22,85085478
2019-11-25,83283072
2019-11-26,84981445
2019-11-27,86260147
2019-11-29,87434667
2019-12-02,85273142
2019-12-03,86801533
2019-12-04,88156119
2019-12-05,89090591
2019-12-06,90384787
2019-12-09,88788699
2019-12-10,90321006
2019-12-11,91531268
2019-12-12,92803210
2019-12-13,94363770
2019-12-16,92905882
2019-12-17,93693671
2019-12-18,94562785
2019-12-19,95650420
2019-12-20,96776233
2019-12-23,80200830
2019-12-24,81840278
2019-12-26,82420347
2019-12-27,83457823
2019-12-30,81927730
2019-12-31,83394156
2020-01-02,84509639
2020-01-03,86006394
2020-01-06,85053668
2020-01-07,86879423
2020-01-08,88322758
2020-01-09,89689815
2020-01-10,91552326
2020-01-13,90464514
2020-01-14,92032643
2020-01-15,93640911
2020-01-16,95047061
2020-01-17,96547846
2020-01-21,57458343
2020-01-22,60195981
2020-01-23,62390257
2020-01-24,64329943
2020-01-27,63634146
2020-01-28,65632632
2020-01-29,67258197
2020-01-30,68971602
2020-01-31,70648356
2020-02-03,68422065
2020-02-04,70149429
2020-02-05,71736073
2020-02-06,73341676
2020-02-07,74886599
2020-02-10,72961997
2020-02-11,74722630
2020-02-12,76365545
2020-02-13,78027600
2020-02-14,79515567
2020-02-18,77726186
2020-02-19,79377208
2020-02-20,80881654
2020-02-21,82506588
2020-02-24,68220920
2020-02-25,70687530
2020-02-26,73036194
2020-02-27,74983079
2020-02-28,77240005
2020-03-02,76201630
2020-03-03,78147499
2020-03-04,79860946
2020-03-05,81263635
2020-03-06,83165871
2020-03-09,81709629
2020-03-10,82627711
2020-03-11,83940287
2020-03-12,85384285
2020-03-13,85433551
2020-03-16,83951068
2020-03-17,84197591
2020-03-18,84719980
2020-03-19,84651544
2020-03-20,85063384
2020-03-23,68807228
2020-03-24,69583382
2020-03-25,71067652
2020-03-26,72444919
2020-03-27,73831189
2020-03-30,71672007
2020-03-31,72988597
2020-04-01,74062257
2020-04-02,74942264
2020-04-03,76204057
2020-04-06,74723766
2020-04-07,76077080
2020-04-08,77587670
2020-04-09,79101662
2020-04-13,77987721
2020-04-14,79199244
2020-04-15,80634125
2020-04-16,82118375
2020-04-17,83381410
2020-04-20,68074180
2020-04-21,70100066
2020-04-22,71796052
2020-04-23,73323187
2020-04-24,74906383
2020-04-27,72699007
2020-04-28,74488482
2020-04-29,76079008
2020-04-30,77834178
2020-05-01,79376460
2020-05-04,77258368
2020-05-05,78921351
2020-05-06,80373215
2020-05-07,81888059
2020-05-08,83344641
2020-05-11,81154121
2020-05-12,82819635
2020-05-13,84387192
2020-05-14,86031964
2020-05-15,87229522
2020-05-18,72799746
2020-05-19,74827991
2020-05-20,76564028
2020-05-21,78437116
2020-05-22,79963458
2020-05-26,77773672
2020-05-27,79604318
2020-05-28,81441377
2020-05-29,83019922
2020-06-01,80676597
2020-06-02,82306455
2020-06-03,84094469
2020-06-04,85208034
2020-06-05,87244466
2020-06-08,85719075
2020-06-09,88040430
2020-06-10,89813479
2020-06-11,91583015
2020-06-12,93745433
2020-06-15,91604841
2020-06-16,93002238
2020-06-17,94478855
2020-06-18,95659392
2020-06-19,96832774
2020-06-22,72813698
2020-06-23,74964039
2020-06-24,76726365
2020-06-25,78626567
2020-06-26,80239777
2020-06-29,77868623
2020-06-30,79422385
2020-07-01,80741687
2020-07-02,81960615
2020-07-06,80708009
2020-07-07,82380351
2020-07-08,83985290
2020-07-09,85597520
2020-07-10,87062210
2020-07-13,85267620
2020-07-14,87057450
2020-07-15,88269973
2020-07-16,89685214
2020-07-17,90973154
2020-07-20,73608029
2020-07-21,75678159
2020-07-22,77587698
2020-07-23,79212084
2020-07-24,80818356
2020-07-27,78644086
2020-07-28,80450019
2020-07-29,82121315
2020-07-30,83787325
2020-07-31,85484888
2020-08-03,83012357
2020-08-04,84877188
2020-08-05,86391385
2020-08-06,87945905
2020-08-07,89620466
2020-08-10,87268698
2020-08-11,89164168
2020-08-12,90761442
2020-08-13,92068204
2020-08-14,93566948
2020-08-17,91208199
2020-08-18,92850291
2020-08-19,94307337
2020-08-20,95779133
2020-08-21,96977119
2020-08-24,79722008
2020-08-25,81870896
2020-08-26,83987044
2020-08-27,85799076
2020-08-28,87511845
2020-08-31,83588481
2020-09-01,96376015
2020-09-02,97989538
2020-09-03,100011103
2020-09-04,101552082
2020-09-08,98703649
2020-09-09,100530954
2020-09-10,101995367
2020-09-11,103568532
2020-09-14,101399854
2020-09-15,103084391
2020-09-16,104619456
2020-09-17,105963448
2020-09-18,107110928
2020-09-21,86594947
2020-09-22,88941955
2020-09-23,90627310
2020-09-24,92460356
2020-09-25,93882784
2020-09-28,91175545
2020-09-29,92667036
2020-09-30,94191650
2020-10-01,95409314
2020-10-02,96716044
2020-10-05,94670026
2020-10-06,96262373
2020-10-07,98017985
2020-10-08,99356475
2020-10-09,100524824
2020-10-12,98525397
2020-10-13,99962495
2020-10-14,101627971
2020-10-15,103269914
2020-10-16,104582441
2020-10-19,87210497
2020-10-20,89684551
2020-10-21,91447451
2020-10-22,93314903
2020-10-23,94810557
2020-10-26,92233452
2020-10-27,94391333
2020-10-28,96227983
2020-10-29,98023511
2020-10-30,99380623
2020-11-02,95732076
2020-11-03,97643152
2020-11-04,99063809
2020-11-05,100567074
2020-11-06,102139520
2020-11-09,99763526
2020-11-10,102099978
2020-11-11,103949515
2020-11-12,105657214
2020-11-13,107627056
2020-11-16,105186873
2020-11-17,106357609
2020-11-18,109323890
2020-11-19,111291726
2020-11-20,113176923
2020-11-23,94728749
2020-11-24,97757655
2020-11-25,100526622
2020-11-27,102675557
2020-11-30,99719338
2020-12-01,102463236
2020-12-02,104521096
2020-12-03,106442053
2020-12-04,108409830
2020-12-07,105894955
2020-12-08,108278864
2020-12-09,110076879
2020-12-10,111915057
2020-12-11,113584862
2020-12-14,111341339
2020-12-15,113420511
2020-12-16,115149591
2020-12-17,116774330
2020-12-18,118554859
2020-12-21,98011611
2020-12-22,101101459
2020-12-23,103387726
2020-12-24,105270372
2020-12-28,102804257
2020-12-29,104992190
2020-12-30,106735746
2020-12-31,108342896
2021-01-04,105845438
2021-01-05,108317074
2021-01-06,110218252
2021-01-07,112362665
2021-01-08,114381447
2021-01-11,112315012
2021-01-12,114955532
2021-01-13,117384563
2021-01-14,119669510
2021-01-15,122806511
2021-01-19,72217595
2021-01-20,75906579
2021-01-21,78613955
2021-01-22,81479331
2021-01-25,79520822
2021-01-26,83400577
2021-01-27,86337436
2021-01-28,89976102
2021-01-29,92345285
2021-02-01,88919268
2021-02-02,91355098
2021-02-03,93644076
2021-02-04,95654245
2021-02-05,97745762
2021-02-08,94288418
2021-02-09,96838317
2021-02-10,99423303
2021-02-11,102131306
2021-02-12,104331087
2021-02-16,100959156
2021-02-17,103993156
2021-02-18,106351023
2021-02-19,108382879
2021-02-22,87025375
2021-02-23,90776623
2021-02-24,93330219
2021-02-25,95767246
2021-02-26,98377943
2021-03-01,94939667
2021-03-02,97022555
2021-03-03,99138013
2021-03-04,101200348
2021-03-05,102857366
2021-03-08,100014492
2021-03-09,102746347
2021-03-10,104296290
2021-03-11,106383878
2021-03-12,108232415
2021-03-15,105741559
2021-03-16,108136561
2021-03-17,110169905
2021-03-18,111714850
2021-03-19,113859270
2021-03-22,87291853
2021-03-23,90027001
2021-03-24,92717852
