date,value
2019-10-07,175838943
2019-10-08,178327502
2019-10-09,180728871
2019-10-10,182437655
2019-10-11,184979020
2019-10-14,182318327
2019-10-15,184767043
2019-10-16,187616562
2019-10-17,191004911
2019-10-18,193197957
2019-10-21,162375175
2019-10-22,166710857
2019-10-23,170779204
2019-10-24,174027678
2019-10-25,177257017
2019-10-28,172695155
2019-10-29,176643099
2019-10-30,180173632
2019-10-31,183335760
2019-11-01,186226175
2019-11-04,181649129
2019-11-05,185288396
2019-11-06,189108866
2019-11-07,191821927
2019-11-08,195148864
2019-11-11,191139085
2019-11-12,194072947
2019-11-13,196770358
2019-11-14,199389257
2019-11-15,202066620
2019-11-18,171376630
2019-11-19,175702978
2019-11-20,179585225
2019-11-21,182839547
2019-11-22,186467279
2019-11-25,182583835
2019-11-26,186281789
2019-11-27,189038075
2019-11-29,191532051
2019-12-02,186450359
2019-12-03,189981313
2019-12-04,193103476
2019-12-05,195009163
2019-12-06,197894725
2019-12-09,194239608
2019-12-10,197605401
2019-12-11,200252777
2019-12-12,203001547
2019-12-13,206271916
2019-12-16,203100956
2019-12-17,205128121
2019-12-18,207093851
2019-12-19,209391027
2019-12-20,211804470
2019-12-23,175570537
2019-12-24,179304015
2019-12-26,180703919
2019-12-27,183017782
2019-12-30,179426326
2019-12-31,182275800
2020-01-02,184238603
2020-01-03,187345493
2020-01-06,185351108
2020-01-07,189248588
2020-01-08,192653438
2020-01-09,195560675
2020-01-10,199322680
2020-01-13,196756546
2020-01-14,200359613
2020-01-15,203989230
2020-01-16,207183319
2020-01-17,210232894
2020-01-21,126129482
2020-01-22,132152166
2020-01-23,136883725
2020-01-24,141098105
2020-01-27,138123582
2020-01-28,142622366
2020-01-29,146500219
2020-01-30,150413606
2020-01-31,153892499
2020-02-03,148120624
2020-02-04,152200892
2020-02-05,156319308
2020-02-06,160273599
2020-02-07,163556420
2020-02-10,159131415
2020-02-11,163432935
2020-02-12,167317028
2020-02-13,171283670
2020-02-14,174526095
2020-02-18,170080658
2020-02-19,173903645
2020-02-20,177562925
2020-02-21,181359793
2020-02-24,149079633
2020-02-25,154404933
2020-02-26,159225719
2020-02-27,163520848
2020-02-28,168153388
2020-03-02,164011478
2020-03-03,168430634
2020-03-04,172085337
2020-03-05,175541460
2020-03-06,179435202
2020-03-09,175440167
2020-03-10,178311579
2020-03-11,181589067
2020-03-12,184956073
2020-03-13,186364244
2020-03-16,182243640
2020-03-17,183991636
2020-03-18,186196302
2020-03-19,187910024
2020-03-20,189554320
2020-03-23,147378790
2020-03-24,150372554
2020-03-25,153980862
2020-03-26,157230859
2020-03-27,160728301
2020-03-30,156172322
2020-03-31,159405837
2020-04-01,162088947
2020-04-02,164328184
2020-04-03,167501169
2020-04-06,163994054
2020-04-07,167544401
2020-04-08,170787315
2020-04-09,173957130
2020-04-13,171491334
2020-04-14,174721941
2020-04-15,177350225
2020-04-16,181316393
2020-04-17,184613830
2020-04-20,149260885
2020-04-21,154181713
2020-04-22,157879613
2020-04-23,161434720
2020-04-24,165118639
2020-04-27,160750215
2020-04-28,165257235
2020-04-29,168943378
2020-04-30,173126356
2020-05-01,176534176
2020-05-04,171497013
2020-05-05,175442902
2020-05-06,178801968
2020-05-07,182090087
2020-05-08,185407314
2020-05-11,180644325
2020-05-12,185393504
2020-05-13,188993417
2020-05-14,192761729
2020-05-15,195926283
2020-05-18,163551287
2020-05-19,169519867
2020-05-20,173564116
2020-05-21,178245042
2020-05-22,181947067
2020-05-26,177340546
2020-05-27,181969476
2020-05-28,186492086
2020-05-29,190235717
2020-06-01,185083847
2020-06-02,189476958
2020-06-03,193694113
2020-06-04,196693093
2020-06-05,201914330
2020-06-08,198788528
2020-06-09,205584663
2020-06-10,210488714
2020-06-11,214844576
2020-06-12,219467861
2020-06-15,213237494
2020-06-16,217277604
2020-06-17,220724352
2020-06-18,223700219
2020-06-19,226927707
2020-06-22,172353117
2020-06-23,178137296
2020-06-24,182748485
2020-06-25,187141747
2020-06-26,191278193
2020-06-29,184722050
2020-06-30,188926210
2020-07-01,192605085
2020-07-02,195637907
2020-07-06,192557177
2020-07-07,196921960
2020-07-08,200855349
2020-07-09,204904670
2020-07-10,208825098
2020-07-13,204567432
2020-07-14,209181031
2020-07-15,212560144
2020-07-16,216347665
2020-07-17,219568814
2020-07-20,176269273
2020-07-21,181714454
2020-07-22,187043466
2020-07-23,191290640
2020-07-24,195108449
2020-07-27,188917419
2020-07-28,193854740
2020-07-29,197810875
2020-07-30,201868889
2020-07-31,205852414
2020-08-03,199056971
2020-08-04,204428455
2020-08-05,208515593
2020-08-06,212983361
2020-08-07,216785189
2020-08-10,211100154
2020-08-11,216451064
2020-08-12,220296031
2020-08-13,223446633
2020-08-14,227225079
2020-08-17,221243427
2020-08-18,225611663
2020-08-19,229020933
2020-08-20,232786941
2020-08-21,235644200
2020-08-24,192384930
2020-08-25,198651645
2020-08-26,203888819
2020-08-27,208426697
2020-08-28,213091215
2020-08-31,203419639
2020-09-01,230632480
2020-09-02,234867255
2020-09-03,240154884
2020-09-04,243971321
2020-09-08,236712128
2020-09-09,241684315
2020-09-10,245449180
2020-09-11,248967352
2020-09-14,242963668
2020-09-15,247235033
2020-09-16,250878679
2020-09-17,254393666
2020-09-18,257603793
2020-09-21,208354297
2020-09-22,213931779
2020-09-23,218481145
2020-09-24,222919158
2020-09-25,226362995
2020-09-28,219090760
2020-09-29,223152274
2020-09-30,226811573
2020-10-01,230062999
2020-10-02,233424241
2020-10-05,227988847
2020-10-06,232349617
2020-10-07,236378133
2020-10-08,239714408
2020-10-09,243230614
2020-10-12,238358658
2020-10-13,242224885
2020-10-14,246565539
2020-10-15,250664448
2020-10-16,254178033
2020-10-19,210596095
2020-10-20,217048267
2020-10-21,221619388
2020-10-22,226205371
2020-10-23,230223513
2020-10-26,223319137
2020-10-27,228339504
2020-10-28,232982589
2020-10-29,237389991
2020-10-30,241010686
2020-11-02,230407813
2020-11-03,235630222
2020-11-04,239484062
2020-11-05,243042069
2020-11-06,246824097
2020-11-09,241586554
2020-11-10,247598790
2020-11-11,252296751
2020-11-12,256116002
2020-11-13,260359118
2020-11-16,254570431
2020-11-17,256700079
2020-11-18,264022954
2020-11-19,268611645
2020-11-20,272923152
2020-11-23,228989659
2020-11-24,236942056
2020-11-25,243916692
2020-11-27,249135304
2020-11-30,242027067
2020-12-01,249232916
2020-12-02,255091980
2020-12-03,260212694
2020-12-04,265249072
2020-12-07,259375102
2020-12-08,265662750
2020-12-09,271632754
2020-12-10,275134552
2020-12-11,279403732
2020-12-14,273090113
2020-12-15,278283159
2020-12-16,282740219
2020-12-17,286344912
2020-12-18,290400383
2020-12-21,240546898
2020-12-22,247984845
2020-12-23,253181405
2020-12-24,258831751
2020-12-28,251999109
2020-12-29,257407846
2020-12-30,261058695
2020-12-31,265226043
2021-01-04,258038822
2021-01-05,263492922
2021-01-06,268294861
2021-01-07,273382919
2021-01-08,278215002
2021-01-11,272806206
2021-01-12,279442912
2021-01-13,285026720
2021-01-14,289982207
2021-01-15,297081868
2021-01-19,187251080
2021-01-20,197240319
2021-01-21,204551280
2021-01-22,211783054
2021-01-25,206784402
2021-01-26,217260908
2021-01-27,225425136
2021-01-28,234501601
2021-01-29,241127431
2021-02-01,230684936
2021-02-02,238164756
2021-02-03,244560068
2021-02-04,250684873
2021-02-05,256347630
2021-02-08,247753442
2021-02-09,255092639
2021-02-10,262408643
2021-02-11,269530866
2021-02-12,275672068
2021-02-16,267222767
2021-02-17,274976704
2021-02-18,280850343
2021-02-19,286560787
2021-02-22,231940517
2021-02-23,242208662
2021-02-24,249448698
2021-02-25,256859434
2021-02-26,263150137
2021-03-01,253611370
2021-03-02,260563221
2021-03-03,266101350
2021-03-04,271307807
2021-03-05,275969074
2021-03-08,267569992
2021-03-09,274617673
2021-03-10,279541374
2021-03-11,284665751
2021-03-12,289504338
2021-03-15,282913206
2021-03-16,289492633
2021-03-17,294285146
2021-03-18,298428644
2021-03-19,303616303
2021-03-22,233037231
2021-03-23,240612770
2021-03-24,246914445
2021-03-25,253150556
2021-03-26,258545183
2021-03-29,251848060
2021-03-30,258002648
2021-03-31,262616097
2021-04-01,267745720
2021-04-05,261496047
2021-04-06,267544890
2021-04-07,272495875
2021-04-08,277110532
2021-04-09,281510091
2021-04-12,275699003
2021-04-13,281692019
2021-04-14,286589423
2021-04-15,291724086
2021-04-16,296492773
2021-04-19,237408309
2021-04-20,245720771
2021-04-21,251839620
2021-04-22,257265258
2021-04-23,262862153
2021-04-26,254827396
2021-04-27,261257345
2021-04-28,266803505
2021-04-29,271578233
2021-04-30,276857503
2021-05-03,266470907
2021-05-04,273151794
2021-05-05,278526272
2021-05-06,282770410
2021-05-07,287744929
2021-05-10,279623349
2021-05-11,286250096
2021-05-12,291038998
2021-05-13,295842513
2021-05-14,300766312
2021-05-17,293962890
2021-05-18,299601065
2021-05-19,304895732
2021-05-20,309161180
2021-05-21,313247843
2021-05-24,257814467
2021-05-25,265310145
2021-05-26,270899398
2021-05-27,276859601
2021-05-28,283105657
2021-06-01,275945728
2021-06-02,283483178
2021-06-03,289364694
2021-06-04,296691611
2021-06-07,290025979
2021-06-08,297127325
2021-06-09,303338810
2021-06-10,309526051
2021-06-11,314607298
2021-06-14,306311682
2021-06-15,312842438
2021-06-16,317973640
2021-06-17,323350025
2021-06-18,329914231
2021-06-21,258036241
2021-06-22,266821354
2021-06-23,273061378
2021-06-24,279483658
2021-06-25,285505720
2021-06-28,276912597
2021-06-29,285001329
2021-06-30,291489937
2021-07-01,296866034
2021-07-02,301829791
2021-07-06,292762022
2021-07-07,299895499
2021-07-08,305469392
2021-07-09,310605746
2021-07-12,303547012
2021-07-13,309118908
2021-07-14,314289137
2021-07-15,319341009
2021-07-16,324356986
2021-07-19,259556603
2021-07-20,267155521
2021-07-21,276986441
2021-07-22,282825905
2021-07-23,288089480
2021-07-26,278906977
2021-07-27,286596853
2021-07-28,292425356
2021-07-29,298224520
2021-07-30,303301491
2021-08-02,288654190
2021-08-03,297805921
2021-08-04,303540120
2021-08-05,309175612
2021-08-06,313953266
2021-08-09,304657468
2021-08-10,310673871
2021-08-11,315964917
2021-08-12,320731532
2021-08-13,325949085
2021-08-16,318307692
2021-08-17,323971293
2021-08-18,328959771
2021-08-19,333207252
2021-08-20,338556084
2021-08-23,277934577
2021-08-24,286606074
2021-08-25,293787079
2021-08-26,299507318
2021-08-27,304354081
2021-08-30,296402191
2021-08-31,303565217
2021-09-01,308998368
2021-09-02,314217423
2021-09-03,319449719
2021-09-07,311993411
2021-09-08,318381259
2021-09-09,323152278
2021-09-10,327751975
2021-09-13,321710360
2021-09-14,327291937
2021-09-15,332257808
2021-09-16,337038442
2021-09-17,341539769
2021-09-20,277425700
2021-09-21,285617444
2021-09-22,292117343
2021-09-23,297992921
2021-09-24,304005802
2021-09-27,296714169
2021-09-28,303722224
2021-09-29,309056111
2021-09-30,313473883
2021-10-01,317439323
2021-10-04,308974843
2021-10-05,315573134
