date,value
2003-10-17,463135
2003-10-21,380941
2003-10-22,415498
2003-10-23,354797
2003-10-24,447421
2003-10-27,223098
2003-10-28,374757
2003-10-29,364516
2003-10-30,439451
2003-10-31,504173
2003-11-03,268312
2003-11-04,294407
2003-11-05,301209
2003-11-06,336513
2003-11-07,394891
2003-11-10,339129
2003-11-11,326768
2003-11-12,403860
2003-11-13,383694
2003-11-14,361347
2003-11-17,427919
2003-11-18,355730
2003-11-19,423986
2003-11-20,364840
2003-11-21,461316
2003-11-24,320424
2003-11-25,263896
2003-11-26,251258
2003-11-28,121315
2003-12-01,324169
2003-12-02,314983
2003-12-03,453120
2003-12-04,330837
2003-12-05,335345
2003-12-08,325923
2003-12-09,340208
2003-12-10,430133
2003-12-11,297193
2003-12-12,257406
2003-12-15,328286
2003-12-16,315241
2003-12-17,294453
2003-12-18,341417
2003-12-19,481898
2003-12-22,337362
2003-12-23,282026
2003-12-24,123777
2003-12-26,84573
2003-12-29,213912
2003-12-30,204816
2003-12-31,511781
2004-01-02,288114
2004-01-05,458669
2004-01-06,347760
2004-01-07,408677
2004-01-08,500507
2004-01-09,420871
2004-01-12,457457
2004-01-13,423555
2004-01-14,442894
2004-01-15,525641
2004-01-16,537984
2004-01-20,513167
2004-01-21,415059
2004-01-22,581852
2004-01-23,456491
2004-01-26,296878
2004-01-27,421537
2004-01-28,503525
2004-01-29,538960
2004-01-30,409448
2004-02-02,401302
2004-02-03,379015
2004-02-04,448458
2004-02-05,434512
2004-02-06,360398
2004-02-09,348886
2004-02-10,377773
2004-02-11,409807
2004-02-12,354644
2004-02-13,370129
2004-02-17,561932
2004-02-18,462347
2004-02-19,560338
2004-02-20,689385
2004-02-23,370123
2004-02-24,462156
2004-02-25,385431
2004-02-26,316163
2004-02-27,313869
2004-03-01,199757
2004-03-02,305438
2004-03-03,304249
2004-03-04,326334
2004-03-05,338207
2004-03-08,417338
2004-03-09,545759
2004-03-10,504032
2004-03-11,645835
2004-03-12,463767
2004-03-15,440227
2004-03-16,504419
2004-03-17,482881
2004-03-18,393536
2004-03-19,599883
2004-03-22,489962
2004-03-23,366452
2004-03-24,395211
2004-03-25,488795
2004-03-26,300893
2004-03-29,275790
2004-03-30,267971
2004-03-31,553298
2004-04-01,317796
2004-04-02,531671
2004-04-05,389406
2004-04-06,505325
2004-04-07,323103
2004-04-08,338140
2004-04-12,296210
2004-04-13,510532
2004-04-14,379075
2004-04-15,506667
2004-04-16,637847
2004-04-19,378865
2004-04-20,482043
2004-04-21,346031
2004-04-22,430109
2004-04-23,409471
2004-04-26,292805
2004-04-27,441571
2004-04-28,453822
2004-04-29,513577
2004-04-30,649293
2004-05-03,320393
2004-05-04,291348
2004-05-05,288426
2004-05-06,385067
2004-05-07,418012
2004-05-10,560050
2004-05-11,556511
2004-05-12,557502
2004-05-13,417575
2004-05-14,326891
2004-05-17,425646
2004-05-18,423685
2004-05-19,405761
2004-05-20,440072
2004-05-21,534158
2004-05-24,347209
2004-05-25,448555
2004-05-26,381312
2004-05-27,320999
2004-05-28,228402
2004-06-01,306293
2004-06-02,296992
2004-06-03,409788
2004-06-04,350459
2004-06-07,327387
2004-06-08,300707
2004-06-09,327720
2004-06-10,367379
2004-06-14,433002
2004-06-15,337034
2004-06-16,260257
2004-06-17,383811
2004-06-18,543536
2004-06-21,360845
2004-06-22,431825
2004-06-23,356186
2004-06-24,341775
2004-06-25,272300
2004-06-28,374297
2004-06-29,386514
2004-06-30,400925
2004-07-01,429000
2004-07-02,325758
2004-07-06,499144
2004-07-07,434571
2004-07-08,477272
2004-07-09,315317
2004-07-12,368269
2004-07-13,326622
2004-07-14,533493
2004-07-15,436307
2004-07-16,758206
2004-07-19,398101
2004-07-20,386264
2004-07-21,422885
2004-07-22,452128
2004-07-23,297719
2004-07-26,422778
2004-07-27,314997
2004-07-28,348299
2004-07-29,306108
2004-07-30,247812
2004-08-02,260392
2004-08-03,215231
2004-08-04,289736
2004-08-05,321930
2004-08-06,683184
2004-08-09,326048
2004-08-10,375145
2004-08-11,365818
2004-08-12,495092
2004-08-13,314266
2004-08-16,310574
2004-08-17,371034
2004-08-18,467918
2004-08-19,421261
2004-08-20,566482
2004-08-23,387781
2004-08-24,282587
2004-08-25,297051
2004-08-26,309162
2004-08-27,266495
2004-08-30,247203
2004-08-31,221352
2004-09-01,259033
2004-09-02,293349
2004-09-03,260532
2004-09-07,292067
2004-09-08,356345
2004-09-09,349029
2004-09-10,351284
2004-09-13,381638
2004-09-14,355116
2004-09-15,377246
2004-09-16,340448
2004-09-17,487054
2004-09-20,376265
2004-09-21,483557
2004-09-22,476806
2004-09-23,355896
2004-09-24,313474
2004-09-27,340689
2004-09-28,442490
2004-09-29,418040
2004-09-30,433987
2004-10-01,546099
2004-10-04,539054
2004-10-05,497794
2004-10-06,468690
2004-10-07,467848
2004-10-08,456695
2004-10-11,273185
2004-10-12,512918
2004-10-13,542788
2004-10-14,568304
2004-10-15,691086
2004-10-18,461948
2004-10-19,633400
2004-10-20,528293
2004-10-21,519872
2004-10-22,365979
2004-10-25,346298
2004-10-26,406927
2004-10-27,486861
2004-10-28,359641
2004-10-29,378292
2004-11-01,373860
2004-11-02,398622
2004-11-03,499280
2004-11-04,469860
2004-11-05,444502
2004-11-08,347942
2004-11-09,401731
2004-11-10,408807
2004-11-11,414254
2004-11-12,553135
2004-11-15,411086
2004-11-16,474116
2004-11-17,544057
