date,value
2003-10-17,1480360
2003-10-21,1029138
2003-10-22,956652
2003-10-23,847991
2003-10-24,1015206
2003-10-27,658313
2003-10-28,938707
2003-10-29,1057674
2003-10-30,1067345
2003-10-31,995862
2003-11-03,838243
2003-11-04,889662
2003-11-05,852476
2003-11-06,884653
2003-11-07,1038038
2003-11-10,772098
2003-11-11,774718
2003-11-12,996034
2003-11-13,993587
2003-11-14,1024086
2003-11-17,1086360
2003-11-18,924658
2003-11-19,975494
2003-11-20,927235
2003-11-21,1155063
2003-11-24,950836
2003-11-25,810085
2003-11-26,713417
2003-11-28,340125
2003-12-01,921264
2003-12-02,916261
2003-12-03,1062083
2003-12-04,915732
2003-12-05,830226
2003-12-08,784856
2003-12-09,951794
2003-12-10,1055738
2003-12-11,887100
2003-12-12,769177
2003-12-15,936222
2003-12-16,950198
2003-12-17,899132
2003-12-18,1006960
2003-12-19,1273134
2003-12-22,890602
2003-12-23,771809
2003-12-24,372807
2003-12-26,309638
2003-12-29,778970
2003-12-30,762120
2003-12-31,1052820
2004-01-02,833796
2004-01-05,1328456
2004-01-06,1220424
2004-01-07,1211551
2004-01-08,1470862
2004-01-09,1363562
2004-01-12,1201624
2004-01-13,1306752
2004-01-14,1286773
2004-01-15,1673760
2004-01-16,2070802
2004-01-20,1507375
2004-01-21,1297906
2004-01-22,1365043
2004-01-23,1221480
2004-01-26,924947
2004-01-27,1075404
2004-01-28,1262875
2004-01-29,1375260
2004-01-30,989499
2004-02-02,1057080
2004-02-03,1034201
2004-02-04,1153692
2004-02-05,1088738
2004-02-06,1140259
2004-02-09,936480
2004-02-10,986534
2004-02-11,1142720
2004-02-12,1175238
2004-02-13,1002370
2004-02-17,1253399
2004-02-18,1180964
2004-02-19,1514143
2004-02-20,1735586
2004-02-23,1152748
2004-02-24,1170533
2004-02-25,1007276
2004-02-26,923279
2004-02-27,841896
2004-03-01,560526
2004-03-02,902756
2004-03-03,812446
2004-03-04,873519
2004-03-05,894227
2004-03-08,1052336
2004-03-09,1182785
2004-03-10,1199703
2004-03-11,1321081
2004-03-12,1027465
2004-03-15,961139
2004-03-16,1047651
2004-03-17,1203969
2004-03-18,1000607
2004-03-19,1277641
2004-03-22,1149426
2004-03-23,1008285
2004-03-24,938547
2004-03-25,1304884
2004-03-26,783721
2004-03-29,858448
2004-03-30,849324
2004-03-31,1057047
2004-04-01,994373
2004-04-02,1526407
2004-04-05,1185090
2004-04-06,1233453
2004-04-07,924294
2004-04-08,914211
2004-04-12,814365
2004-04-13,1169544
2004-04-14,1006386
2004-04-15,1263731
2004-04-16,1681471
2004-04-19,1049461
2004-04-20,1181537
2004-04-21,987892
2004-04-22,1230632
2004-04-23,1059395
2004-04-26,838698
2004-04-27,1214045
2004-04-28,1156590
2004-04-29,1177774
2004-04-30,1330703
2004-05-03,824212
2004-05-04,874680
2004-05-05,726659
2004-05-06,783887
2004-05-07,947017
2004-05-10,1200937
2004-05-11,1159541
2004-05-12,1150137
2004-05-13,956560
2004-05-14,725749
2004-05-17,867307
2004-05-18,985569
2004-05-19,1127679
2004-05-20,872699
2004-05-21,1195484
2004-05-24,905530
2004-05-25,1097297
2004-05-26,901101
2004-05-27,833472
2004-05-28,553625
2004-06-01,728443
2004-06-02,759496
2004-06-03,817505
2004-06-04,774518
2004-06-07,850082
2004-06-08,757753
2004-06-09,777281
2004-06-10,731978
2004-06-14,796743
2004-06-15,871343
2004-06-16,753816
2004-06-17,988731
2004-06-18,1451306
2004-06-21,930286
2004-06-22,1055368
2004-06-23,976603
2004-06-24,1040737
2004-06-25,749464
2004-06-28,1109772
2004-06-29,887173
2004-06-30,947650
2004-07-01,1005755
2004-07-02,785171
2004-07-06,998247
2004-07-07,914606
2004-07-08,1057981
2004-07-09,783596
2004-07-12,774213
2004-07-13,841634
2004-07-14,1234086
2004-07-15,1145193
2004-07-16,1570407
2004-07-19,1083844
2004-07-20,1059519
2004-07-21,1129594
2004-07-22,1091484
2004-07-23,771132
2004-07-26,1016135
2004-07-27,885931
2004-07-28,984095
2004-07-29,853609
2004-07-30,711991
2004-08-02,652945
2004-08-03,611296
2004-08-04,693602
2004-08-05,784825
2004-08-06,1218929
2004-08-09,702315
2004-08-10,795509
2004-08-11,897191
2004-08-12,1001366
2004-08-13,733135
2004-08-16,776178
2004-08-17,908364
2004-08-18,1039145
2004-08-19,995557
2004-08-20,1351128
