date,value
2019-10-07,219972
2019-10-08,389944
2019-10-09,280307
2019-10-10,314853
2019-10-11,849454
2019-10-14,254457
2019-10-15,484397
2019-10-16,371016
2019-10-17,443707
2019-10-18,415466
2019-10-21,296399
2019-10-22,327529
2019-10-23,328934
2019-10-24,425948
2019-10-25,517193
2019-10-28,409804
2019-10-29,361463
2019-10-30,416165
2019-10-31,414109
2019-11-01,654750
2019-11-04,808864
2019-11-05,394299
2019-11-06,433650
2019-11-07,669907
2019-11-08,370663
2019-11-11,330543
2019-11-12,383648
2019-11-13,284576
2019-11-14,313438
2019-11-15,461999
2019-11-18,315779
2019-11-19,339971
2019-11-20,354327
2019-11-21,285759
2019-11-22,340803
2019-11-25,411071
2019-11-26,345910
2019-11-27,317211
2019-11-29,218975
2019-12-02,452677
2019-12-03,432292
2019-12-04,312730
2019-12-05,205355
2019-12-06,490285
2019-12-09,316074
2019-12-10,272873
2019-12-11,362538
2019-12-12,985461
2019-12-13,604207
2019-12-16,508459
2019-12-17,428227
2019-12-18,343869
2019-12-19,593216
2019-12-20,478876
2019-12-23,351894
2019-12-24,233296
2019-12-26,302540
2019-12-27,459229
2019-12-30,478014
2019-12-31,314842
2020-01-02,475428
2020-01-03,596902
2020-01-06,445902
2020-01-07,328263
2020-01-08,593823
2020-01-09,552252
2020-01-10,552000
2020-01-13,429886
2020-01-14,397807
2020-01-15,471503
2020-01-16,602238
2020-01-17,615382
2020-01-21,430596
2020-01-22,365246
2020-01-23,526350
2020-01-24,684904
2020-01-27,666868
2020-01-28,465447
2020-01-29,351400
2020-01-30,533252
2020-01-31,921135
2020-02-03,791065
2020-02-04,533577
2020-02-05,531449
2020-02-06,430816
2020-02-07,447651
2020-02-10,443013
2020-02-11,665453
2020-02-12,686914
2020-02-13,476919
2020-02-14,392932
2020-02-18,575045
2020-02-19,448542
2020-02-20,584155
2020-02-21,705496
2020-02-24,975490
2020-02-25,974034
2020-02-26,637452
2020-02-27,986033
2020-02-28,1047237
2020-03-02,673413
2020-03-03,756028
2020-03-04,560559
2020-03-05,757871
2020-03-06,1114228
2020-03-09,663094
2020-03-10,746169
2020-03-11,779663
2020-03-12,809606
2020-03-13,773272
2020-03-16,687110
2020-03-17,549419
2020-03-18,751992
2020-03-19,693862
2020-03-20,695110
2020-03-23,809788
2020-03-24,799780
2020-03-25,788797
2020-03-26,708730
2020-03-27,676940
2020-03-30,659567
2020-03-31,666216
2020-04-01,674423
2020-04-02,549899
2020-04-03,781309
2020-04-06,818764
2020-04-07,816531
2020-04-08,723884
2020-04-09,1025735
2020-04-13,654962
2020-04-14,720226
2020-04-15,540831
2020-04-16,536085
2020-04-17,794602
2020-04-20,739206
2020-04-21,681270
2020-04-22,574156
2020-04-23,558814
2020-04-24,594697
2020-04-27,494545
2020-04-28,500163
2020-04-29,711376
2020-04-30,565649
2020-05-01,654878
2020-05-04,470083
2020-05-05,466194
2020-05-06,479238
2020-05-07,436068
2020-05-08,567785
2020-05-11,433500
2020-05-12,468239
2020-05-13,691110
2020-05-14,612491
2020-05-15,794137
2020-05-18,726023
