date,value
2019-10-07,38012429
2019-10-08,38658812
2019-10-09,39914801
2019-10-10,40506663
2019-10-11,41399441
2019-10-14,40992366
2019-10-15,41234336
2019-10-16,42127708
2019-10-17,42958029
2019-10-18,43516498
2019-10-21,34940972
2019-10-22,35692789
2019-10-23,36621229
2019-10-24,37082635
2019-10-25,37969476
2019-10-28,37187869
2019-10-29,38111887
2019-10-30,38747964
2019-10-31,39461237
2019-11-01,40297786
2019-11-04,39698010
2019-11-05,40648699
2019-11-06,41442601
2019-11-07,41901771
2019-11-08,42785811
2019-11-11,42332075
2019-11-12,42773004
2019-11-13,43230401
2019-11-14,43413155
2019-11-15,44009813
2019-11-18,37056316
2019-11-19,37695288
2019-11-20,38511632
2019-11-21,39263714
2019-11-22,39863030
2019-11-25,39312083
2019-11-26,40280232
2019-11-27,40991820
2019-11-29,41479461
2019-12-02,40153583
2019-12-03,40983498
2019-12-04,41731301
2019-12-05,42172060
2019-12-06,42664779
2019-12-09,41742144
2019-12-10,42267416
2019-12-11,42908601
2019-12-12,43493408
2019-12-13,44985441
2019-12-16,41116846
2019-12-17,38278977
2019-12-18,42277604
2019-12-19,42574453
2019-12-20,39320762
2019-12-23,31989034
2019-12-24,32932023
2019-12-26,33344852
2019-12-27,34100895
2019-12-30,33552665
2019-12-31,34992550
2020-01-02,34219873
2020-01-03,35192578
2020-01-06,34943437
2020-01-07,35604963
2020-01-08,36329001
2020-01-09,37240071
2020-01-10,38230403
2020-01-13,37743498
2020-01-14,38496573
2020-01-15,39234727
2020-01-16,40103588
2020-01-17,40741385
2020-01-21,27559154
2020-01-22,28552867
2020-01-23,29172961
2020-01-24,30654743
2020-01-27,30320074
2020-01-28,31713747
2020-01-29,32875501
2020-01-30,33353834
2020-01-31,34818740
2020-02-03,33997915
2020-02-04,35007161
2020-02-05,35826629
2020-02-06,36638718
2020-02-07,37372747
2020-02-10,36263598
2020-02-11,37050043
2020-02-12,38252896
2020-02-13,39050793
2020-02-14,39908205
2020-02-18,38752846
2020-02-19,39471098
2020-02-20,40081063
2020-02-21,41024811
2020-02-24,33708414
2020-02-25,35598228
2020-02-26,37837940
2020-02-27,38964570
2020-02-28,41359066
2020-03-02,40799342
2020-03-03,41867388
2020-03-04,43382762
2020-03-05,44155983
2020-03-06,45254264
2020-03-09,44427805
2020-03-10,45820539
2020-03-11,47360069
2020-03-12,48481511
2020-03-13,50872688
2020-03-16,49797460
2020-03-17,50966730
2020-03-18,52377234
2020-03-19,53628979
2020-03-20,55276486
2020-03-23,40473796
2020-03-24,41803706
2020-03-25,43354157
2020-03-26,44344062
2020-03-27,45537817
2020-03-30,43617187
2020-03-31,45933700
2020-04-01,44595271
2020-04-02,45501217
2020-04-03,46344911
2020-04-06,45539403
2020-04-07,46724955
2020-04-08,47897833
2020-04-09,48651060
2020-04-13,48608764
2020-04-14,49742805
2020-04-15,50753507
2020-04-16,52304610
2020-04-17,53527859
2020-04-20,41890823
2020-04-21,43098030
2020-04-22,45454057
2020-04-23,45816559
2020-04-24,47522682
