date,value
2019-10-07,56691675
2019-10-08,57493951
2019-10-09,58537929
2019-10-10,58972333
2019-10-11,60025436
2019-10-14,59302769
2019-10-15,59505237
2019-10-16,60729355
2019-10-17,61171781
2019-10-18,62233838
2019-10-21,51620558
2019-10-22,52357203
2019-10-23,53566994
2019-10-24,54072922
2019-10-25,54928052
2019-10-28,53890209
2019-10-29,54806923
2019-10-30,56065441
2019-10-31,57127747
2019-11-01,58150595
2019-11-04,56985482
2019-11-05,57944386
2019-11-06,59123655
2019-11-07,59604701
2019-11-08,60729064
2019-11-11,60428751
2019-11-12,61071119
2019-11-13,61984500
2019-11-14,62507528
2019-11-15,64041463
2019-11-18,53484800
2019-11-19,54158666
2019-11-20,55553488
2019-11-21,56387693
2019-11-22,57439105
2019-11-25,56359827
2019-11-26,57086749
2019-11-27,58416292
2019-11-29,59107961
2019-12-02,57409751
2019-12-03,58151419
2019-12-04,59363723
2019-12-05,60046932
2019-12-06,60989144
2019-12-09,60073761
2019-12-10,60806618
2019-12-11,61713777
2019-12-12,62543459
2019-12-13,63884470
2019-12-16,62603653
2019-12-17,56745193
2019-12-18,63825747
2019-12-19,64651735
2019-12-20,66091318
2019-12-23,49227535
2019-12-24,49994757
2019-12-26,50520435
2019-12-27,51427200
2019-12-30,49978949
2019-12-31,51835925
2020-01-02,49772288
2020-01-03,51032406
2020-01-06,51028459
2020-01-07,51918473
2020-01-08,53000879
2020-01-09,54238926
2020-01-10,55610198
2020-01-13,55184434
2020-01-14,56903169
2020-01-15,58108569
2020-01-16,59200135
2020-01-17,61396239
2020-01-21,40221443
2020-01-22,41951637
2020-01-23,43128453
2020-01-24,44457159
2020-01-27,44758547
2020-01-28,46370645
2020-01-29,47626610
2020-01-30,48446005
2020-01-31,49913402
2020-02-03,48941429
2020-02-04,49672982
2020-02-05,50810327
2020-02-06,51807086
2020-02-07,53118067
2020-02-10,52025387
2020-02-11,52695807
2020-02-12,53705544
2020-02-13,54840257
2020-02-14,55928404
2020-02-18,54683776
2020-02-19,55449802
2020-02-20,56190841
2020-02-21,57639917
2020-02-24,47764122
2020-02-25,49891609
2020-02-26,52561827
2020-02-27,53665264
2020-02-28,56272121
2020-03-02,56088955
2020-03-03,57304846
2020-03-04,59134518
2020-03-05,60326811
2020-03-06,62302842
2020-03-09,61121661
2020-03-10,61928691
2020-03-11,63596102
2020-03-12,65229073
2020-03-13,66051498
2020-03-16,65701601
2020-03-17,66170383
2020-03-18,67277762
2020-03-19,67930697
2020-03-20,69056144
2020-03-23,53885468
2020-03-24,54628378
2020-03-25,56343995
2020-03-26,57243306
2020-03-27,59171550
2020-03-30,56014652
2020-03-31,58608364
2020-04-01,58231734
2020-04-02,58721159
2020-04-03,60560410
2020-04-06,59602392
2020-04-07,60577333
2020-04-08,62097693
2020-04-09,63178641
2020-04-13,63232972
2020-04-14,63754385
2020-04-15,65354590
2020-04-16,66305936
2020-04-17,67659467
2020-04-20,52913886
2020-04-21,54228389
2020-04-22,56163921
2020-04-23,56763587
2020-04-24,57899726
2020-04-27,56309356
2020-04-28,57600678
2020-04-29,55859162
2020-04-30,60007495
2020-05-01,61100393
2020-05-04,59213857
2020-05-05,59880399
2020-05-06,61165774
2020-05-07,61641819
2020-05-08,62931271
2020-05-11,62159286
2020-05-12,62904041
2020-05-13,64167607
2020-05-14,64707933
2020-05-15,65791513
2020-05-18,53401812
2020-05-19,54855965
2020-05-20,55756398
2020-05-21,57082017
2020-05-22,58606195
2020-05-26,56998404
2020-05-27,58472713
2020-05-28,59746036
2020-05-29,61162377
2020-06-01,59287189
2020-06-02,59852465
2020-06-03,60934855
2020-06-04,62272834
2020-06-05,63956131
2020-06-08,63517016
2020-06-09,64428617
2020-06-10,65579483
2020-06-11,66545119
2020-06-12,67707875
2020-06-15,66415075
2020-06-16,66951775
2020-06-17,68218872
2020-06-18,68534997
2020-06-19,69691388
2020-06-22,49697035
2020-06-23,50569793
2020-06-24,51713832
2020-06-25,52809793
2020-06-26,53912682
2020-06-29,53079289
2020-06-30,53681345
2020-07-01,52787813
2020-07-02,53458054
2020-07-06,52985713
2020-07-07,53937716
2020-07-08,54884409
2020-07-09,55604442
2020-07-10,56766148
2020-07-13,55979087
2020-07-14,56999855
2020-07-15,58042347
2020-07-16,58759468
2020-07-17,59466538
2020-07-20,47561950
2020-07-21,48671668
2020-07-22,50094511
2020-07-23,50920213
2020-07-24,52166780
2020-07-27,51397128
2020-07-28,52494378
2020-07-29,53927015
2020-07-30,54658324
2020-07-31,55760312
2020-08-03,53982276
2020-08-04,54786584
2020-08-05,56206389
2020-08-06,57122563
2020-08-07,58269153
2020-08-10,57653021
2020-08-11,58508075
2020-08-12,59836175
2020-08-13,60626866
2020-08-14,61812042
2020-08-17,60913492
2020-08-18,61506941
2020-08-19,63496151
2020-08-20,64409041
2020-08-21,65654710
2020-08-24,55584547
2020-08-25,56320869
2020-08-26,57502002
2020-08-27,58571142
2020-08-28,59803667
2020-08-31,58443332
2020-09-01,59157967
2020-09-02,60351595
2020-09-03,61388063
2020-09-04,62618039
2020-09-08,61458257
2020-09-09,62099443
2020-09-10,62927134
2020-09-11,63864084
2020-09-14,63002585
2020-09-15,63701957
2020-09-16,64546053
2020-09-17,65100560
2020-09-18,66046324
2020-09-21,51210923
2020-09-22,52482701
2020-09-23,53714158
2020-09-24,54784086
2020-09-25,55805567
2020-09-28,54950245
2020-09-29,55877598
2020-09-30,56812620
2020-10-01,55375667
2020-10-02,56324728
2020-10-05,55668042
2020-10-06,56238135
2020-10-07,57477676
2020-10-08,58413878
2020-10-09,59549837
2020-10-12,58694964
2020-10-13,59952721
2020-10-14,61059918
2020-10-15,61428594
2020-10-16,62546782
2020-10-19,51538582
2020-10-20,52329367
2020-10-21,53300851
2020-10-22,53831708
2020-10-23,54918753
2020-10-26,54159427
2020-10-27,55315049
2020-10-28,56507051
2020-10-29,57597074
2020-10-30,58616318
2020-11-02,56800040
2020-11-03,57874197
2020-11-04,59656121
2020-11-05,60355911
2020-11-06,62093747
2020-11-09,60447575
2020-11-10,61753601
2020-11-11,62716579
2020-11-12,63806331
2020-11-13,65286645
2020-11-16,64055191
2020-11-17,65043150
2020-11-18,65984514
2020-11-19,67014012
2020-11-20,68261400
2020-11-23,55499862
2020-11-24,56515166
2020-11-25,58118354
2020-11-27,58847511
2020-11-30,57672768
2020-12-01,58237591
2020-12-02,59455294
2020-12-03,60385131
2020-12-04,61594230
2020-12-07,60860247
2020-12-08,61809006
2020-12-09,62834426
2020-12-10,64185798
2020-12-11,65311230
2020-12-14,64669763
2020-12-15,65560837
2020-12-16,66931731
2020-12-17,67654472
2020-12-18,69104555
2020-12-21,51845826
2020-12-22,52875222
2020-12-23,54007594
2020-12-24,54734857
2020-12-28,53855413
2020-12-29,54549331
2020-12-30,56025013
2020-12-31,56796009
2021-01-04,53443081
2021-01-05,55006622
2021-01-06,56780099
2021-01-07,58111042
2021-01-08,59548376
2021-01-11,59164782
2021-01-12,60534349
2021-01-13,62147278
2021-01-14,64074480
2021-01-15,65807058
2021-01-19,43860466
2021-01-20,45369732
2021-01-21,46493717
2021-01-22,48513386
2021-01-25,47051938
2021-01-26,48350157
2021-01-27,49699424
2021-01-28,51196361
2021-01-29,52448122
2021-02-01,50667187
2021-02-02,52309553
2021-02-03,53667892
2021-02-04,54326193
2021-02-05,55766361
2021-02-08,54410074
2021-02-09,55532196
2021-02-10,56803301
2021-02-11,57569004
2021-02-12,58955428
2021-02-16,58285102
2021-02-17,60152032
2021-02-18,61177995
2021-02-19,62720453
2021-02-22,51976906
2021-02-23,53694432
2021-02-24,55260477
2021-02-25,56880537
2021-02-26,58350063
2021-03-01,56602804
2021-03-02,57528607
2021-03-03,58782464
2021-03-04,59633024
2021-03-05,61136898
2021-03-08,59748013
2021-03-09,60807043
2021-03-10,61722688
2021-03-11,62301047
2021-03-12,64005642
2021-03-15,62432530
2021-03-16,63244714
2021-03-17,64797314
2021-03-18,65407595
2021-03-19,66605378
2021-03-22,48889686
2021-03-23,49976905
2021-03-24,51443220
2021-03-25,52726705
2021-03-26,53883708
2021-03-29,53086450
2021-03-30,54223003
2021-03-31,55151518
2021-04-01,53679465
2021-04-05,53333005
2021-04-06,54207791
2021-04-07,55214049
2021-04-08,56139970
2021-04-09,57086428
2021-04-12,56186242
2021-04-13,57204664
2021-04-14,58402721
2021-04-15,59204977
2021-04-16,60702900
2021-04-19,48650555
2021-04-20,50161160
2021-04-21,51482868
2021-04-22,52003331
2021-04-23,52189977
2021-04-26,52089422
2021-04-27,52892297
2021-04-28,53903372
2021-04-29,54569335
2021-04-30,55896010
2021-05-03,54099843
2021-05-04,54766223
2021-05-05,56068820
2021-05-06,56803879
2021-05-07,58362112
2021-05-10,57759447
2021-05-11,58801996
2021-05-12,60157788
2021-05-13,61564328
2021-05-14,62638640
2021-05-17,61326949
2021-05-18,61899691
