date,value
2019-10-07,94704104
2019-10-08,96152763
2019-10-09,98452730
2019-10-10,99478996
2019-10-11,101424877
2019-10-14,100295135
2019-10-15,100739573
2019-10-16,102857063
2019-10-17,104129810
2019-10-18,105750336
2019-10-21,86561530
2019-10-22,88049992
2019-10-23,90188223
2019-10-24,91155557
2019-10-25,92897528
2019-10-28,91078078
2019-10-29,92918810
2019-10-30,94813405
2019-10-31,96588984
2019-11-01,98448381
2019-11-04,96683492
2019-11-05,98593085
2019-11-06,100566256
2019-11-07,101506472
2019-11-08,103514875
2019-11-11,102760826
2019-11-12,103844123
2019-11-13,105214901
2019-11-14,105920683
2019-11-15,108051276
2019-11-18,90541116
2019-11-19,91853954
2019-11-20,94065120
2019-11-21,95651407
2019-11-22,97302135
2019-11-25,95671910
2019-11-26,97366981
2019-11-27,99408112
2019-11-29,100587422
2019-12-02,97563334
2019-12-03,99134917
2019-12-04,101095024
2019-12-05,102218992
2019-12-06,103653923
2019-12-09,101815905
2019-12-10,103074034
2019-12-11,104622378
2019-12-12,106036867
2019-12-13,108869911
2019-12-16,103720499
2019-12-17,95024170
2019-12-18,106103351
2019-12-19,107226188
2019-12-20,105412080
2019-12-23,81216569
2019-12-24,82926780
2019-12-26,83865287
2019-12-27,85528095
2019-12-30,83531614
2019-12-31,86828475
2020-01-02,83992161
2020-01-03,86224984
2020-01-06,85971896
2020-01-07,87523436
2020-01-08,89329880
2020-01-09,91478997
2020-01-10,93840601
2020-01-13,92927932
2020-01-14,95399742
2020-01-15,97343296
2020-01-16,99303723
2020-01-17,102137624
2020-01-21,67780597
2020-01-22,70504504
2020-01-23,72301414
2020-01-24,75111902
2020-01-27,75078621
2020-01-28,78084392
2020-01-29,80502111
2020-01-30,81799839
2020-01-31,84732142
2020-02-03,82939344
2020-02-04,84680143
2020-02-05,86636956
2020-02-06,88445804
2020-02-07,90490814
2020-02-10,88288985
2020-02-11,89745850
2020-02-12,91958440
2020-02-13,93891050
2020-02-14,95836609
2020-02-18,93436622
2020-02-19,94920900
2020-02-20,96271904
2020-02-21,98664728
2020-02-24,81472536
2020-02-25,85489837
2020-02-26,90399767
2020-02-27,92629834
2020-02-28,97631187
2020-03-02,96888297
2020-03-03,99172234
2020-03-04,102517280
2020-03-05,104482794
2020-03-06,107557106
2020-03-09,105549466
2020-03-10,107749230
2020-03-11,110956171
2020-03-12,113710584
2020-03-13,116924186
2020-03-16,115499061
2020-03-17,117137113
2020-03-18,119654996
2020-03-19,121559676
2020-03-20,124332630
2020-03-23,94359264
2020-03-24,96432084
2020-03-25,99698152
2020-03-26,101587368
2020-03-27,104709367
2020-03-30,99631839
2020-03-31,104542064
2020-04-01,102827005
2020-04-02,104222376
2020-04-03,106905321
2020-04-06,105141795
2020-04-07,107302288
2020-04-08,109995526
2020-04-09,111829701
2020-04-13,111841736
2020-04-14,113497190
2020-04-15,116108097
2020-04-16,118610546
2020-04-17,121187326
2020-04-20,94804709
2020-04-21,97326419
2020-04-22,101617978
2020-04-23,102580146
2020-04-24,105422408
2020-04-27,103037949
2020-04-28,105128854
2020-04-29,98411868
2020-04-30,109002868
2020-05-01,111034680
2020-05-04,107795354
2020-05-05,109202233
2020-05-06,111281375
2020-05-07,112335303
2020-05-08,114623172
2020-05-11,113357771
2020-05-12,114585269
2020-05-13,116854424
2020-05-14,117851422
2020-05-15,119794772
2020-05-18,98675928
2020-05-19,101397297
2020-05-20,103437881
2020-05-21,105532221
2020-05-22,107929319
2020-05-26,105320244
2020-05-27,107368239
2020-05-28,109195776
2020-05-29,111593196
2020-06-01,108372994
2020-06-02,109508659
2020-06-03,111670849
2020-06-04,113846731
2020-06-05,116123438
2020-06-08,115603839
2020-06-09,117473217
2020-06-10,119638395
2020-06-11,121510954
2020-06-12,124218355
2020-06-15,120804518
2020-06-16,122237505
2020-06-17,124270468
2020-06-18,124641968
2020-06-19,125083260
2020-06-22,91917272
2020-06-23,93699509
2020-06-24,95662692
2020-06-25,97576518
2020-06-26,99566400
2020-06-29,97904650
2020-06-30,99105352
2020-07-01,97492412
2020-07-02,98811794
2020-07-06,97716584
2020-07-07,99645778
2020-07-08,101522723
2020-07-09,102943222
2020-07-10,105148287
2020-07-13,103722329
2020-07-14,106074767
2020-07-15,107807012
2020-07-16,109221300
2020-07-17,110669940
2020-07-20,89671328
2020-07-21,91751712
2020-07-22,94232752
2020-07-23,96038553
2020-07-24,98360203
2020-07-27,96453211
2020-07-28,98498307
