date,value
2019-10-07,414850
2019-10-08,541503
2019-10-09,346082
2019-10-10,359974
2019-10-11,702128
2019-10-14,366520
2019-10-15,476542
2019-10-16,275759
2019-10-17,530341
2019-10-18,883151
2019-10-21,344456
2019-10-22,453949
2019-10-23,308037
2019-10-24,319337
2019-10-25,568848
2019-10-28,265545
2019-10-29,363759
2019-10-30,570779
2019-10-31,894292
2019-11-01,499380
2019-11-04,580824
2019-11-05,539627
2019-11-06,497129
2019-11-07,473216
2019-11-08,518357
2019-11-11,342325
2019-11-12,483407
2019-11-13,478947
2019-11-14,676024
2019-11-15,608777
2019-11-18,378055
2019-11-19,448461
2019-11-20,492007
2019-11-21,562666
2019-11-22,349274
2019-11-25,509903
2019-11-26,821092
2019-11-27,579260
2019-11-29,251216
2019-12-02,415558
2019-12-03,684984
2019-12-04,395372
2019-12-05,334748
2019-12-06,556726
2019-12-09,334460
2019-12-10,227059
2019-12-11,480694
2019-12-12,710286
2019-12-13,540495
2019-12-16,465000
2019-12-17,303794
2019-12-18,881484
2019-12-19,562149
2019-12-20,635118
2019-12-23,343566
2019-12-24,166042
2019-12-26,333508
2019-12-27,417388
2019-12-30,451135
2019-12-31,383615
2020-01-02,468483
2020-01-03,447641
2020-01-06,348300
2020-01-07,544222
2020-01-08,626855
2020-01-09,393481
2020-01-10,505677
2020-01-13,470189
2020-01-14,396943
2020-01-15,446672
2020-01-16,597791
2020-01-17,575108
2020-01-21,390915
2020-01-22,404892
2020-01-23,453172
2020-01-24,884808
2020-01-27,796229
2020-01-28,489748
2020-01-29,442451
2020-01-30,529418
2020-01-31,1341797
2020-02-03,493924
2020-02-04,613069
2020-02-05,940085
2020-02-06,461228
2020-02-07,717440
2020-02-10,555218
2020-02-11,631619
2020-02-12,511581
2020-02-13,453340
2020-02-14,446320
2020-02-18,485444
2020-02-19,410998
2020-02-20,647658
2020-02-21,1026037
2020-02-24,1434363
2020-02-25,1938539
2020-02-26,1118600
2020-02-27,1456755
2020-02-28,1388415
2020-03-02,888416
2020-03-03,850126
2020-03-04,1459139
2020-03-05,836838
2020-03-06,1229146
2020-03-09,1184136
2020-03-10,781619
2020-03-11,962415
2020-03-12,1445171
2020-03-13,1080029
2020-03-16,1053986
2020-03-17,739286
2020-03-18,978455
2020-03-19,751587
2020-03-20,989740
2020-03-23,863652
2020-03-24,812733
2020-03-25,983646
2020-03-26,926124
2020-03-27,874238
2020-03-30,799479
2020-03-31,900234
2020-04-01,880301
2020-04-02,830587
2020-04-03,883603
2020-04-06,876598
2020-04-07,949054
2020-04-08,838615
2020-04-09,1246584
2020-04-13,669240
2020-04-14,829226
2020-04-15,748832
2020-04-16,667491
2020-04-17,968218
2020-04-20,790583
2020-04-21,985826
2020-04-22,610736
2020-04-23,630427
2020-04-24,801001
2020-04-27,670812
2020-04-28,653854
2020-04-29,1097489
2020-04-30,700438
2020-05-01,924659
2020-05-04,590652
2020-05-05,487436
2020-05-06,479189
2020-05-07,498581
2020-05-08,671908
2020-05-11,485394
2020-05-12,547567
2020-05-13,1113603
2020-05-14,763728
2020-05-15,915322
2020-05-18,680193
2020-05-19,543158
2020-05-20,605361
2020-05-21,512657
2020-05-22,530859
2020-05-26,730710
2020-05-27,777498
2020-05-28,727756
2020-05-29,848618
2020-06-01,557938
2020-06-02,541731
2020-06-03,773512
2020-06-04,648841
2020-06-05,937145
2020-06-08,549294
2020-06-09,474860
2020-06-10,621516
2020-06-11,1324667
2020-06-12,1140778
2020-06-15,814460
2020-06-16,630125
2020-06-17,467052
2020-06-18,454886
2020-06-19,808775
2020-06-22,468572
2020-06-23,454675
2020-06-24,805646
2020-06-25,503065
2020-06-26,707945
2020-06-29,444975
2020-06-30,599981
2020-07-01,445730
2020-07-02,532559
2020-07-06,457601
2020-07-07,423514
2020-07-08,477275
2020-07-09,659888
2020-07-10,551872
2020-07-13,656044
2020-07-14,756715
2020-07-15,492150
2020-07-16,378149
2020-07-17,484398
2020-07-20,444701
2020-07-21,470499
2020-07-22,445006
2020-07-23,554640
2020-07-24,637005
2020-07-27,416277
2020-07-28,523647
2020-07-29,380791
2020-07-30,473177
2020-07-31,627302
2020-08-03,435008
2020-08-04,662761
2020-08-05,663822
2020-08-06,454233
2020-08-07,568636
2020-08-10,409184
2020-08-11,653927
2020-08-12,452396
2020-08-13,408322
2020-08-14,393346
2020-08-17,309545
2020-08-18,372910
2020-08-19,479720
2020-08-20,482044
2020-08-21,552279
2020-08-24,369636
2020-08-25,280933
2020-08-26,408451
2020-08-27,448709
2020-08-28,379010
2020-08-31,411717
2020-09-01,413128
2020-09-02,599621
2020-09-03,1249385
2020-09-04,1048157
2020-09-08,652327
2020-09-09,457087
2020-09-10,578277
2020-09-11,647184
2020-09-14,407241
2020-09-15,335105
2020-09-16,529635
2020-09-17,635436
2020-09-18,786511
2020-09-21,815798
2020-09-22,360180
2020-09-23,749269
2020-09-24,624210
2020-09-25,540956
2020-09-28,341502
2020-09-29,343202
2020-09-30,525480
2020-10-01,439992
2020-10-02,575644
2020-10-05,418068
2020-10-06,650668
2020-10-07,379959
2020-10-08,465051
2020-10-09,625462
2020-10-12,505244
2020-10-13,326118
2020-10-14,424843
2020-10-15,458903
2020-10-16,560366
2020-10-19,473816
2020-10-20,358092
2020-10-21,421888
2020-10-22,416405
2020-10-23,346744
2020-10-26,681711
2020-10-27,323126
2020-10-28,927342
2020-10-29,611407
2020-10-30,977224
2020-11-02,542441
2020-11-03,978945
2020-11-04,879405
2020-11-05,686193
2020-11-06,619047
2020-11-09,875726
2020-11-10,606407
2020-11-11,894130
2020-11-12,690684
2020-11-13,691464
2020-11-16,575774
2020-11-17,566017
2020-11-18,649023
2020-11-19,676032
2020-11-20,598309
2020-11-23,548579
2020-11-24,608427
2020-11-25,483473
2020-11-27,344216
2020-11-30,669478
2020-12-01,573796
2020-12-02,511759
2020-12-03,539121
2020-12-04,564531
2020-12-07,475898
2020-12-08,411134
2020-12-09,814027
2020-12-10,508208
2020-12-11,851914
2020-12-14,643180
2020-12-15,613544
2020-12-16,501555
2020-12-17,543866
2020-12-18,713578
2020-12-21,662826
2020-12-22,379557
2020-12-23,543774
2020-12-24,289533
2020-12-28,526138
2020-12-29,568571
2020-12-30,487337
2020-12-31,675527
2021-01-04,918463
2021-01-05,717872
