date,value
2019-10-07,634822
2019-10-08,931447
2019-10-09,626389
2019-10-10,674827
2019-10-11,1551582
2019-10-14,620977
2019-10-15,960939
2019-10-16,646775
2019-10-17,974048
2019-10-18,1298617
2019-10-21,640855
2019-10-22,781478
2019-10-23,636971
2019-10-24,745285
2019-10-25,1086041
2019-10-28,675349
2019-10-29,725222
2019-10-30,986944
2019-10-31,1308401
2019-11-01,1154130
2019-11-04,1389688
2019-11-05,933926
2019-11-06,930779
2019-11-07,1143123
2019-11-08,889020
2019-11-11,672868
2019-11-12,867055
2019-11-13,763523
2019-11-14,989462
2019-11-15,1070776
2019-11-18,693834
2019-11-19,788432
2019-11-20,846334
2019-11-21,848425
2019-11-22,690077
2019-11-25,920974
2019-11-26,1167002
2019-11-27,896471
2019-11-29,470191
2019-12-02,868235
2019-12-03,1117276
2019-12-04,708102
2019-12-05,540103
2019-12-06,1047011
2019-12-09,650534
2019-12-10,499932
2019-12-11,843232
2019-12-12,1695747
2019-12-13,1144702
2019-12-16,973459
2019-12-17,732021
2019-12-18,1225353
2019-12-19,1155365
2019-12-20,1113994
2019-12-23,695460
2019-12-24,399338
2019-12-26,636048
2019-12-27,876617
2019-12-30,929149
2019-12-31,698457
2020-01-02,943911
2020-01-03,1044543
2020-01-06,794202
2020-01-07,872485
2020-01-08,1220678
2020-01-09,945733
2020-01-10,1057677
2020-01-13,900075
2020-01-14,794750
2020-01-15,918175
2020-01-16,1200029
2020-01-17,1190490
2020-01-21,821511
2020-01-22,770138
2020-01-23,979522
2020-01-24,1569712
2020-01-27,1463097
2020-01-28,955195
2020-01-29,793851
2020-01-30,1062670
2020-01-31,2262932
2020-02-03,1284989
2020-02-04,1146646
2020-02-05,1471534
2020-02-06,892044
2020-02-07,1165091
2020-02-10,998231
2020-02-11,1297072
2020-02-12,1198495
2020-02-13,930259
2020-02-14,839252
2020-02-18,1060489
2020-02-19,859540
2020-02-20,1231813
2020-02-21,1731533
2020-02-24,2409853
2020-02-25,2912573
2020-02-26,1756052
2020-02-27,2442788
2020-02-28,2435652
2020-03-02,1561829
2020-03-03,1606154
2020-03-04,2019698
2020-03-05,1594709
2020-03-06,2343374
2020-03-09,1847230
2020-03-10,1527788
2020-03-11,1742078
2020-03-12,2254777
2020-03-13,1853301
2020-03-16,1741096
2020-03-17,1288705
2020-03-18,1730447
2020-03-19,1445449
2020-03-20,1684850
2020-03-23,1673440
2020-03-24,1612513
2020-03-25,1772443
2020-03-26,1634854
2020-03-27,1551178
2020-03-30,1459046
2020-03-31,1566450
2020-04-01,1554724
2020-04-02,1380486
2020-04-03,1664912
2020-04-06,1695362
2020-04-07,1765585
2020-04-08,1562499
2020-04-09,2272319
2020-04-13,1324202
2020-04-14,1549452
2020-04-15,1289663
