date,value
1994-03-31,479936.3
1994-06-30,460086.2
1994-09-30,440056.2
1994-12-31,431584.6
1995-03-31,421111.1
1995-06-30,421175.3
1995-09-30,450579.1
1995-12-31,673871.0
1996-03-31,675369.5
1996-06-30,676365.1
1996-09-30,667479.3
1996-12-31,669869.3
1997-03-31,689105.1
1997-06-30,695255.5
1997-09-30,710721.2
1997-12-31,747338.4
1998-03-31,791039.5
1998-06-30,780386.1
1998-09-30,808321.4
1998-12-31,878979.6
1999-03-31,906480.5
1999-06-30,933211.7
1999-09-30,964287.6
1999-12-31,982376.3
2000-03-31,995442.4
2000-06-30,984283.0
2000-09-30,995829.6
2000-12-31,1000208.4
2001-03-31,995631.1
2001-06-30,1012612.0
2001-09-30,1052581.6
2001-12-31,1137382.3
2002-03-31,1153346.2
2002-06-30,1190629.0
2002-09-30,1244775.9
2002-12-31,1292589.1
2003-03-31,1344587.2
2003-06-30,1409792.0
2003-09-30,1360513.4
2003-12-31,1425900.8
2004-03-31,1525108.5
2004-06-30,1538504.8
2004-09-30,1444977.1
2004-12-31,1492241.9
2005-03-31,1533102.2
2005-06-30,1515461.5
2005-09-30,1526540.2
2005-12-31,1526170.4
2006-03-31,1596705.3
2006-06-30,1627548.3
2006-09-30,1574079.2
2006-12-31,1622301.4
2007-03-31,1594495.8
2007-06-30,1606510.2
2007-09-30,1587892.3
2007-12-31,1553439.5
2008-03-31,1593391.3
2008-06-30,1677624.3
2008-09-30,1686580.8
2008-12-31,1702045.7
2009-03-31,1836998.7
2009-06-30,1952300.4
2009-09-30,1967393.2
2009-12-31,2096285.6
2010-03-31,2118569.5
2010-06-30,2109675.3
2010-09-30,2219713.9
2010-12-31,2261259.8
2011-03-31,2311495.2
2011-06-30,2288925.3
2011-09-30,2317683.5
2011-12-31,2377070.4
2012-03-31,2621798.4
2012-06-30,2607218.6
2012-09-30,2626420.5
2012-12-31,2639694.1
2013-03-31,2621594.4
2013-06-30,2591765.5
2013-09-30,2539263.3
2013-12-31,2518547.9
2014-03-31,2508446.9
2014-06-30,2502271.6
2014-09-30,2529284.5
2014-12-31,2552149.4
2015-03-31,2549066.1
2015-06-30,2550995.9
2015-09-30,2556488.8
2015-12-31,2571631.3
2016-03-31,2558891.2
2016-06-30,2547322.9
2016-09-30,2620214.2
2016-12-31,2685390.0
2017-03-31,2652203.8
2017-06-30,2582403.9
2017-09-30,2599716.0
2017-12-31,2609710.4
2018-03-31,2626807.6
2018-06-30,2599548.4
2018-09-30,2574716.0
2018-12-31,2618295.9
2019-03-31,2609549.6
2019-06-30,2655898.6
2019-09-30,2797206.1
2019-12-31,2917654.4
2020-03-31,3175405.3
2020-06-30,3440170.0
2020-09-30,3560956.0
2020-12-31,3677539.6
2021-03-31,3808492.7
2021-06-30,3768902.5
2021-09-30,3908684.9
2021-12-31,4108675.7
2022-03-31,3980953.5
2022-06-30,3675074.9
2022-09-30,3507686.3
2022-12-31,3356617.9
2023-03-31,3182206.1
2023-06-30,3081654.0
2023-09-30,3049175.1
2023-12-31,3133468.8
2024-03-31,3236166.1
2024-06-30,3247965.3
2024-09-30,3347862.8
2024-12-31,3473240.8
2025-03-31,3515231.2
2025-06-30,3639213.8
2025-09-30,3662165.9
2025-12-31,3682307.9
