date,value
1994-03-31,539951.0
1994-06-30,512228.3
1994-09-30,485469.7
1994-12-31,470983.8
1995-03-31,464108.6
1995-06-30,468167.0
1995-09-30,496547.5
1995-12-31,787814.6
1996-03-31,776796.0
1996-06-30,769660.0
1996-09-30,760826.2
1996-12-31,764417.7
1997-03-31,781284.2
1997-06-30,797267.2
1997-09-30,806813.9
1997-12-31,854301.6
1998-03-31,897849.3
1998-06-30,891711.3
1998-09-30,931708.5
1998-12-31,1012309.7
1999-03-31,1046616.7
1999-06-30,1058740.3
1999-09-30,1085271.8
1999-12-31,1097912.8
2000-03-31,1102703.9
2000-06-30,1088259.9
2000-09-30,1107987.3
2000-12-31,1133606.3
2001-03-31,1152896.2
2001-06-30,1166652.8
2001-09-30,1220980.9
2001-12-31,1301142.8
2002-03-31,1322714.9
2002-06-30,1365827.2
2002-09-30,1423088.4
2002-12-31,1469218.3
2003-03-31,1527863.4
2003-06-30,1601689.7
2003-09-30,1532580.5
2003-12-31,1595694.8
2004-03-31,1723004.1
2004-06-30,1687304.8
2004-09-30,1608587.8
2004-12-31,1662364.1
2005-03-31,1690905.9
2005-06-30,1691616.0
2005-09-30,1691175.7
2005-12-31,1693224.2
2006-03-31,1759680.0
2006-06-30,1783118.2
2006-09-30,1806546.2
2006-12-31,1802875.9
2007-03-31,1777666.6
2007-06-30,1801575.4
2007-09-30,1799373.9
2007-12-31,1777292.3
2008-03-31,1794691.5
2008-06-30,1846224.5
2008-09-30,1781240.6
2008-12-31,1805286.0
2009-03-31,1949921.2
2009-06-30,2070814.4
2009-09-30,2134099.3
2009-12-31,2265973.6
2010-03-31,2304908.8
2010-06-30,2313011.6
2010-09-30,2429207.9
2010-12-31,2453256.0
2011-03-31,2501319.3
2011-06-30,2497443.9
2011-09-30,2540249.5
2011-12-31,2590813.0
2012-03-31,2669237.0
2012-06-30,2661648.6
2012-09-30,2699573.2
2012-12-31,2705230.7
2013-03-31,2678973.8
2013-06-30,2598028.7
2013-09-30,2544789.8
2013-12-31,2509546.1
2014-03-31,2513474.8
2014-06-30,2527304.5
2014-09-30,2548130.2
2014-12-31,2579592.4
2015-03-31,2585577.5
2015-06-30,2566702.0
2015-09-30,2579316.6
2015-12-31,2577104.6
2016-03-31,2587787.2
2016-06-30,2590866.0
2016-09-30,2658782.4
2016-12-31,2671489.4
2017-03-31,2643360.3
2017-06-30,2584358.1
2017-09-30,2604290.7
2017-12-31,2603585.9
2018-03-31,2592552.2
2018-06-30,2559320.5
2018-09-30,2523173.1
2018-12-31,2589565.6
2019-03-31,2606909.4
2019-06-30,2678298.6
2019-09-30,2829605.6
2019-12-31,2945186.6
2020-03-31,3244690.5
2020-06-30,3530758.8
2020-09-30,3648390.0
2020-12-31,3761274.8
2021-03-31,3836512.2
2021-06-30,3809276.0
2021-09-30,3935763.0
2021-12-31,4110735.6
2022-03-31,3828655.4
2022-06-30,3446896.1
2022-09-30,3187489.8
2022-12-31,3079350.9
2023-03-31,2950384.2
2023-06-30,2832516.9
2023-09-30,2755402.2
2023-12-31,2929588.3
2024-03-31,3024736.0
2024-06-30,3044497.1
2024-09-30,3209190.8
2024-12-31,3291128.6
2025-03-31,3363734.3
2025-06-30,3495541.6
2025-09-30,3546790.5
2025-12-31,3583565.4
