date,value
1994-03-31,60014.7
1994-06-30,52142.1
1994-09-30,45413.5
1994-12-31,39399.2
1995-03-31,42997.4
1995-06-30,46991.7
1995-09-30,45968.5
1995-12-31,113943.5
1996-03-31,101426.5
1996-06-30,93294.9
1996-09-30,93347.0
1996-12-31,94548.4
1997-03-31,92179.1
1997-06-30,102011.8
1997-09-30,96092.7
1997-12-31,106963.2
1998-03-31,106809.7
1998-06-30,111325.1
1998-09-30,123387.1
1998-12-31,133330.1
1999-03-31,140136.2
1999-06-30,125528.6
1999-09-30,120984.3
1999-12-31,115536.5
2000-03-31,107261.5
2000-06-30,103977.0
2000-09-30,112157.7
2000-12-31,133397.9
2001-03-31,157265.1
2001-06-30,154040.8
2001-09-30,168399.3
2001-12-31,163760.6
2002-03-31,169368.7
2002-06-30,175198.2
2002-09-30,178312.6
2002-12-31,176629.2
2003-03-31,183276.2
2003-06-30,191897.7
2003-09-30,172067.1
2003-12-31,169794.0
2004-03-31,197895.7
2004-06-30,148800.0
2004-09-30,163610.6
2004-12-31,170122.2
2005-03-31,157803.8
2005-06-30,176154.5
2005-09-30,164635.5
2005-12-31,167053.8
2006-03-31,162974.7
2006-06-30,155569.9
2006-09-30,232467.1
2006-12-31,180574.5
2007-03-31,183170.8
2007-06-30,195065.2
2007-09-30,211481.6
2007-12-31,223852.8
2008-03-31,201300.1
2008-06-30,168600.1
2008-09-30,94659.8
2008-12-31,103240.3
2009-03-31,112922.5
2009-06-30,118514.0
2009-09-30,166706.1
2009-12-31,169688.0
2010-03-31,186339.3
2010-06-30,203336.3
2010-09-30,209494.0
2010-12-31,191996.1
2011-03-31,189824.1
2011-06-30,208518.6
2011-09-30,222566.0
2011-12-31,213742.5
2012-03-31,47438.6
2012-06-30,54430.0
2012-09-30,73152.7
2012-12-31,65536.6
2013-03-31,57379.4
2013-06-30,6263.2
2013-09-30,5526.5
2013-12-31,-9001.8
2014-03-31,5028.0
2014-06-30,25032.9
2014-09-30,18845.7
2014-12-31,27443.1
2015-03-31,36511.3
2015-06-30,15706.2
2015-09-30,22827.8
2015-12-31,5473.2
2016-03-31,28896.0
2016-06-30,43543.2
2016-09-30,38568.2
2016-12-31,-13900.7
2017-03-31,-8843.5
2017-06-30,1954.3
2017-09-30,4574.7
2017-12-31,-6124.6
2018-03-31,-34255.4
2018-06-30,-40227.9
2018-09-30,-51542.9
2018-12-31,-28730.3
2019-03-31,-2640.1
2019-06-30,22399.9
2019-09-30,32399.4
2019-12-31,27532.3
2020-03-31,69285.3
2020-06-30,90588.8
2020-09-30,87434.0
2020-12-31,83735.2
2021-03-31,28019.5
2021-06-30,40373.5
2021-09-30,27078.1
2021-12-31,2059.9
2022-03-31,-152298.1
2022-06-30,-228178.8
2022-09-30,-320196.5
2022-12-31,-277266.9
2023-03-31,-231821.9
2023-06-30,-249137.1
2023-09-30,-293772.9
2023-12-31,-203880.5
2024-03-31,-211430.2
2024-06-30,-203468.2
2024-09-30,-138672.0
2024-12-31,-182112.2
2025-03-31,-151496.9
2025-06-30,-143672.3
2025-09-30,-115375.4
2025-12-31,-98742.5
