date,value
1994-03-31,602648.1
1994-06-30,628325.1
1994-09-30,647724.8
1994-12-31,642351.9
1995-03-31,635137.5
1995-06-30,627158.1
1995-09-30,612488.3
1995-12-31,311672.2
1996-03-31,313954.8
1996-06-30,316333.9
1996-09-30,310965.3
1996-12-31,298675.9
1997-03-31,289928.4
1997-06-30,281309.8
1997-09-30,276155.1
1997-12-31,266258.7
1998-03-31,256640.5
1998-06-30,254348.7
1998-09-30,246489.8
1998-12-31,237059.2
1999-03-31,236997.3
1999-06-30,238979.9
1999-09-30,234148.7
1999-12-31,240017.4
2000-03-31,236950.8
2000-06-30,237162.8
2000-09-30,229968.8
2000-12-31,227350.6
2001-03-31,175693.3
2001-06-30,168839.0
2001-09-30,161498.7
2001-12-31,164104.3
2002-03-31,165504.0
2002-06-30,164406.0
2002-09-30,166336.0
2002-12-31,164116.6
2003-03-31,167119.6
2003-06-30,160940.1
2003-09-30,169674.0
2003-12-31,175052.7
2004-03-31,184828.3
2004-06-30,187266.5
2004-09-30,187503.9
2004-12-31,197418.1
2005-03-31,196756.4
2005-06-30,196956.0
2005-09-30,199104.1
2005-12-31,199883.0
2006-03-31,196489.5
2006-06-30,187786.5
2006-09-30,185840.7
2006-12-31,178046.1
2007-03-31,194709.2
2007-06-30,175844.7
2007-09-30,189728.9
2007-12-31,176853.5
2008-03-31,158353.2
2008-06-30,171140.6
2008-09-30,240046.1
2008-12-31,227038.7
2009-03-31,256271.1
2009-06-30,266134.1
2009-09-30,262569.9
2009-12-31,234395.2
2010-03-31,226662.0
2010-06-30,214806.8
2010-09-30,213516.8
2010-12-31,214549.0
2011-03-31,221956.0
2011-06-30,224424.7
2011-09-30,247987.6
2011-12-31,259528.6
2012-03-31,261308.7
2012-06-30,275736.8
2012-09-30,286857.9
2012-12-31,304726.9
2013-03-31,319556.9
2013-06-30,347301.1
2013-09-30,412842.4
2013-12-31,492217.5
2014-03-31,541040.5
2014-06-30,585790.8
2014-09-30,617950.4
2014-12-31,639370.4
2015-03-31,681767.5
2015-06-30,711316.3
2015-09-30,724594.1
2015-12-31,776452.1
2016-03-31,797150.5
2016-06-30,830100.8
2016-09-30,848956.3
2016-12-31,888281.7
2017-03-31,940508.2
2017-06-30,984613.2
2017-09-30,1010989.7
2017-12-31,1028234.1
2018-03-31,1001545.4
2018-06-30,1069276.4
2018-09-30,1101889.8
2018-12-31,1128611.1
2019-03-31,1110760.5
2019-06-30,1093593.9
2019-09-30,1099181.2
2019-12-31,1028265.4
2020-03-31,955121.2
2020-06-30,967050.6
2020-09-30,1132686.3
2020-12-31,1339876.3
2021-03-31,1630838.2
2021-06-30,1904380.0
2021-09-30,2006218.4
2021-12-31,2120643.5
2022-03-31,2419024.2
2022-06-30,2690844.3
2022-09-30,2724121.8
2022-12-31,2794586.8
2023-03-31,2651098.8
2023-06-30,2592892.8
2023-09-30,2538727.4
2023-12-31,2495132.3
2024-03-31,2439869.4
2024-06-30,2399249.9
2024-09-30,2344681.2
2024-12-31,2283408.6
2025-03-31,2222972.5
2025-06-30,2172404.9
2025-09-30,2178777.4
2025-12-31,2115491.5
