date,value
1994-03-31,444162.9
1994-06-30,457185.2
1994-09-30,467699.4
1994-12-31,457308.6
1995-03-31,460740.9
1995-06-30,457672.4
1995-09-30,448101.6
1995-12-31,211879.8
1996-03-31,214520.5
1996-06-30,210481.7
1996-09-30,208877.2
1996-12-31,204160.4
1997-03-31,200898.2
1997-06-30,197753.0
1997-09-30,193016.8
1997-12-31,190800.0
1998-03-31,184720.7
1998-06-30,182956.9
1998-09-30,179856.2
1998-12-31,173629.2
1999-03-31,169534.5
1999-06-30,167987.2
1999-09-30,166433.1
1999-12-31,166935.5
2000-03-31,165498.7
2000-06-30,163242.5
2000-09-30,158599.6
2000-12-31,157545.5
2001-03-31,126334.8
2001-06-30,120650.9
2001-09-30,117613.1
2001-12-31,119443.6
2002-03-31,119254.8
2002-06-30,122197.2
2002-09-30,125607.3
2002-12-31,125711.9
2003-03-31,126760.2
2003-06-30,124737.2
2003-09-30,132526.6
2003-12-31,133193.5
2004-03-31,137008.1
2004-06-30,138203.1
2004-09-30,142815.9
2004-12-31,150451.4
2005-03-31,148759.6
2005-06-30,150680.9
2005-09-30,150302.2
2005-12-31,149593.5
2006-03-31,146347.7
2006-06-30,140808.6
2006-09-30,141410.7
2006-12-31,133089.7
2007-03-31,131790.5
2007-06-30,125582.4
2007-09-30,122487.4
2007-12-31,116609.4
2008-03-31,95930.6
2008-06-30,95944.0
2008-09-30,173750.3
2008-12-31,159583.3
2009-03-31,156763.6
2009-06-30,167605.4
2009-09-30,174411.8
2009-12-31,168647.2
2010-03-31,163182.9
2010-06-30,151617.9
2010-09-30,149480.5
2010-12-31,145100.3
2011-03-31,150759.5
2011-06-30,156040.9
2011-09-30,185586.4
2011-12-31,204117.3
2012-03-31,266620.9
2012-06-30,282598.1
2012-09-30,295727.9
2012-12-31,312791.6
2013-03-31,325635.7
2013-06-30,343685.5
2013-09-30,409196.1
2013-12-31,483990.2
2014-03-31,538058.3
2014-06-30,589918.7
2014-09-30,620451.2
2014-12-31,648025.2
2015-03-31,695158.6
2015-06-30,715434.2
2015-09-30,735342.2
2015-12-31,780335.0
2016-03-31,813540.1
2016-06-30,853738.5
2016-09-30,869811.3
2016-12-31,882641.4
2017-03-31,935627.5
2017-06-30,984335.5
2017-09-30,1012049.2
2017-12-31,1024181.0
2018-03-31,980714.0
2018-06-30,1043079.6
2018-09-30,1069151.8
2018-12-31,1110897.9
2019-03-31,1108444.0
2019-06-30,1106630.9
2019-09-30,1119792.1
2019-12-31,1044922.1
2020-03-31,990128.0
2020-06-30,1006365.0
2020-09-30,1169479.8
2020-12-31,1375862.5
2021-03-31,1631669.0
2021-06-30,1915691.9
2021-09-30,2008511.2
2021-12-31,2110654.0
2022-03-31,2277636.1
2022-06-30,2449331.2
2022-09-30,2356144.7
2022-12-31,2454128.1
2023-03-31,2367414.1
2023-06-30,2283639.7
2023-09-30,2148623.3
2023-12-31,2221463.8
2024-03-31,2134812.6
2024-06-30,2089831.1
2024-09-30,2119337.0
2024-12-31,1984790.2
2025-03-31,1961237.0
2025-06-30,1920780.3
2025-09-30,1957008.6
2025-12-31,1908126.2
