date,value
1994-03-31,-158485.2
1994-06-30,-171139.9
1994-09-30,-180025.4
1994-12-31,-185043.3
1995-03-31,-174396.6
1995-06-30,-169485.7
1995-09-30,-164386.7
1995-12-31,-99792.4
1996-03-31,-99434.3
1996-06-30,-105852.1
1996-09-30,-102088.1
1996-12-31,-94515.6
1997-03-31,-89030.2
1997-06-30,-83556.7
1997-09-30,-83138.3
1997-12-31,-75458.7
1998-03-31,-71919.9
1998-06-30,-71391.8
1998-09-30,-66633.6
1998-12-31,-63430.0
1999-03-31,-67462.8
1999-06-30,-70992.7
1999-09-30,-67715.6
1999-12-31,-73081.9
2000-03-31,-71452.1
2000-06-30,-73920.4
2000-09-30,-71369.3
2000-12-31,-69805.1
2001-03-31,-49358.5
2001-06-30,-48188.1
2001-09-30,-43885.5
2001-12-31,-44660.7
2002-03-31,-46249.2
2002-06-30,-42208.8
2002-09-30,-40728.7
2002-12-31,-38404.7
2003-03-31,-40359.4
2003-06-30,-36203.0
2003-09-30,-37147.3
2003-12-31,-41859.2
2004-03-31,-47820.2
2004-06-30,-49063.4
2004-09-30,-44688.0
2004-12-31,-46966.7
2005-03-31,-47996.8
2005-06-30,-46275.1
2005-09-30,-48801.8
2005-12-31,-50289.5
2006-03-31,-50141.7
2006-06-30,-46977.9
2006-09-30,-44430.0
2006-12-31,-44956.4
2007-03-31,-62918.7
2007-06-30,-50262.3
2007-09-30,-67241.4
2007-12-31,-60244.1
2008-03-31,-62422.6
2008-06-30,-75196.6
2008-09-30,-66295.8
2008-12-31,-67455.5
2009-03-31,-99507.5
2009-06-30,-98528.7
2009-09-30,-88158.2
2009-12-31,-65748.0
2010-03-31,-63479.0
2010-06-30,-63188.9
2010-09-30,-64036.3
2010-12-31,-69448.6
2011-03-31,-71196.4
2011-06-30,-68383.8
2011-09-30,-62401.1
2011-12-31,-55411.4
2012-03-31,5312.2
2012-06-30,6861.3
2012-09-30,8870.0
2012-12-31,8064.7
2013-03-31,6078.9
2013-06-30,-3615.6
2013-09-30,-3646.2
2013-12-31,-8227.3
2014-03-31,-2982.2
2014-06-30,4127.8
2014-09-30,2500.8
2014-12-31,8654.8
2015-03-31,13391.1
2015-06-30,4117.9
2015-09-30,10748.1
2015-12-31,3882.9
2016-03-31,16389.6
2016-06-30,23637.6
2016-09-30,20855.0
2016-12-31,-5640.2
2017-03-31,-4880.7
2017-06-30,-277.7
2017-09-30,1059.5
2017-12-31,-4053.1
2018-03-31,-20831.3
2018-06-30,-26196.8
2018-09-30,-32737.9
2018-12-31,-17713.1
2019-03-31,-2316.5
2019-06-30,13037.0
2019-09-30,20610.9
2019-12-31,16656.7
2020-03-31,35006.8
2020-06-30,39314.5
2020-09-30,36793.5
2020-12-31,35986.3
2021-03-31,830.8
2021-06-30,11311.9
2021-09-30,2292.8
2021-12-31,-9989.6
2022-03-31,-141388.1
2022-06-30,-241513.1
2022-09-30,-367977.2
2022-12-31,-340458.7
2023-03-31,-283684.7
2023-06-30,-309253.1
2023-09-30,-390104.1
2023-12-31,-273668.6
2024-03-31,-305056.9
2024-06-30,-309418.8
2024-09-30,-225344.2
2024-12-31,-298618.4
2025-03-31,-261735.5
2025-06-30,-251624.6
2025-09-30,-221768.8
2025-12-31,-207365.3
