date,value
1994-03-31,1149077.0
1994-06-30,1144422.8
1994-09-30,1135830.9
1994-12-31,1115338.2
1995-03-31,1101030.4
1995-06-30,1097263.7
1995-09-30,1110929.5
1995-12-31,1101410.1
1996-03-31,1092652.9
1996-06-30,1087951.9
1996-09-30,1073794.9
1996-12-31,1065160.7
1997-03-31,1074293.4
1997-06-30,1082147.1
1997-09-30,1086283.7
1997-12-31,1123827.8
1998-03-31,1160409.0
1998-06-30,1151866.1
1998-09-30,1181141.7
1998-12-31,1252518.9
1999-03-31,1287292.1
1999-06-30,1301624.2
1999-09-30,1323340.5
1999-12-31,1342364.5
2000-03-31,1344745.1
2000-06-30,1330854.8
2000-09-30,1343040.4
2000-12-31,1365518.2
2001-03-31,1332478.8
2001-06-30,1339173.1
2001-09-30,1386772.9
2001-12-31,1469836.7
2002-03-31,1492509.7
2002-06-30,1534337.8
2002-09-30,1593789.5
2002-12-31,1638323.1
2003-03-31,1699672.7
2003-06-30,1766794.2
2003-09-30,1706510.3
2003-12-31,1775146.2
2004-03-31,1912078.4
2004-06-30,1879222.6
2004-09-30,1800772.5
2004-12-31,1864385.7
2005-03-31,1892220.9
2005-06-30,1893546.8
2005-09-30,1895854.0
2005-12-31,1899336.9
2006-03-31,1962878.2
2006-06-30,1978057.7
2006-09-30,1999671.2
2006-12-31,1988848.6
2007-03-31,1980928.2
2007-06-30,1986820.7
2007-09-30,2000431.2
2007-12-31,1964885.8
2008-03-31,1962833.1
2008-06-30,2024604.1
2008-09-30,2032086.7
2008-12-31,2044740.2
2009-03-31,2220630.4
2009-06-30,2344681.5
2009-09-30,2404494.4
2009-12-31,2507102.0
2010-03-31,2539783.4
2010-06-30,2534611.9
2010-09-30,2649581.3
2010-12-31,2674503.8
2011-03-31,2730681.3
2011-06-30,2727891.0
2011-09-30,2794421.3
2011-12-31,2856616.9
2012-03-31,2937238.0
2012-06-30,2944221.5
2012-09-30,2993224.7
2012-12-31,3016656.1
2013-03-31,3006269.6
2013-06-30,2952386.0
2013-09-30,2964397.3
2013-12-31,3008309.4
2014-03-31,3061285.0
2014-06-30,3119929.3
2014-09-30,3173481.1
2014-12-31,3227524.7
2015-03-31,3276419.6
2015-06-30,3288075.1
2015-09-30,3314884.3
2015-12-31,3365061.5
2016-03-31,3397336.8
2016-06-30,3433418.0
2016-09-30,3521234.1
2016-12-31,3574870.1
2017-03-31,3599178.7
2017-06-30,3585003.6
2017-09-30,3631791.6
2017-12-31,3649526.9
2018-03-31,3616950.1
2018-06-30,3652086.4
2018-09-30,3651203.9
2018-12-31,3744221.0
2019-03-31,3746083.6
2019-06-30,3801292.9
2019-09-30,3962598.2
2019-12-31,4007966.8
2020-03-31,4231186.8
2020-06-30,4539000.2
2020-09-30,4816033.2
2020-12-31,5133935.5
2021-03-31,5499076.1
2021-06-30,5748033.1
2021-09-30,5974243.2
2021-12-31,6266672.9
2022-03-31,6279619.8
2022-06-30,6168600.5
2022-09-30,5944104.4
2022-12-31,5903842.5
2023-03-31,5631203.3
2023-06-30,5454996.5
2023-09-30,5322154.4
2023-12-31,5455202.2
2024-03-31,5495019.2
2024-06-30,5477388.0
2024-09-30,5582565.8
2024-12-31,5604264.6
2025-03-31,5618115.0
2025-06-30,5701416.4
2025-09-30,5760633.8
2025-12-31,5731293.1
