date,value
1994-03-31,925473.8
1994-06-30,912849.5
1994-09-30,901976.6
1994-12-31,878225.5
1995-03-31,878418.1
1995-06-30,882329.3
1995-09-30,902878.5
1995-12-31,895052.1
1996-03-31,892910.2
1996-06-30,885811.5
1996-09-30,878160.3
1996-12-31,880326.9
1997-03-31,891467.3
1997-06-30,901555.6
1997-09-30,915612.6
1997-12-31,950526.8
1998-03-31,990974.3
1998-06-30,978691.2
1998-09-30,1004965.2
1998-12-31,1065645.9
1999-03-31,1083443.3
1999-06-30,1094285.0
1999-09-30,1119136.2
1999-12-31,1131300.8
2000-03-31,1141770.2
2000-06-30,1130159.1
2000-09-30,1146314.8
2000-12-31,1164634.3
2001-03-31,1135857.9
2001-06-30,1143840.0
2001-09-30,1196202.2
2001-12-31,1270603.5
2002-03-31,1280699.0
2002-06-30,1336475.9
2002-09-30,1404361.6
2002-12-31,1451332.6
2003-03-31,1501931.5
2003-06-30,1566667.7
2003-09-30,1512343.0
2003-12-31,1575246.0
2004-03-31,1690598.7
2004-06-30,1668753.5
2004-09-30,1600610.7
2004-12-31,1654080.7
2005-03-31,1676626.5
2005-06-30,1676206.3
2005-09-30,1673332.4
2005-12-31,1665286.4
2006-03-31,1721488.8
2006-06-30,1733589.2
2006-09-30,1716046.0
2006-12-31,1751033.1
2007-03-31,1726471.7
2007-06-30,1714634.7
2007-09-30,1707209.4
2007-12-31,1672835.8
2008-03-31,1680398.5
2008-06-30,1737812.2
2008-09-30,1804310.9
2008-12-31,1814786.0
2009-03-31,1967245.8
2009-06-30,2098644.2
2009-09-30,2162360.6
2009-12-31,2278327.3
2010-03-31,2307988.4
2010-06-30,2304394.6
2010-09-30,2418274.4
2010-12-31,2430752.5
2011-03-31,2486719.6
2011-06-30,2484716.1
2011-09-30,2554503.0
2011-12-31,2629185.2
2012-03-31,2942539.2
2012-06-30,2951083.2
2012-09-30,3002095.1
2012-12-31,3024721.2
2013-03-31,3012348.9
2013-06-30,2948770.4
2013-09-30,2960751.3
2013-12-31,3000082.2
2014-03-31,3058303.0
2014-06-30,3124057.9
2014-09-30,3175982.1
2014-12-31,3236179.7
2015-03-31,3289810.9
2015-06-30,3292194.0
2015-09-30,3325632.6
2015-12-31,3368944.4
2016-03-31,3413726.5
2016-06-30,3457056.1
2016-09-30,3542089.3
2016-12-31,3569229.8
2017-03-31,3594258.6
2017-06-30,3584686.4
2017-09-30,3632812.5
2017-12-31,3645435.5
2018-03-31,3591077.2
2018-06-30,3621037.6
2018-09-30,3613320.5
2018-12-31,3721498.4
2019-03-31,3736963.6
2019-06-30,3806955.8
2019-09-30,3975681.5
2019-12-31,4016277.9
2020-03-31,4255268.4
2020-06-30,4560138.8
2020-09-30,4840653.0
2020-12-31,5158380.9
2021-03-31,5487662.2
2021-06-30,5744452.6
2021-09-30,5965035.5
2021-12-31,6241848.6
2022-03-31,6125174.2
2022-06-30,5916157.6
2022-09-30,5563735.4
2022-12-31,5553338.9
2023-03-31,5337420.6
2023-06-30,5134792.8
2023-09-30,4922365.7
2023-12-31,5171263.7
2024-03-31,5179616.9
2024-06-30,5153577.8
2024-09-30,5347090.1
2024-12-31,5294703.9
2025-03-31,5343738.0
2025-06-30,5435414.3
2025-09-30,5523107.1
2025-12-31,5509765.3
