date,value
1994-03-31,-98470.5
1994-06-30,-118997.8
1994-09-30,-134611.8
1994-12-31,-145644.1
1995-03-31,-131399.2
1995-06-30,-122494.0
1995-09-30,-118418.2
1995-12-31,14151.1
1996-03-31,1992.2
1996-06-30,-12557.2
1996-09-30,-8741.1
1996-12-31,32.8
1997-03-31,3148.9
1997-06-30,18455.1
1997-09-30,12954.5
1997-12-31,31504.6
1998-03-31,34889.9
1998-06-30,39933.3
1998-09-30,56753.5
1998-12-31,69900.1
1999-03-31,72673.4
1999-06-30,54535.9
1999-09-30,53268.7
1999-12-31,42454.6
2000-03-31,35809.3
2000-06-30,30056.6
2000-09-30,40788.4
2000-12-31,63592.8
2001-03-31,107906.5
2001-06-30,105852.6
2001-09-30,124513.7
2001-12-31,119099.8
2002-03-31,123119.5
2002-06-30,132989.4
2002-09-30,137583.9
2002-12-31,138224.5
2003-03-31,142916.8
2003-06-30,155694.8
2003-09-30,134919.8
2003-12-31,127934.8
2004-03-31,150075.5
2004-06-30,99736.6
2004-09-30,118922.7
2004-12-31,123155.5
2005-03-31,109807.0
2005-06-30,129879.4
2005-09-30,115833.7
2005-12-31,116764.3
2006-03-31,112833.0
2006-06-30,108592.0
2006-09-30,188037.1
2006-12-31,135618.1
2007-03-31,120252.1
2007-06-30,144802.9
2007-09-30,144240.1
2007-12-31,163608.7
2008-03-31,138877.5
2008-06-30,93403.6
2008-09-30,28364.0
2008-12-31,35784.9
2009-03-31,13415.0
2009-06-30,19985.3
2009-09-30,78547.9
2009-12-31,103940.0
2010-03-31,122860.3
2010-06-30,140147.4
2010-09-30,145457.8
2010-12-31,122547.5
2011-03-31,118627.7
2011-06-30,140134.9
2011-09-30,160164.9
2011-12-31,158331.2
2012-03-31,52750.8
2012-06-30,61291.4
2012-09-30,82022.7
2012-12-31,73601.3
2013-03-31,63458.3
2013-06-30,2647.6
2013-09-30,1880.2
2013-12-31,-17229.0
2014-03-31,2045.7
2014-06-30,29160.8
2014-09-30,21346.5
2014-12-31,36097.9
2015-03-31,49902.5
2015-06-30,19824.1
2015-09-30,33576.0
2015-12-31,9356.1
2016-03-31,45285.6
2016-06-30,67180.8
2016-09-30,59423.2
2016-12-31,-19540.9
2017-03-31,-13724.2
2017-06-30,1676.6
2017-09-30,5634.2
2017-12-31,-10177.7
2018-03-31,-55086.8
2018-06-30,-66424.6
2018-09-30,-84280.9
2018-12-31,-46443.4
2019-03-31,-4956.6
2019-06-30,35436.9
2019-09-30,53010.4
2019-12-31,44189.0
2020-03-31,104292.1
2020-06-30,129903.3
2020-09-30,124227.5
2020-12-31,119721.4
2021-03-31,28850.3
2021-06-30,51685.4
2021-09-30,29370.9
2021-12-31,-7929.6
2022-03-31,-293686.2
2022-06-30,-469691.9
2022-09-30,-688173.7
2022-12-31,-617725.6
2023-03-31,-515506.6
2023-06-30,-558390.2
2023-09-30,-683877.0
2023-12-31,-477549.0
2024-03-31,-516487.0
2024-06-30,-512887.0
2024-09-30,-364016.2
2024-12-31,-480730.7
2025-03-31,-413232.3
2025-06-30,-395296.9
2025-09-30,-337144.2
2025-12-31,-306107.8
