date,value
2019-10-07,737331
2019-10-08,921019
2019-10-09,618817
2019-10-10,660271
2019-10-11,1099810
2019-10-14,803953
2019-10-15,850824
2019-10-16,890051
2019-10-17,749072
2019-10-18,750025
2019-10-21,556316
2019-10-22,430554
2019-10-23,569355
2019-10-24,547863
2019-10-25,768301
2019-10-28,840880
2019-10-29,647058
2019-10-30,832282
2019-10-31,953663
2019-11-01,942139
2019-11-04,1079238
2019-11-05,674214
2019-11-06,567844
2019-11-07,888006
2019-11-08,604782
2019-11-11,572862
2019-11-12,696964
2019-11-13,663039
2019-11-14,770692
2019-11-15,1092019
2019-11-18,854788
2019-11-19,607180
2019-11-20,989025
2019-11-21,433194
2019-11-22,530757
2019-11-25,752850
2019-11-26,623439
2019-11-27,850875
2019-11-29,469224
2019-12-02,1007087
2019-12-03,789775
2019-12-04,615969
2019-12-05,417270
2019-12-06,818425
2019-12-09,655404
2019-12-10,679717
2019-12-11,736085
2019-12-12,929687
2019-12-13,1146638
2019-12-16,1458001
2019-12-17,1262784
2019-12-18,877978
2019-12-19,751182
2019-12-20,1063778
2019-12-23,585937
2019-12-24,176334
2019-12-26,353442
2019-12-27,683764
2019-12-30,723890
2019-12-31,845228
2020-01-02,680402
2020-01-03,869033
2020-01-06,755014
2020-01-07,620886
2020-01-08,1018128
2020-01-09,1155522
2020-01-10,932307
2020-01-13,892350
2020-01-14,790621
2020-01-15,986010
2020-01-16,1372270
2020-01-17,1554347
2020-01-21,871607
2020-01-22,1100921
2020-01-23,776518
2020-01-24,1045962
2020-01-27,1091101
2020-01-28,780026
2020-01-29,641301
2020-01-30,725853
2020-01-31,1393164
2020-02-03,834606
2020-02-04,765761
2020-02-05,877947
2020-02-06,986804
2020-02-07,773856
2020-02-10,647511
2020-02-11,1134217
2020-02-12,993815
2020-02-13,790535
2020-02-14,944348
2020-02-18,1284550
2020-02-19,980804
2020-02-20,1027854
2020-02-21,926716
2020-02-24,2061115
2020-02-25,1817527
2020-02-26,1436324
2020-02-27,1660485
2020-02-28,2070341
2020-03-02,1305934
2020-03-03,1982720
2020-03-04,1291391
2020-03-05,1794426
2020-03-06,2027939
2020-03-09,1416066
2020-03-10,1336749
2020-03-11,1556703
2020-03-12,2005309
2020-03-13,2275737
2020-03-16,1512414
2020-03-17,1882348
2020-03-18,1418009
2020-03-19,1107992
2020-03-20,1096562
2020-03-23,898291
2020-03-24,1167112
2020-03-25,1117014
2020-03-26,774969
2020-03-27,847905
2020-03-30,787513
2020-03-31,950484
2020-04-01,717086
2020-04-02,545779
2020-04-03,743382
2020-04-06,901633
2020-04-07,783671
2020-04-08,714891
2020-04-09,898088
2020-04-13,627737
2020-04-14,803569
2020-04-15,883106
2020-04-16,550208
2020-04-17,705788
2020-04-20,537270
2020-04-21,532218
2020-04-22,441416
2020-04-23,483501
2020-04-24,570985
2020-04-27,604997
2020-04-28,443849
2020-04-29,662202
2020-04-30,567403
2020-05-01,647618
2020-05-04,547102
2020-05-05,456207
2020-05-06,491005
2020-05-07,578373
2020-05-08,639407
2020-05-11,685294
2020-05-12,586411
2020-05-13,927226
2020-05-14,768183
2020-05-15,926921
2020-05-18,785458
2020-05-19,651102
2020-05-20,680902
2020-05-21,403930
2020-05-22,502198
2020-05-26,737190
2020-05-27,666886
2020-05-28,716547
2020-05-29,617268
2020-06-01,493146
2020-06-02,554788
2020-06-03,1007091
2020-06-04,437555
2020-06-05,1086744
2020-06-08,759191
2020-06-09,500752
2020-06-10,613681
2020-06-11,1184890
2020-06-12,1498517
2020-06-15,912352
2020-06-16,746984
2020-06-17,752879
2020-06-18,449775
2020-06-19,590741
2020-06-22,551078
2020-06-23,385141
2020-06-24,700528
2020-06-25,393576
2020-06-26,700941
2020-06-29,500252
2020-06-30,869533
2020-07-01,513182
2020-07-02,622442
2020-07-06,611385
2020-07-07,382183
2020-07-08,476164
2020-07-09,434013
2020-07-10,565688
2020-07-13,766548
2020-07-14,466871
2020-07-15,731121
2020-07-16,487687
2020-07-17,733690
2020-07-20,629429
2020-07-21,665231
2020-07-22,490973
2020-07-23,423828
2020-07-24,520304
2020-07-27,462146
2020-07-28,294046
2020-07-29,456326
2020-07-30,449826
2020-07-31,581597
2020-08-03,635166
2020-08-04,481721
2020-08-05,676694
2020-08-06,453362
2020-08-07,703914
2020-08-10,499328
2020-08-11,506512
2020-08-12,570649
2020-08-13,410236
2020-08-14,578383
2020-08-17,467362
2020-08-18,667261
2020-08-19,745080
2020-08-20,573849
2020-08-21,583963
2020-08-24,553188
2020-08-25,425320
2020-08-26,944283
2020-08-27,880854
2020-08-28,738294
2020-08-31,604887
2020-09-01,610900
2020-09-02,958876
2020-09-03,1191871
2020-09-04,991657
2020-09-08,721595
2020-09-09,726648
2020-09-10,648756
2020-09-11,773053
2020-09-14,592700
2020-09-15,648063
2020-09-16,595166
2020-09-17,558710
2020-09-18,630196
2020-09-21,640875
2020-09-22,386311
2020-09-23,689945
2020-09-24,464035
2020-09-25,620526
2020-09-28,507549
2020-09-29,404089
2020-09-30,807982
2020-10-01,553584
2020-10-02,591161
2020-10-05,578702
2020-10-06,542171
2020-10-07,561923
2020-10-08,393592
