date,value
2019-10-07,11679586
2019-10-08,11781624
2019-10-09,11967560
2019-10-10,11990105
2019-10-11,12200700
2019-10-14,12255940
2019-10-15,12425299
2019-10-16,12629517
2019-10-17,10436601
2019-10-18,11549271
2019-10-21,10994485
2019-10-22,11118176
2019-10-23,11248582
2019-10-24,11331454
2019-10-25,11544928
2019-10-28,11605306
2019-10-29,11882547
2019-10-30,12134942
2019-10-31,12382527
2019-11-01,12409157
2019-11-04,12515089
2019-11-05,12500523
2019-11-06,12859349
2019-11-07,13019709
2019-11-08,13309685
2019-11-11,13343210
2019-11-12,13375975
2019-11-13,13611765
2019-11-14,13739216
2019-11-15,14007898
2019-11-18,13725593
2019-11-19,14010623
2019-11-20,14223020
2019-11-21,12126795
2019-11-22,12252041
2019-11-25,12160473
2019-11-26,12412214
2019-11-27,12638205
2019-11-29,12544304
2019-12-02,12380585
2019-12-03,12590554
2019-12-04,12723226
2019-12-05,12552186
2019-12-06,12658546
2019-12-09,12502227
2019-12-10,12566532
2019-12-11,12760279
2019-12-12,12861146
2019-12-13,13107682
2019-12-16,13194344
2019-12-17,13517483
2019-12-18,13890566
2019-12-19,11746692
2019-12-20,11980945
2019-12-23,9792962
2019-12-24,9862997
2019-12-26,9812621
2019-12-27,9858064
2019-12-30,9872646
2019-12-31,9954124
2020-01-02,9831488
2020-01-03,10075750
2020-01-06,10112505
2020-01-07,10400266
2020-01-08,10667479
2020-01-09,10970727
2020-01-10,11508366
2020-01-13,11508859
2020-01-14,11770073
2020-01-15,11988724
2020-01-16,12382904
2020-01-17,12951994
2020-01-21,12390047
2020-01-22,12659521
2020-01-23,11005389
2020-01-24,11182235
2020-01-27,11245667
2020-01-28,11473282
2020-01-29,11942598
2020-01-30,11999808
2020-01-31,12207974
2020-02-03,12186109
2020-02-04,12252528
2020-02-05,12414029
2020-02-06,12479297
2020-02-07,12895442
2020-02-10,12922763
2020-02-11,12956172
2020-02-12,13389746
2020-02-13,13627863
2020-02-14,13926375
2020-02-18,13943213
2020-02-19,14425790
2020-02-20,12792980
2020-02-21,13260517
2020-02-24,12626824
2020-02-25,13162369
2020-02-26,13780331
2020-02-27,13995564
2020-02-28,14528752
2020-03-02,14452890
2020-03-03,14607315
2020-03-04,15178468
2020-03-05,15174843
2020-03-06,15853255
2020-03-09,15977626
2020-03-10,16103420
2020-03-11,16514180
2020-03-12,16871014
2020-03-13,17593002
2020-03-16,17807345
2020-03-17,17781142
2020-03-18,18103023
2020-03-19,15786182
2020-03-20,16124954
2020-03-23,13205530
2020-03-24,13128949
2020-03-25,13732639
2020-03-26,13703314
2020-03-27,13973287
2020-03-30,13701011
2020-03-31,13843372
2020-04-01,13475802
2020-04-02,13570067
2020-04-03,13799538
2020-04-06,13766416
2020-04-07,13978221
2020-04-08,14124283
2020-04-09,14074215
2020-04-13,14111838
2020-04-14,14184481
2020-04-15,14408495
2020-04-16,12793097
2020-04-17,13008986
2020-04-20,11429831
2020-04-21,11485506
2020-04-22,11684325
2020-04-23,11609019
2020-04-24,11770031
2020-04-27,11722823
2020-04-28,11780369
2020-04-29,11918948
2020-04-30,11890722
2020-05-01,11760210
2020-05-04,11764831
2020-05-05,11846119
2020-05-06,12015807
2020-05-07,12073291
2020-05-08,12365860
2020-05-11,12429434
2020-05-12,12549915
2020-05-13,12746547
2020-05-14,12860279
2020-05-15,13064197
2020-05-18,12304346
2020-05-19,12424013
2020-05-20,12651145
2020-05-21,10715843
2020-05-22,10834579
2020-05-26,10813644
2020-05-27,10894786
2020-05-28,10945841
2020-05-29,11178855
2020-06-01,10995218
2020-06-02,11129477
2020-06-03,11276718
2020-06-04,11435061
2020-06-05,11550690
2020-06-08,11581420
2020-06-09,11707345
2020-06-10,11883563
2020-06-11,11933818
2020-06-12,12149315
2020-06-15,12175383
2020-06-16,12163935
2020-06-17,12288755
2020-06-18,10941710
2020-06-19,11097532
2020-06-22,8426172
2020-06-23,8541419
2020-06-24,8675981
2020-06-25,8746487
2020-06-26,8887689
2020-06-29,8848290
2020-06-30,8959200
2020-07-01,8915885
2020-07-02,8976964
2020-07-06,9030332
2020-07-07,9060937
2020-07-08,9197141
2020-07-09,9256146
2020-07-10,9377596
2020-07-13,9414009
2020-07-14,9537836
2020-07-15,9672571
2020-07-16,9781748
2020-07-17,9884564
2020-07-20,9550202
2020-07-21,9668129
2020-07-22,9862097
2020-07-23,8356486
2020-07-24,8454059
2020-07-27,8458368
2020-07-28,8437754
2020-07-29,8558487
2020-07-30,8591169
2020-07-31,8681957
2020-08-03,8611471
2020-08-04,8779509
2020-08-05,8903324
2020-08-06,8989138
2020-08-07,9138534
2020-08-10,9159080
2020-08-11,9278557
2020-08-12,9434339
2020-08-13,9518723
2020-08-14,9653414
2020-08-17,9688734
2020-08-18,9812857
2020-08-19,10047501
2020-08-20,9024297
2020-08-21,9228282
2020-08-24,8936316
2020-08-25,9073099
2020-08-26,9228655
2020-08-27,9328809
2020-08-28,9528213
2020-08-31,9425684
2020-09-01,9404698
2020-09-02,9567684
2020-09-03,9709168
2020-09-04,9951485
2020-09-08,9970228
2020-09-09,10104411
2020-09-10,10198106
2020-09-11,10356222
2020-09-14,10329958
2020-09-15,10424763
2020-09-16,10572792
2020-09-17,9686749
2020-09-18,9908078
2020-09-21,8281592
2020-09-22,8359813
2020-09-23,8570040
2020-09-24,8643874
2020-09-25,8808039
2020-09-28,8773872
2020-09-29,8865494
2020-09-30,9010877
2020-10-01,8894002
2020-10-02,9060101
2020-10-05,8986758
2020-10-06,9093842
2020-10-07,9268823
2020-10-08,9313458
2020-10-09,9449443
2020-10-12,9491732
2020-10-13,9575450
2020-10-14,9722630
2020-10-15,9840577
2020-10-16,10018638
2020-10-19,9328670
2020-10-20,9462217
2020-10-21,9638037
2020-10-22,8809241
2020-10-23,8984320
2020-10-26,8944578
2020-10-27,9069698
2020-10-28,9270988
2020-10-29,9388274
2020-10-30,9537163
2020-11-02,9384652
2020-11-03,9428205
2020-11-04,9565116
2020-11-05,9408776
2020-11-06,9587668
2020-11-09,9544310
2020-11-10,9710841
2020-11-11,9949471
2020-11-12,10001870
2020-11-13,10135447
2020-11-16,10097297
2020-11-17,10247030
2020-11-18,10592925
2020-11-19,9417156
2020-11-20,9704808
2020-11-23,9125103
2020-11-24,9220492
2020-11-25,9376181
2020-11-27,9394138
2020-11-30,9328852
2020-12-01,9358319
2020-12-02,9569517
2020-12-03,9756125
2020-12-04,9923066
2020-12-07,9906282
2020-12-08,10008137
2020-12-09,10208737
2020-12-10,10299059
2020-12-11,10545039
2020-12-14,10573291
2020-12-15,10716162
2020-12-16,11023181
2020-12-17,9524985
2020-12-18,9739131
2020-12-21,7461565
2020-12-22,7621785
2020-12-23,7834464
2020-12-24,7850322
2020-12-28,7851438
2020-12-29,7884615
2020-12-30,8039568
2020-12-31,8031898
2021-01-04,7930648
2021-01-05,8212698
2021-01-06,8609305
2021-01-07,8603816
2021-01-08,8913640
2021-01-11,8962506
2021-01-12,9033850
2021-01-13,9297385
2021-01-14,9401474
2021-01-15,9716411
2021-01-19,9069394
2021-01-20,9336168
2021-01-21,7872521
2021-01-22,8056496
2021-01-25,8008579
2021-01-26,8168685
2021-01-27,8299706
2021-01-28,8564754
2021-01-29,8817474
2021-02-01,8845552
2021-02-02,9005685
2021-02-03,9172547
2021-02-04,9169760
2021-02-05,9388005
2021-02-08,9429453
2021-02-09,9553338
2021-02-10,9851560
2021-02-11,9925721
2021-02-12,10114515
2021-02-16,10245733
2021-02-17,10486036
2021-02-18,9072698
2021-02-19,9309238
2021-02-22,8978632
2021-02-23,9094723
2021-02-24,9234837
2021-02-25,9254799
2021-02-26,9407220
2021-03-01,9441217
2021-03-02,9562719
2021-03-03,9684003
2021-03-04,9704915
2021-03-05,9998875
2021-03-08,9934301
2021-03-09,10045994
2021-03-10,10167244
2021-03-11,10329118
2021-03-12,10498325
2021-03-15,10577162
2021-03-16,10910896
2021-03-17,11262214
2021-03-18,9443781
2021-03-19,9669730
2021-03-22,8051832
2021-03-23,8270654
2021-03-24,8486791
2021-03-25,8478734
2021-03-26,8655238
2021-03-29,8724950
2021-03-30,8797095
2021-03-31,8923652
2021-04-01,8788925
2021-04-05,8942023
2021-04-06,9098040
2021-04-07,9306648
2021-04-08,9460420
2021-04-09,10210025
2021-04-12,10361892
2021-04-13,10516122
2021-04-14,10768779
2021-04-15,10907134
2021-04-16,11210163
2021-04-19,10831291
2021-04-20,10960181
2021-04-21,11267834
2021-04-22,9365787
2021-04-23,9486679
2021-04-26,9543471
2021-04-27,9618430
2021-04-28,9689779
2021-04-29,9740183
2021-04-30,9906990
2021-05-03,9819697
2021-05-04,9955060
2021-05-05,10191981
2021-05-06,10128735
2021-05-07,10380937
2021-05-10,10385390
2021-05-11,10608646
2021-05-12,11010010
2021-05-13,11254199
2021-05-14,11329889
2021-05-17,11429775
2021-05-18,11583452
2021-05-19,11911787
2021-05-20,10469169
2021-05-21,10692117
2021-05-24,10275952
2021-05-25,10344787
2021-05-26,10507579
2021-05-27,10403599
2021-05-28,10618737
2021-06-01,10652649
2021-06-02,10838558
2021-06-03,10947151
2021-06-04,11034844
2021-06-07,11041444
2021-06-08,11112064
2021-06-09,11320680
2021-06-10,11394924
2021-06-11,11691101
2021-06-14,11782285
2021-06-15,11916478
2021-06-16,12241512
2021-06-17,10272376
2021-06-18,10549658
2021-06-21,8873513
2021-06-22,8977582
2021-06-23,9186174
2021-06-24,9274359
2021-06-25,9502775
2021-06-28,9586379
2021-06-29,9621485
2021-06-30,9870470
2021-07-01,9767468
2021-07-02,10130899
2021-07-06,9941242
2021-07-07,10143554
2021-07-08,10218544
2021-07-09,10374674
2021-07-12,10473344
2021-07-13,10547315
2021-07-14,10760447
2021-07-15,10852266
2021-07-16,11109717
2021-07-19,10808989
2021-07-20,10945842
2021-07-21,11112701
2021-07-22,9303254
2021-07-23,9458592
2021-07-26,9459211
2021-07-27,9532066
2021-07-28,9696644
2021-07-29,9720050
2021-07-30,9837012
2021-08-02,9867010
2021-08-03,9912788
2021-08-04,10047086
2021-08-05,10040791
2021-08-06,10136092
2021-08-09,10140450
2021-08-10,10248749
2021-08-11,10451686
2021-08-12,10520833
2021-08-13,10806188
2021-08-16,10844161
2021-08-17,10917421
2021-08-18,11223077
2021-08-19,9782477
2021-08-20,10057539
2021-08-23,9644283
2021-08-24,9758626
2021-08-25,9935962
2021-08-26,9991527
2021-08-27,10256971
2021-08-30,10205157
2021-08-31,10231735
2021-09-01,10270786
2021-09-02,10302384
2021-09-03,10454102
2021-09-07,10412411
2021-09-08,10525238
2021-09-09,10618597
2021-09-10,10768274
2021-09-13,10835826
2021-09-14,10978420
2021-09-15,11313664
2021-09-16,10005286
2021-09-17,10214160
2021-09-20,8813882
2021-09-21,9171024
2021-09-22,9445568
2021-09-23,9464237
2021-09-24,9700814
2021-09-27,9631727
2021-09-28,9666875
2021-09-29,9977588
2021-09-30,10002354
2021-10-01,9897845
2021-10-04,10007235
2021-10-05,10162513
2021-10-06,10384466
2021-10-07,10511711
2021-10-08,10708775
2021-10-11,10686804
2021-10-12,10767538
2021-10-13,10931484
2021-10-14,10941671
2021-10-15,11212368
2021-10-18,10798145
2021-10-19,10846478
2021-10-20,11161466
2021-10-21,9726560
2021-10-22,9937828
2021-10-25,9905543
2021-10-26,10023610
2021-10-27,10304133
2021-10-28,10346033
2021-10-29,10502927
2021-11-01,10369597
2021-11-02,10471297
2021-11-03,10629896
2021-11-04,10724002
2021-11-05,10919398
2021-11-08,10943851
2021-11-09,11011370
2021-11-10,11311543
2021-11-11,11319650
2021-11-12,11485466
2021-11-15,11430850
2021-11-16,11521703
2021-11-17,11903046
2021-11-18,10430647
2021-11-19,10690366
2021-11-22,10134195
2021-11-23,10260397
2021-11-24,10470635
2021-11-26,10470789
2021-11-29,10683921
2021-11-30,10879942
2021-12-01,10929407
2021-12-02,11147897
2021-12-03,11355885
2021-12-06,11519277
2021-12-07,11744295
2021-12-08,12120333
2021-12-09,11801419
2021-12-10,11944795
2021-12-13,11892252
2021-12-14,12022891
2021-12-15,12351726
2021-12-16,12388523
2021-12-17,12654813
2021-12-20,10495949
2021-12-21,10568834
2021-12-22,10739327
2021-12-23,9022899
2021-12-27,8996801
2021-12-28,9066000
2021-12-29,9190446
2021-12-30,9223791
2021-12-31,9406622
2022-01-03,9174365
2022-01-04,9397410
2022-01-05,9607488
2022-01-06,9753681
2022-01-07,9914413
2022-01-10,9905188
2022-01-11,10015858
2022-01-12,10159525
2022-01-13,10260642
2022-01-14,10451876
2022-01-18,10425163
2022-01-19,10754678
2022-01-20,9542840
2022-01-21,9999453
2022-01-24,9509219
2022-01-25,9992206
2022-01-26,10338257
2022-01-27,10474242
2022-01-28,10655116
2022-01-31,10730700
2022-02-01,10682990
2022-02-02,10881465
2022-02-03,10897115
2022-02-04,11149737
2022-02-07,11066120
2022-02-08,11227171
2022-02-09,11427095
2022-02-10,11528345
