date,value
2019-10-07,14443596
2019-10-08,14572855
2019-10-09,14928766
2019-10-10,15047633
2019-10-11,15330719
2019-10-14,15283484
2019-10-15,15496530
2019-10-16,15848488
2019-10-17,15313150
2019-10-18,16064999
2019-10-21,14165437
2019-10-22,14251070
2019-10-23,14529913
2019-10-24,14553163
2019-10-25,14766035
2019-10-28,14458445
2019-10-29,14641016
2019-10-30,15022266
2019-10-31,15324674
2019-11-01,15125232
2019-11-04,15074532
2019-11-05,15232186
2019-11-06,15604793
2019-11-07,15771824
2019-11-08,16107851
2019-11-11,16070728
2019-11-12,16236673
2019-11-13,16551226
2019-11-14,16758491
2019-11-15,17231216
2019-11-18,15533734
2019-11-19,15873252
2019-11-20,16372555
2019-11-21,15834916
2019-11-22,16193724
2019-11-25,16049741
2019-11-26,16293864
2019-11-27,16565635
2019-11-29,16709044
2019-12-02,15989982
2019-12-03,16468312
2019-12-04,16811772
2019-12-05,16829535
2019-12-06,17112989
2019-12-09,16754608
2019-12-10,16927689
2019-12-11,17368930
2019-12-12,17553633
2019-12-13,17930114
2019-12-16,17996258
2019-12-17,17946512
2019-12-18,18121252
2019-12-19,16795026
2019-12-20,17178175
2019-12-23,12718674
2019-12-24,12832359
2019-12-26,12863345
2019-12-27,13128570
2019-12-30,13070748
2019-12-31,13248838
2020-01-02,12627492
2020-01-03,13012283
2020-01-06,12965089
2020-01-07,13247266
2020-01-08,13597050
2020-01-09,13844042
2020-01-10,14264201
2020-01-13,14260793
2020-01-14,14536954
2020-01-15,14913476
2020-01-16,15133945
2020-01-17,15695336
2020-01-21,13519717
2020-01-22,13771959
2020-01-23,13467900
2020-01-24,13858590
2020-01-27,13951484
2020-01-28,14211097
2020-01-29,14600092
2020-01-30,14662629
2020-01-31,14962221
2020-02-03,14380212
2020-02-04,14508785
2020-02-05,14888400
2020-02-06,14938638
2020-02-07,15325339
2020-02-10,15102648
2020-02-11,15216430
2020-02-12,15640224
2020-02-13,15781291
2020-02-14,16215420
2020-02-18,15925257
2020-02-19,16214829
2020-02-20,15497651
2020-02-21,16018442
2020-02-24,14445684
2020-02-25,15062515
2020-02-26,15793565
2020-02-27,16063306
2020-02-28,16888177
2020-03-02,16830265
2020-03-03,17505256
2020-03-04,18046001
2020-03-05,18133090
2020-03-06,18771044
2020-03-09,19483426
2020-03-10,20844640
2020-03-11,21573678
2020-03-12,22188241
2020-03-13,23163924
2020-03-16,23385307
2020-03-17,23579974
2020-03-18,24253434
2020-03-19,20759282
2020-03-20,21307552
2020-03-23,17697235
2020-03-24,17665444
2020-03-25,17907199
2020-03-26,17731899
2020-03-27,18076519
2020-03-30,17837770
2020-03-31,17913195
2020-04-01,17617197
2020-04-02,17354905
2020-04-03,17677481
2020-04-06,17669575
2020-04-07,17864509
2020-04-08,18039802
2020-04-09,17930794
2020-04-13,17998181
2020-04-14,18059235
2020-04-15,18338368
2020-04-16,16507666
2020-04-17,16830941
2020-04-20,14646129
2020-04-21,14849398
2020-04-22,15108701
2020-04-23,15014606
2020-04-24,15253253
2020-04-27,15207337
2020-04-28,15405352
2020-04-29,15709358
2020-04-30,15828872
2020-05-01,15594506
2020-05-04,15821729
2020-05-05,15922202
2020-05-06,16155450
2020-05-07,16168015
2020-05-08,16416154
2020-05-11,16438763
2020-05-12,16490627
2020-05-13,16695110
2020-05-14,16917692
2020-05-15,17182983
2020-05-18,15666801
2020-05-19,15735120
2020-05-20,15900652
2020-05-21,14491634
2020-05-22,14677505
2020-05-26,14579176
2020-05-27,14715545
2020-05-28,14869378
2020-05-29,15147149
2020-06-01,14736889
2020-06-02,14830454
2020-06-03,15125199
2020-06-04,15276023
2020-06-05,15567367
2020-06-08,15598096
2020-06-09,15761762
2020-06-10,16161782
2020-06-11,16254912
2020-06-12,16620224
2020-06-15,16689488
2020-06-16,16721917
2020-06-17,17038521
2020-06-18,15557327
2020-06-19,15874609
2020-06-22,12272051
2020-06-23,12429899
2020-06-24,12637796
2020-06-25,12748830
2020-06-26,13003832
2020-06-29,12969144
2020-06-30,13076382
2020-07-01,12616322
2020-07-02,12690591
2020-07-06,12766592
2020-07-07,12869351
2020-07-08,13039359
2020-07-09,13170471
2020-07-10,13357957
2020-07-13,13325885
2020-07-14,13498367
2020-07-15,13792551
2020-07-16,13812556
2020-07-17,14087721
2020-07-20,12953100
2020-07-21,13112271
2020-07-22,13331681
2020-07-23,12162075
2020-07-24,12439426
2020-07-27,12387415
2020-07-28,12278380
2020-07-29,12458800
2020-07-30,12520024
2020-07-31,12710638
2020-08-03,12455247
2020-08-04,12632647
2020-08-05,12872727
2020-08-06,12918795
2020-08-07,13111530
2020-08-10,13162230
2020-08-11,13234256
2020-08-12,13431775
2020-08-13,13463988
2020-08-14,13646435
2020-08-17,13541254
2020-08-18,13596898
2020-08-19,13857968
2020-08-20,12964485
2020-08-21,13259190
2020-08-24,12130377
2020-08-25,12299894
2020-08-26,12575178
2020-08-27,12634663
2020-08-28,12979976
2020-08-31,12874904
2020-09-01,12753950
2020-09-02,12981465
2020-09-03,13113117
2020-09-04,13547459
2020-09-08,13568155
2020-09-09,13727317
2020-09-10,13832541
2020-09-11,14100649
2020-09-14,14050288
2020-09-15,14147354
2020-09-16,14313716
2020-09-17,13272374
2020-09-18,13675865
2020-09-21,10981125
2020-09-22,11140781
2020-09-23,11470786
2020-09-24,11547159
2020-09-25,11797466
2020-09-28,11734137
2020-09-29,11866652
2020-09-30,12104320
2020-10-01,11656140
2020-10-02,11994577
2020-10-05,11939401
2020-10-06,12144132
2020-10-07,12454553
2020-10-08,12601290
2020-10-09,12921563
2020-10-12,13045179
2020-10-13,13167084
2020-10-14,13501366
2020-10-15,13537526
2020-10-16,13851336
2020-10-19,12936015
2020-10-20,13182034
2020-10-21,13561402
2020-10-22,12844841
2020-10-23,13101216
2020-10-26,13114809
2020-10-27,13406185
2020-10-28,13702986
2020-10-29,13929946
2020-10-30,14203077
2020-11-02,13832885
2020-11-03,13953056
2020-11-04,14389788
2020-11-05,14512014
2020-11-06,14901668
2020-11-09,14858679
2020-11-10,15064429
2020-11-11,15343373
2020-11-12,15337838
2020-11-13,15492154
2020-11-16,15353052
2020-11-17,15485611
2020-11-18,15852888
2020-11-19,14665692
2020-11-20,14969501
2020-11-23,13788695
2020-11-24,13872101
2020-11-25,14168529
2020-11-27,14245765
2020-11-30,14237818
2020-12-01,14206249
2020-12-02,14413528
2020-12-03,14530697
2020-12-04,14755881
2020-12-07,14699759
2020-12-08,14845844
2020-12-09,15109449
2020-12-10,15162502
2020-12-11,15421879
2020-12-14,15430215
2020-12-15,15625072
2020-12-16,15992736
2020-12-17,14594084
2020-12-18,14919114
2020-12-21,10757874
2020-12-22,10939032
2020-12-23,11216462
2020-12-24,11376715
2020-12-28,11204560
2020-12-29,11335367
2020-12-30,11648570
2020-12-31,11721632
2021-01-04,11253390
2021-01-05,11529770
2021-01-06,11954176
2021-01-07,12304447
2021-01-08,12636984
2021-01-11,12461531
2021-01-12,12638774
2021-01-13,13011528
2021-01-14,13197944
2021-01-15,13844724
2021-01-19,12027647
2021-01-20,12262688
2021-01-21,11529019
2021-01-22,11876270
2021-01-25,11682014
2021-01-26,11962212
2021-01-27,12342609
2021-01-28,12470737
2021-01-29,12963752
2021-02-01,12818902
2021-02-02,12974240
2021-02-03,13408306
2021-02-04,13491108
2021-02-05,13839170
2021-02-08,13721395
2021-02-09,13892908
2021-02-10,14333985
2021-02-11,14580396
2021-02-12,15055283
2021-02-16,15077576
2021-02-17,15513049
2021-02-18,13838404
2021-02-19,14198308
2021-02-22,13119493
2021-02-23,13238363
2021-02-24,13518152
2021-02-25,13792318
2021-02-26,14249829
2021-03-01,14141678
2021-03-02,14352166
2021-03-03,14491618
2021-03-04,14554415
2021-03-05,14864485
2021-03-08,14697010
2021-03-09,14824065
2021-03-10,14997107
2021-03-11,14954702
2021-03-12,15277714
2021-03-15,15160080
2021-03-16,15416144
2021-03-17,15715632
2021-03-18,14207832
2021-03-19,14481044
2021-03-22,11916951
2021-03-23,11983634
2021-03-24,12382240
2021-03-25,12474739
2021-03-26,12760988
2021-03-29,12688339
2021-03-30,12854419
2021-03-31,13088023
2021-04-01,12590036
2021-04-05,12531183
2021-04-06,12732275
2021-04-07,13017594
2021-04-08,13133018
2021-04-09,13589431
2021-04-12,13551324
2021-04-13,13698411
2021-04-14,14005659
2021-04-15,14157488
2021-04-16,14519909
2021-04-19,13282128
2021-04-20,13492105
2021-04-21,13747222
2021-04-22,12378339
2021-04-23,12690965
2021-04-26,12581354
2021-04-27,12689780
2021-04-28,12901875
2021-04-29,13029311
2021-04-30,13353153
2021-05-03,13119678
2021-05-04,13282833
2021-05-05,13630008
2021-05-06,13695178
2021-05-07,14075424
2021-05-10,14010420
2021-05-11,14252265
2021-05-12,14695433
2021-05-13,14964226
2021-05-14,15347404
2021-05-17,15199751
2021-05-18,15295198
2021-05-19,15742911
2021-05-20,14629488
2021-05-21,14980529
2021-05-24,13699121
2021-05-25,13753560
2021-05-26,14011742
2021-05-27,14061339
2021-05-28,14314565
2021-06-01,13934643
2021-06-02,14095686
2021-06-03,14167051
2021-06-04,14422035
2021-06-07,14445993
2021-06-08,14562742
2021-06-09,14900858
2021-06-10,14906160
2021-06-11,15284004
2021-06-14,15112233
2021-06-15,15226727
2021-06-16,15445104
2021-06-17,14457143
2021-06-18,15037081
2021-06-21,12192138
2021-06-22,12383513
2021-06-23,12690998
2021-06-24,12705205
2021-06-25,12987913
2021-06-28,12927813
2021-06-29,13001332
2021-06-30,13399707
2021-07-01,12992932
2021-07-02,13419932
2021-07-06,13328575
2021-07-07,13639273
2021-07-08,13673604
2021-07-09,13984633
2021-07-12,13850748
2021-07-13,14011711
2021-07-14,14261573
2021-07-15,14253827
2021-07-16,14558787
2021-07-19,13346982
2021-07-20,13690608
2021-07-21,14050000
2021-07-22,12556605
2021-07-23,12802133
2021-07-26,12635378
2021-07-27,12737495
2021-07-28,13019795
2021-07-29,13024263
2021-07-30,13338558
2021-08-02,12888597
2021-08-03,13101154
2021-08-04,13407835
2021-08-05,13460067
2021-08-06,13713429
2021-08-09,13592308
2021-08-10,13741527
2021-08-11,14043005
2021-08-12,14226088
2021-08-13,14517660
2021-08-16,14546634
2021-08-17,14683841
2021-08-18,15119847
2021-08-19,14239382
2021-08-20,14720379
2021-08-23,13455774
2021-08-24,13595769
2021-08-25,13885794
2021-08-26,13958771
2021-08-27,14375370
2021-08-30,14228684
2021-08-31,14292681
2021-09-01,14208828
2021-09-02,14419826
2021-09-03,14683880
2021-09-07,14544914
2021-09-08,14786928
2021-09-09,15025550
2021-09-10,15359418
2021-09-13,15306659
2021-09-14,15558398
2021-09-15,15853170
2021-09-16,14851012
2021-09-17,15241312
2021-09-20,12625943
2021-09-21,13299864
2021-09-22,13805771
2021-09-23,13793440
2021-09-24,14192873
2021-09-27,13998340
2021-09-28,14063050
2021-09-29,14550305
2021-09-30,14585492
2021-10-01,14174204
2021-10-04,14123353
2021-10-05,14274074
2021-10-06,14588781
2021-10-07,14636865
2021-10-08,14970352
2021-10-11,14770330
2021-10-12,14744660
2021-10-13,15058486
2021-10-14,15080601
2021-10-15,15454132
2021-10-18,14109233
2021-10-19,14236521
2021-10-20,14714163
2021-10-21,13604304
2021-10-22,13947138
2021-10-25,13705715
2021-10-26,13810122
2021-10-27,14135702
2021-10-28,14147037
2021-10-29,14372187
2021-11-01,13931625
2021-11-02,14070528
2021-11-03,14466721
2021-11-04,14415972
2021-11-05,14946819
2021-11-08,14937276
2021-11-09,15078606
2021-11-10,15407041
2021-11-11,15520674
2021-11-12,15718377
2021-11-15,15342043
2021-11-16,15458681
2021-11-17,15877493
2021-11-18,14745394
2021-11-19,15161512
2021-11-22,13885125
2021-11-23,14061916
2021-11-24,14421213
2021-11-26,14521794
2021-11-29,14716793
2021-11-30,14862370
2021-12-01,14876325
2021-12-02,15069026
2021-12-03,15580156
2021-12-06,15989623
2021-12-07,16423631
2021-12-08,17200738
2021-12-09,16554745
2021-12-10,16869323
2021-12-13,16597715
2021-12-14,16700352
2021-12-15,17030636
2021-12-16,16979173
2021-12-17,17377879
2021-12-20,13528737
2021-12-21,13716561
2021-12-22,14036296
2021-12-23,12320793
2021-12-27,12138862
2021-12-28,12169863
2021-12-29,12518398
2021-12-30,12521726
2021-12-31,12786660
2022-01-03,12129320
2022-01-04,12318843
2022-01-05,12656732
2022-01-06,12876860
2022-01-07,13147674
2022-01-10,12992735
2022-01-11,13128519
2022-01-12,13349763
2022-01-13,13417352
2022-01-14,13644322
2022-01-18,13380820
2022-01-19,13627226
