date,value
2019-10-07,26123182
2019-10-08,26354479
2019-10-09,26896326
2019-10-10,27037738
2019-10-11,27531419
2019-10-14,27539424
2019-10-15,27921829
2019-10-16,28478005
2019-10-17,25749751
2019-10-18,27614270
2019-10-21,25159922
2019-10-22,25369246
2019-10-23,25778495
2019-10-24,25884617
2019-10-25,26310963
2019-10-28,26063751
2019-10-29,26523563
2019-10-30,27157208
2019-10-31,27707201
2019-11-01,27534389
2019-11-04,27589621
2019-11-05,27732709
2019-11-06,28464142
2019-11-07,28791533
2019-11-08,29417536
2019-11-11,29413938
2019-11-12,29612648
2019-11-13,30162991
2019-11-14,30497707
2019-11-15,31239114
2019-11-18,29259327
2019-11-19,29883875
2019-11-20,30595575
2019-11-21,27961711
2019-11-22,28445765
2019-11-25,28210214
2019-11-26,28706078
2019-11-27,29203840
2019-11-29,29253348
2019-12-02,28370567
2019-12-03,29058866
2019-12-04,29534998
2019-12-05,29381721
2019-12-06,29771535
2019-12-09,29256835
2019-12-10,29494221
2019-12-11,30129209
2019-12-12,30414779
2019-12-13,31037796
2019-12-16,31190602
2019-12-17,31463995
2019-12-18,32011818
2019-12-19,28541718
2019-12-20,29159120
2019-12-23,22511636
2019-12-24,22695356
2019-12-26,22675966
2019-12-27,22986634
2019-12-30,22943394
2019-12-31,23202962
2020-01-02,22458980
2020-01-03,23088033
2020-01-06,23077594
2020-01-07,23647532
2020-01-08,24264529
2020-01-09,24814769
2020-01-10,25772567
2020-01-13,25769652
2020-01-14,26307027
2020-01-15,26902200
2020-01-16,27516849
2020-01-17,28647330
2020-01-21,25909764
2020-01-22,26431480
2020-01-23,24473289
2020-01-24,25040825
2020-01-27,25197151
2020-01-28,25684379
2020-01-29,26542690
2020-01-30,26662437
2020-01-31,27170195
2020-02-03,26566321
2020-02-04,26761313
2020-02-05,27302429
2020-02-06,27417935
2020-02-07,28220781
2020-02-10,28025411
2020-02-11,28172602
2020-02-12,29029970
2020-02-13,29409154
2020-02-14,30141795
2020-02-18,29868470
2020-02-19,30640619
2020-02-20,28290631
2020-02-21,29278959
2020-02-24,27072508
2020-02-25,28224884
2020-02-26,29573896
2020-02-27,30058870
2020-02-28,31416929
2020-03-02,31283155
2020-03-03,32112571
2020-03-04,33224469
2020-03-05,33307933
2020-03-06,34624299
2020-03-09,35461052
2020-03-10,36948060
2020-03-11,38087858
2020-03-12,39059255
2020-03-13,40756926
2020-03-16,41192652
2020-03-17,41361116
2020-03-18,42356457
2020-03-19,36545464
2020-03-20,37432506
2020-03-23,30902765
2020-03-24,30794393
2020-03-25,31639838
2020-03-26,31435213
2020-03-27,32049806
2020-03-30,31538781
2020-03-31,31756567
2020-04-01,31092999
2020-04-02,30924972
2020-04-03,31477019
2020-04-06,31435991
2020-04-07,31842730
2020-04-08,32164085
2020-04-09,32005009
2020-04-13,32110019
2020-04-14,32243716
2020-04-15,32746863
2020-04-16,29300763
2020-04-17,29839927
2020-04-20,26075960
2020-04-21,26334904
2020-04-22,26793026
2020-04-23,26623625
2020-04-24,27023284
2020-04-27,26930160
2020-04-28,27185721
2020-04-29,27628306
2020-04-30,27719594
2020-05-01,27354716
2020-05-04,27586560
2020-05-05,27768321
2020-05-06,28171257
2020-05-07,28241306
2020-05-08,28782014
2020-05-11,28868197
2020-05-12,29040542
2020-05-13,29441657
2020-05-14,29777971
2020-05-15,30247180
2020-05-18,27971147
2020-05-19,28159133
2020-05-20,28551797
2020-05-21,25207477
2020-05-22,25512084
2020-05-26,25392820
2020-05-27,25610331
2020-05-28,25815219
2020-05-29,26326004
2020-06-01,25732107
2020-06-02,25959931
2020-06-03,26401917
2020-06-04,26711084
2020-06-05,27118057
2020-06-08,27179516
2020-06-09,27469107
2020-06-10,28045345
2020-06-11,28188730
2020-06-12,28769539
2020-06-15,28864871
2020-06-16,28885852
2020-06-17,29327276
2020-06-18,26499037
2020-06-19,26972141
2020-06-22,20698223
2020-06-23,20971318
2020-06-24,21313777
2020-06-25,21495317
2020-06-26,21891521
2020-06-29,21817434
2020-06-30,22035582
2020-07-01,21532207
2020-07-02,21667555
2020-07-06,21796924
2020-07-07,21930288
2020-07-08,22236500
2020-07-09,22426617
2020-07-10,22735553
2020-07-13,22739894
2020-07-14,23036203
2020-07-15,23465122
2020-07-16,23594304
2020-07-17,23972285
2020-07-20,22503302
2020-07-21,22780400
2020-07-22,23193778
2020-07-23,20518561
2020-07-24,20893485
2020-07-27,20845783
2020-07-28,20716134
2020-07-29,21017287
2020-07-30,21111193
2020-07-31,21392595
2020-08-03,21066718
2020-08-04,21412156
2020-08-05,21776051
