date,value
2019-10-07,772590
2019-10-08,1035046
2019-10-09,836592
2019-10-10,948003
2019-10-11,1587372
2019-10-14,1211384
2019-10-15,1361435
2019-10-16,1146705
2019-10-17,870533
2019-10-18,997715
2019-10-21,784481
2019-10-22,642798
2019-10-23,637056
2019-10-24,544344
2019-10-25,797605
2019-10-28,960269
2019-10-29,813633
2019-10-30,1051570
2019-10-31,1201863
2019-11-01,950942
2019-11-04,811661
2019-11-05,709372
2019-11-06,774310
2019-11-07,731096
2019-11-08,820746
2019-11-11,764967
2019-11-12,801632
2019-11-13,961529
2019-11-14,913565
2019-11-15,1263863
2019-11-18,971021
2019-11-19,1130856
2019-11-20,1259162
2019-11-21,934337
2019-11-22,907878
2019-11-25,897496
2019-11-26,656082
2019-11-27,875936
2019-11-29,610195
2019-12-02,1346683
2019-12-03,1112617
2019-12-04,893843
2019-12-05,674675
2019-12-06,1009132
2019-12-09,1011417
2019-12-10,884524
2019-12-11,1067983
2019-12-12,1032438
2019-12-13,2054859
2019-12-16,1594821
2019-12-17,879783
2019-12-18,1060544
2019-12-19,858515
2019-12-20,1169285
2019-12-23,704804
2019-12-24,330820
2019-12-26,589955
2019-12-27,882435
2019-12-30,903224
2019-12-31,1029287
2020-01-02,882504
2020-01-03,1177841
2020-01-06,969414
2020-01-07,749711
2020-01-08,1023479
2020-01-09,982764
2020-01-10,1295438
2020-01-13,990530
2020-01-14,946639
2020-01-15,1091364
2020-01-16,1152585
2020-01-17,1207365
2020-01-21,1026277
2020-01-22,1251908
2020-01-23,843540
2020-01-24,1663427
2020-01-27,1416570
2020-01-28,805121
2020-01-29,925714
2020-01-30,885015
2020-01-31,1607969
2020-02-03,956139
2020-02-04,1032127
2020-02-05,1080811
2020-02-06,921585
2020-02-07,1039678
2020-02-10,882228
2020-02-11,1050120
2020-02-12,1016688
2020-02-13,911485
2020-02-14,1036691
2020-02-18,1367015
2020-02-19,1327938
2020-02-20,1258517
2020-02-21,1478910
2020-02-24,2433079
2020-02-25,2357259
2020-02-26,2139992
2020-02-27,2635266
2020-02-28,3128985
2020-03-02,2216417
2020-03-03,1415457
2020-03-04,1513082
2020-03-05,1497973
2020-03-06,2838431
2020-03-09,3257711
2020-03-10,2137712
2020-03-11,2474253
2020-03-12,2820199
2020-03-13,3088441
2020-03-16,1891033
2020-03-17,1863860
2020-03-18,2238907
2020-03-19,1479081
2020-03-20,1614114
2020-03-23,1494718
2020-03-24,1243877
2020-03-25,1185937
2020-03-26,1019424
2020-03-27,1149836
2020-03-30,1061097
2020-03-31,1251282
2020-04-01,1071111
2020-04-02,854776
2020-04-03,1035427
2020-04-06,1107231
2020-04-07,953194
2020-04-08,934815
2020-04-09,1073173
2020-04-13,748220
2020-04-14,1188862
2020-04-15,993495
2020-04-16,777775
2020-04-17,868222
2020-04-20,830305
2020-04-21,716217
2020-04-22,601374
2020-04-23,642234
2020-04-24,916673
2020-04-27,1052486
2020-04-28,732207
2020-04-29,1073090
2020-04-30,799606
2020-05-01,1079101
2020-05-04,678511
2020-05-05,728013
2020-05-06,648010
2020-05-07,669618
2020-05-08,928974
2020-05-11,938018
2020-05-12,818959
2020-05-13,1466423
2020-05-14,973592
2020-05-15,830190
2020-05-18,862036
2020-05-19,713367
2020-05-20,876100
2020-05-21,605398
2020-05-22,661024
2020-05-26,858563
2020-05-27,885672
2020-05-28,807954
2020-05-29,868253
2020-06-01,658715
2020-06-02,755797
2020-06-03,1078544
2020-06-04,771800
2020-06-05,1257291
2020-06-08,882258
2020-06-09,902565
2020-06-10,818208
2020-06-11,1582454
2020-06-12,1624064
2020-06-15,1111744
2020-06-16,906326
2020-06-17,903478
2020-06-18,775906
2020-06-19,1063222
2020-06-22,840550
2020-06-23,593073
2020-06-24,968353
2020-06-25,704227
2020-06-26,1091298
2020-06-29,929452
2020-06-30,1110416
2020-07-01,870710
2020-07-02,990495
2020-07-06,745311
2020-07-07,715446
2020-07-08,773722
2020-07-09,608759
2020-07-10,929079
2020-07-13,1163804
2020-07-14,679970
2020-07-15,794525
2020-07-16,695685
2020-07-17,981216
2020-07-20,936544
2020-07-21,927874
2020-07-22,710538
2020-07-23,702263
2020-07-24,821278
2020-07-27,534159
2020-07-28,503107
2020-07-29,603624
2020-07-30,572781
2020-07-31,891540
2020-08-03,737191
2020-08-04,597804
2020-08-05,736336
2020-08-06,568591
2020-08-07,873188
2020-08-10,756229
2020-08-11,720209
2020-08-12,821932
2020-08-13,621136
2020-08-14,767726
2020-08-17,728770
2020-08-18,743361
2020-08-19,916750
2020-08-20,725455
2020-08-21,715853
2020-08-24,838760
2020-08-25,597554
2020-08-26,945332
2020-08-27,843129
2020-08-28,1015422
2020-08-31,927245
2020-09-01,604384
2020-09-02,1153680
2020-09-03,1213586
2020-09-04,1365292
2020-09-08,984430
2020-09-09,895881
2020-09-10,735333
2020-09-11,1130120
2020-09-14,935526
2020-09-15,696929
2020-09-16,831021
2020-09-17,950314
2020-09-18,983475
2020-09-21,1074224
2020-09-22,701857
2020-09-23,939347
2020-09-24,775382
2020-09-25,949952
2020-09-28,760052
2020-09-29,586581
2020-09-30,1042219
2020-10-01,737144
2020-10-02,953772
2020-10-05,794346
2020-10-06,851002
2020-10-07,829109
2020-10-08,860639
2020-10-09,1337851
2020-10-12,890586
2020-10-13,867983
2020-10-14,773481
2020-10-15,903342
2020-10-16,1205758
2020-10-19,941819
2020-10-20,801695
2020-10-21,902663
2020-10-22,710586
2020-10-23,827866
2020-10-26,1384006
2020-10-27,715805
2020-10-28,1503838
2020-10-29,1033234
2020-10-30,1227240
2020-11-02,1044632
2020-11-03,1048275
2020-11-04,1460120
2020-11-05,1021939
2020-11-06,1290540
2020-11-09,1530758
2020-11-10,980825
2020-11-11,967694
2020-11-12,913596
2020-11-13,927844
2020-11-16,1030753
2020-11-17,1123406
2020-11-18,954572
2020-11-19,788648
2020-11-20,924655
2020-11-23,702792
2020-11-24,836907
2020-11-25,780809
2020-11-27,683702
2020-11-30,959306
2020-12-01,887322
2020-12-02,831763
2020-12-03,757876
2020-12-04,937901
2020-12-07,793929
2020-12-08,723466
2020-12-09,1194279
2020-12-10,710909
2020-12-11,1306222
2020-12-14,1197510
2020-12-15,1303050
2020-12-16,940991
2020-12-17,837193
2020-12-18,993861
2020-12-21,1013201
2020-12-22,581169
2020-12-23,907533
2020-12-24,461408
2020-12-28,691986
2020-12-29,682195
2020-12-30,715075
2020-12-31,1108581
2021-01-04,1411275
2021-01-05,906813
2021-01-06,1511011
2021-01-07,865905
2021-01-08,1181531
2021-01-11,990239
2021-01-12,858959
2021-01-13,1039275
2021-01-14,1227073
2021-01-15,1304265
2021-01-19,1059499
2021-01-20,1156878
2021-01-21,857702
2021-01-22,753735
2021-01-25,1224736
2021-01-26,842851
2021-01-27,1539828
2021-01-28,1469629
2021-01-29,1562882
2021-02-01,1297180
2021-02-02,1209354
2021-02-03,1000138
2021-02-04,900570
2021-02-05,1081638
2021-02-08,917020
2021-02-09,981719
2021-02-10,1175041
2021-02-11,1169471
2021-02-12,1487767
2021-02-16,1492420
2021-02-17,1236627
2021-02-18,999712
2021-02-19,1232175
2021-02-22,857989
2021-02-23,891920
2021-02-24,1157384
2021-02-25,1254927
2021-02-26,1445681
2021-03-01,1132261
2021-03-02,789501
2021-03-03,898733
2021-03-04,1278769
2021-03-05,1297990
2021-03-08,996736
2021-03-09,1220312
2021-03-10,969495
2021-03-11,975906
2021-03-12,1046988
2021-03-15,1342816
2021-03-16,1293982
2021-03-17,929571
2021-03-18,854361
2021-03-19,1035837
2021-03-22,926919
2021-03-23,888754
2021-03-24,919062
2021-03-25,894947
2021-03-26,1142743
2021-03-29,956837
2021-03-30,696652
2021-03-31,950592
2021-04-01,1085236
2021-04-05,1208977
2021-04-06,735803
2021-04-07,1012732
2021-04-08,1089442
2021-04-09,1091827
2021-04-12,883774
2021-04-13,835764
2021-04-14,1174626
2021-04-15,1078533
2021-04-16,1330857
2021-04-19,1129960
2021-04-20,969095
2021-04-21,862477
2021-04-22,832968
2021-04-23,989353
2021-04-26,747370
2021-04-27,567850
2021-04-28,885116
2021-04-29,836293
2021-04-30,1035092
2021-05-03,848004
2021-05-04,1036745
2021-05-05,936609
2021-05-06,801604
2021-05-07,1278570
2021-05-10,1249156
2021-05-11,1341397
2021-05-12,1806278
2021-05-13,1286848
2021-05-14,1601582
2021-05-17,1158487
2021-05-18,1136598
2021-05-19,1640586
2021-05-20,1038956
2021-05-21,1124928
2021-05-24,1049607
2021-05-25,769468
2021-05-26,999202
2021-05-27,999816
