date,value
2019-10-07,1509921
2019-10-08,1956065
2019-10-09,1455409
2019-10-10,1608274
2019-10-11,2687182
2019-10-14,2015337
2019-10-15,2212259
2019-10-16,2036756
2019-10-17,1619605
2019-10-18,1747740
2019-10-21,1340797
2019-10-22,1073352
2019-10-23,1206411
2019-10-24,1092207
2019-10-25,1565906
2019-10-28,1801149
2019-10-29,1460691
2019-10-30,1883852
2019-10-31,2155526
2019-11-01,1893081
2019-11-04,1890899
2019-11-05,1383586
2019-11-06,1342154
2019-11-07,1619102
2019-11-08,1425528
2019-11-11,1337829
2019-11-12,1498596
2019-11-13,1624568
2019-11-14,1684257
2019-11-15,2355882
2019-11-18,1825809
2019-11-19,1738036
2019-11-20,2248187
2019-11-21,1367531
2019-11-22,1438635
2019-11-25,1650346
2019-11-26,1279521
2019-11-27,1726811
2019-11-29,1079419
2019-12-02,2353770
2019-12-03,1902392
2019-12-04,1509812
2019-12-05,1091945
2019-12-06,1827557
2019-12-09,1666821
2019-12-10,1564241
2019-12-11,1804068
2019-12-12,1962125
2019-12-13,3201497
2019-12-16,3052822
2019-12-17,2142567
2019-12-18,1938522
2019-12-19,1609697
2019-12-20,2233063
2019-12-23,1290741
2019-12-24,507154
2019-12-26,943397
2019-12-27,1566199
2019-12-30,1627114
2019-12-31,1874515
2020-01-02,1562906
2020-01-03,2046874
2020-01-06,1724428
2020-01-07,1370597
2020-01-08,2041607
2020-01-09,2138286
2020-01-10,2227745
2020-01-13,1882880
2020-01-14,1737260
2020-01-15,2077374
2020-01-16,2524855
2020-01-17,2761712
2020-01-21,1897884
2020-01-22,2352829
2020-01-23,1620058
2020-01-24,2709389
2020-01-27,2507671
2020-01-28,1585147
2020-01-29,1567015
2020-01-30,1610868
2020-01-31,3001133
2020-02-03,1790745
2020-02-04,1797888
2020-02-05,1958758
2020-02-06,1908389
2020-02-07,1813534
2020-02-10,1529739
2020-02-11,2184337
2020-02-12,2010503
2020-02-13,1702020
2020-02-14,1981039
2020-02-18,2651565
2020-02-19,2308742
2020-02-20,2286371
2020-02-21,2405626
2020-02-24,4494194
2020-02-25,4174786
2020-02-26,3576316
2020-02-27,4295751
2020-02-28,5199326
2020-03-02,3522351
2020-03-03,3398177
2020-03-04,2804473
2020-03-05,3292399
2020-03-06,4866370
2020-03-09,4673777
2020-03-10,3474461
2020-03-11,4030956
2020-03-12,4825508
2020-03-13,5364178
2020-03-16,3403447
2020-03-17,3746208
2020-03-18,3656916
2020-03-19,2587073
2020-03-20,2710676
2020-03-23,2393009
2020-03-24,2410989
2020-03-25,2302951
2020-03-26,1794393
2020-03-27,1997741
2020-03-30,1848610
2020-03-31,2201766
2020-04-01,1788197
2020-04-02,1400555
2020-04-03,1778809
2020-04-06,2008864
2020-04-07,1736865
2020-04-08,1649706
2020-04-09,1971261
2020-04-13,1375957
2020-04-14,1992431
2020-04-15,1876601
2020-04-16,1327983
2020-04-17,1574010
2020-04-20,1367575
2020-04-21,1248435
2020-04-22,1042790
2020-04-23,1125735
2020-04-24,1487658
2020-04-27,1657483
2020-04-28,1176056
2020-04-29,1735292
2020-04-30,1367009
2020-05-01,1726719
2020-05-04,1225613
2020-05-05,1184220
2020-05-06,1139015
2020-05-07,1247991
2020-05-08,1568381
2020-05-11,1623312
2020-05-12,1405370
2020-05-13,2393649
2020-05-14,1741775
2020-05-15,1757111
2020-05-18,1647494
2020-05-19,1364469
2020-05-20,1557002
2020-05-21,1009328
2020-05-22,1163222
2020-05-26,1595753
2020-05-27,1552558
2020-05-28,1524501
2020-05-29,1485521
2020-06-01,1151861
2020-06-02,1310585
2020-06-03,2085635
2020-06-04,1209355
2020-06-05,2344035
2020-06-08,1641449
2020-06-09,1403317
2020-06-10,1431889
2020-06-11,2767344
2020-06-12,3122581
2020-06-15,2024096
2020-06-16,1653310
2020-06-17,1656357
2020-06-18,1225681
2020-06-19,1653963
2020-06-22,1391628
2020-06-23,978214
2020-06-24,1668881
2020-06-25,1097803
2020-06-26,1792239
2020-06-29,1429704
2020-06-30,1979949
2020-07-01,1383892
2020-07-02,1612937
2020-07-06,1356696
2020-07-07,1097629
2020-07-08,1249886
2020-07-09,1042772
2020-07-10,1494767
2020-07-13,1930352
2020-07-14,1146841
2020-07-15,1525646
2020-07-16,1183372
2020-07-17,1714906
2020-07-20,1565973
2020-07-21,1593105
2020-07-22,1201511
2020-07-23,1126091
2020-07-24,1341582
2020-07-27,996305
2020-07-28,797153
2020-07-29,1059950
2020-07-30,1022607
2020-07-31,1473137
2020-08-03,1372357
2020-08-04,1079525
2020-08-05,1413030
2020-08-06,1021953
2020-08-07,1577102
2020-08-10,1255557
2020-08-11,1226721
2020-08-12,1392581
2020-08-13,1031372
2020-08-14,1346109
2020-08-17,1196132
2020-08-18,1410622
2020-08-19,1661830
2020-08-20,1299304
2020-08-21,1299816
2020-08-24,1391948
2020-08-25,1022874
2020-08-26,1889615
2020-08-27,1723983
2020-08-28,1753716
2020-08-31,1532132
2020-09-01,1215284
2020-09-02,2112556
2020-09-03,2405457
