date,value
2025-12-08,2.00
2025-12-09,0.00
2025-12-10,0.00
2025-12-11,0.00
2025-12-12,33.57
2025-12-15,8.93
2025-12-16,1.00
2025-12-17,1.00
2025-12-18,0.00
2025-12-19,0.00
2025-12-22,2.00
2025-12-23,0.00
2025-12-24,0.00
2025-12-26,0.00
2025-12-29,0.00
2025-12-30,1.00
2025-12-31,1.00
2026-01-02,0.00
2026-01-05,3.00
2026-01-06,3.00
2026-01-07,0.00
2026-01-08,75.00
2026-01-09,0.00
2026-01-12,2.00
2026-01-13,0.00
2026-01-14,2.00
2026-01-15,11.00
2026-01-16,1.00
2026-01-20,3.22
2026-01-21,0.67
2026-01-22,0.00
2026-01-23,0.00
2026-01-26,0.00
2026-01-27,0.00
2026-01-28,0.00
2026-01-29,0.33
2026-01-30,0.00
2026-02-02,5.00
2026-02-03,5.50
2026-02-04,0.33
2026-02-05,0.92
2026-02-06,0.67
2026-02-09,0.24
2026-02-10,0.33
2026-02-11,0.00
2026-02-12,1.00
2026-02-13,0.38
2026-02-17,1.67
2026-02-18,0.00
2026-02-19,1.00
2026-02-20,0.00
2026-02-23,1.00
2026-02-24,1.00
