date,value
2025-12-08,0.00
2025-12-09,0.00
2025-12-10,0.00
2025-12-11,0.00
2025-12-12,1.94
2025-12-15,1.42
2025-12-16,0.00
2025-12-17,1.00
2025-12-18,5.00
2025-12-19,6.00
2025-12-22,40.00
2025-12-23,12.00
2025-12-24,0.00
2025-12-26,1.00
2025-12-29,6.00
2025-12-30,4.00
2025-12-31,10.00
2026-01-02,0.00
2026-01-05,2.00
2026-01-06,1.14
2026-01-07,2.00
2026-01-08,1.24
2026-01-09,1.15
2026-01-12,1.60
2026-01-13,0.42
2026-01-14,0.45
2026-01-15,0.82
2026-01-16,54.96
2026-01-20,60.00
2026-01-21,2.40
2026-01-22,276.31
2026-01-23,11.00
2026-01-26,2.68
2026-01-27,0.66
2026-01-28,0.83
2026-01-29,0.42
2026-01-30,0.47
2026-02-02,1.25
2026-02-03,0.34
2026-02-04,80.46
2026-02-05,83.76
2026-02-06,0.55
2026-02-09,0.09
2026-02-10,0.00
2026-02-11,0.38
2026-02-12,0.23
2026-02-13,0.39
2026-02-17,0.35
2026-02-18,0.00
2026-02-19,0.06
2026-02-20,0.29
2026-02-23,0.09
2026-02-24,0.16
