date,value
2019-10-07,6.00
2019-10-08,14.00
2019-10-09,38.00
2019-10-10,0.00
2019-10-11,1.34
2019-10-14,0.00
2019-10-15,155.50
2019-10-16,24.00
2019-10-17,34.11
2019-10-18,0.71
2019-10-21,385.00
2019-10-22,33.00
2019-10-23,22.00
2019-10-24,11.00
2019-10-25,1.18
2019-10-28,320.00
2019-10-29,9.00
2019-10-30,0.67
2019-10-31,0.00
2019-11-01,1.01
2019-11-04,40.00
2019-11-05,280.00
2019-11-06,6.00
2019-11-07,318.00
2019-11-08,1.00
2019-11-11,1.00
2019-11-12,0.09
2019-11-13,263.00
2019-11-14,0.00
2019-11-15,1.01
2019-11-18,3.50
2019-11-19,7.00
2019-11-20,163.50
2019-11-21,1.00
2019-11-22,0.00
2019-11-25,19.00
2019-11-26,13.00
2019-11-27,0.26
2019-11-29,1.01
2019-12-02,0.72
2019-12-03,0.00
2019-12-04,0.00
2019-12-05,0.00
2019-12-06,1.03
2019-12-09,2.00
2019-12-10,0.00
2019-12-11,2.00
2019-12-12,322.00
2019-12-13,1.32
2019-12-16,110.00
2019-12-17,318.00
2019-12-18,101.00
2019-12-19,269.00
2019-12-20,1.34
2019-12-23,7.40
2019-12-24,17.00
2019-12-26,5.00
2019-12-27,1.00
2019-12-30,2.33
2019-12-31,0.00
2020-01-02,0.69
2020-01-03,1.42
2020-01-06,0.00
2020-01-07,0.00
2020-01-08,0.00
2020-01-09,25.00
2020-01-10,1.05
2020-01-13,46.00
2020-01-14,0.70
2020-01-15,45.67
2020-01-16,86.71
2020-01-17,1.02
2020-01-21,0.00
2020-01-22,0.00
2020-01-23,1.00
2020-01-24,1.03
2020-01-27,280.00
2020-01-28,0.40
2020-01-29,0.00
2020-01-30,180.00
2020-01-31,1.61
2020-02-03,2.38
2020-02-04,60.00
2020-02-05,0.00
2020-02-06,15.00
2020-02-07,1.10
2020-02-10,1.00
2020-02-11,1.50
2020-02-12,0.27
2020-02-13,0.00
2020-02-14,1.03
2020-02-18,1.11
2020-02-19,284.00
2020-02-20,1401.00
2020-02-21,1.02
2020-02-24,75.00
2020-02-25,2.72
2020-02-26,273.00
2020-02-27,7.35
2020-02-28,1.65
2020-03-02,472.00
2020-03-03,19.00
2020-03-04,146.00
2020-03-05,53.50
2020-03-06,1.31
2020-03-09,261.00
2020-03-10,392.00
2020-03-11,298.00
2020-03-12,54.33
2020-03-13,1.27
2020-03-16,43.00
2020-03-17,0.61
2020-03-18,279.00
2020-03-19,36.00
2020-03-20,1.57
2020-03-23,312.00
2020-03-24,27.00
2020-03-25,2.41
2020-03-26,2.64
2020-03-27,1.02
2020-03-30,265.00
2020-03-31,179.00
2020-04-01,3.75
2020-04-02,5.00
2020-04-03,1.02
2020-04-06,10.00
2020-04-07,364.00
2020-04-08,27.00
2020-04-09,1.04
2020-04-13,272.00
2020-04-14,1.10
2020-04-15,307.00
2020-04-16,320.00
2020-04-17,1.06
2020-04-20,0.00
2020-04-21,2.00
2020-04-22,253.00
2020-04-23,5.00
2020-04-24,1.03
2020-04-27,4.17
2020-04-28,35.50
2020-04-29,325.00
2020-04-30,15.00
2020-05-01,1.00
2020-05-04,2.25
2020-05-05,2.56
2020-05-06,3.00
2020-05-07,16.00
2020-05-08,1.01
2020-05-11,391.00
2020-05-12,11.00
2020-05-13,0.13
2020-05-14,128.50
2020-05-15,1.05
2020-05-18,317.00
2020-05-19,25.00
2020-05-20,260.00
2020-05-21,3.67
2020-05-22,1.01
2020-05-26,65.75
2020-05-27,238.00
2020-05-28,30.70
2020-05-29,1.05
2020-06-01,46.20
2020-06-02,258.00
2020-06-03,627.00
2020-06-04,54.00
2020-06-05,157.00
2020-06-08,22.94
2020-06-09,105.00
2020-06-10,2.00
2020-06-11,11.00
2020-06-12,1.00
2020-06-15,3.50
2020-06-16,0.00
2020-06-17,0.00
2020-06-18,4.00
2020-06-19,1.41
2020-06-22,6.50
2020-06-23,251.00
2020-06-24,20.00
2020-06-25,0.00
2020-06-26,1.01
2020-06-29,236.00
2020-06-30,42.00
2020-07-01,254.00
2020-07-02,1.42
2020-07-06,36.50
2020-07-07,18.00
2020-07-08,7.00
2020-07-09,4.00
2020-07-10,1.22
2020-07-13,10.54
2020-07-14,2.00
2020-07-15,17.00
2020-07-16,9.00
2020-07-17,1.05
2020-07-20,12.00
2020-07-21,256.00
2020-07-22,0.17
2020-07-23,234.00
2020-07-24,1.06
2020-07-27,11.00
2020-07-28,125.00
2020-07-29,28.33
2020-07-30,0.03
2020-07-31,1.38
2020-08-03,135.00
2020-08-04,3.86
2020-08-05,29.00
2020-08-06,10.00
2020-08-07,1.04
2020-08-10,1.00
2020-08-11,223.00
2020-08-12,529.00
2020-08-13,9.00
2020-08-14,1.04
2020-08-17,0.00
2020-08-18,288.00
2020-08-19,3.00
2020-08-20,285.00
2020-08-21,1.05
2020-08-24,3.50
2020-08-25,2.00
2020-08-26,31.88
2020-08-27,6.00
2020-08-28,1.05
2020-08-31,2.00
2020-09-01,123.33
2020-09-02,15.00
2020-09-03,0.50
2020-09-04,1.05
2020-09-08,0.00
2020-09-09,0.00
2020-09-10,1.00
2020-09-11,1.05
2020-09-14,1.23
2020-09-15,0.67
2020-09-16,648.00
2020-09-17,28.46
2020-09-18,1.46
2020-09-21,1.09
2020-09-22,1.20
2020-09-23,110.00
2020-09-24,15.29
2020-09-25,1.06
2020-09-28,8.00
2020-09-29,2.00
2020-09-30,2.30
2020-10-01,7.95
2020-10-02,1.07
2020-10-05,7.00
2020-10-06,2.00
2020-10-07,2.00
2020-10-08,0.20
2020-10-09,1.09
2020-10-12,4.00
2020-10-13,4.00
2020-10-14,290.00
2020-10-15,31.57
2020-10-16,1.05
2020-10-19,0.00
2020-10-20,1.75
2020-10-21,0.18
2020-10-22,0.00
2020-10-23,1.07
2020-10-26,0.40
2020-10-27,0.00
2020-10-28,0.33
2020-10-29,141.00
2020-10-30,1.49
2020-11-02,91.57
2020-11-03,0.25
2020-11-04,1.30
2020-11-05,1.74
2020-11-06,1.36
2020-11-09,10.03
2020-11-10,279.50
2020-11-11,29.00
2020-11-12,12.00
2020-11-13,1.47
2020-11-16,34.83
2020-11-17,79.00
2020-11-18,2.75
2020-11-19,0.42
2020-11-20,1.05
2020-11-23,1.50
2020-11-24,24.83
2020-11-25,21.50
2020-11-27,1.08
2020-11-30,1.00
2020-12-01,128.00
2020-12-02,8.00
2020-12-03,12.00
2020-12-04,1.45
2020-12-07,0.73
2020-12-08,0.00
2020-12-09,22.00
2020-12-10,12.00
2020-12-11,1.10
2020-12-14,259.00
2020-12-15,6.00
2020-12-16,24.50
2020-12-17,17.00
2020-12-18,1.71
2020-12-21,42.00
2020-12-22,44.00
2020-12-23,3.60
2020-12-24,1.07
2020-12-28,6.00
2020-12-29,3.20
2020-12-30,7.37
2020-12-31,1.12
2021-01-04,101.00
2021-01-05,7.00
2021-01-06,299.00
2021-01-07,144.00
2021-01-08,1.78
2021-01-11,1738.00
2021-01-12,1436.00
2021-01-13,29.67
2021-01-14,0.18
2021-01-15,1.04
2021-01-19,400.00
2021-01-20,408.00
2021-01-21,29.00
2021-01-22,1.52
2021-01-25,1.96
2021-01-26,36.06
2021-01-27,85.00
2021-01-28,763.00
2021-01-29,3.80
2021-02-01,1.91
2021-02-02,26.52
2021-02-03,72.00
2021-02-04,672.00
2021-02-05,1.50
2021-02-08,474.67
