date,value
2019-10-07,184.00
2019-10-08,20.00
2019-10-09,16.00
2019-10-10,0.07
2019-10-11,1.42
2019-10-14,0.11
2019-10-15,1.01
2019-10-16,1.70
2019-10-17,176.40
2019-10-18,15.00
2019-10-21,0.57
2019-10-22,1.70
2019-10-23,319.00
2019-10-24,17.00
2019-10-25,0.98
2019-10-28,331.00
2019-10-29,0.77
2019-10-30,0.00
2019-10-31,14.00
2019-11-01,0.93
2019-11-04,36.00
2019-11-05,1.08
2019-11-06,10.00
2019-11-07,30.00
2019-11-08,0.95
2019-11-11,22.00
2019-11-12,3.00
2019-11-13,30.00
2019-11-14,1.00
2019-11-15,0.26
2019-11-18,0.09
2019-11-19,5.00
2019-11-20,559.00
2019-11-21,0.01
2019-11-22,0.42
2019-11-25,0.33
2019-11-26,0.02
2019-11-27,0.46
2019-11-29,1.04
2019-12-02,0.22
2019-12-03,9.00
2019-12-04,6.00
2019-12-05,4.00
2019-12-06,1.03
2019-12-09,0.00
2019-12-10,0.00
2019-12-11,0.43
2019-12-12,0.12
2019-12-13,1.12
2019-12-16,1.67
2019-12-17,2.07
2019-12-18,44.60
2019-12-19,293.00
2019-12-20,0.02
2019-12-23,0.31
2019-12-24,9.00
2019-12-26,175.00
2019-12-27,13.00
2019-12-30,7.00
2019-12-31,7.76
2020-01-02,0.39
2020-01-03,1.02
2020-01-06,1.02
2020-01-07,0.00
2020-01-08,9.00
2020-01-09,3.33
2020-01-10,1.99
2020-01-13,0.03
2020-01-14,0.11
2020-01-15,291.00
2020-01-16,6.00
2020-01-17,0.57
2020-01-21,0.10
2020-01-22,0.00
2020-01-23,0.60
2020-01-24,12.00
2020-01-27,83.33
2020-01-28,1.36
2020-01-29,0.24
2020-01-30,3.28
2020-01-31,0.90
2020-02-03,2.46
2020-02-04,0.09
2020-02-05,0.55
2020-02-06,1.29
2020-02-07,1.02
2020-02-10,1.65
2020-02-11,6.00
2020-02-12,0.04
2020-02-13,2.51
2020-02-14,1.01
2020-02-18,0.09
2020-02-19,310.00
2020-02-20,539.00
2020-02-21,0.90
2020-02-24,0.24
2020-02-25,1.20
2020-02-26,6.91
2020-02-27,0.93
2020-02-28,1.57
2020-03-02,1.44
2020-03-03,0.01
2020-03-04,0.05
2020-03-05,45.45
2020-03-06,0.72
2020-03-09,29.00
2020-03-10,328.00
2020-03-11,254.00
2020-03-12,2.08
2020-03-13,1.39
2020-03-16,1.00
2020-03-17,355.00
2020-03-18,729.00
2020-03-19,64.00
2020-03-20,1.27
2020-03-23,89.00
2020-03-24,27.00
2020-03-25,4.00
2020-03-26,0.24
2020-03-27,0.99
2020-03-30,4.00
2020-03-31,377.00
2020-04-01,2.00
2020-04-02,275.00
2020-04-03,1.03
2020-04-06,0.50
2020-04-07,301.00
2020-04-08,0.18
2020-04-09,1.03
2020-04-13,531.00
2020-04-14,603.00
2020-04-15,4.00
2020-04-16,0.10
2020-04-17,7.98
2020-04-20,46.00
2020-04-21,2.00
2020-04-22,267.00
2020-04-23,9.00
2020-04-24,1.03
2020-04-27,0.64
2020-04-28,0.84
2020-04-29,1.30
2020-04-30,460.85
2020-05-01,0.00
2020-05-04,217.00
2020-05-05,2.00
2020-05-06,4.00
2020-05-07,0.31
2020-05-08,1.03
2020-05-11,79.33
2020-05-12,1.16
2020-05-13,0.00
2020-05-14,6.60
2020-05-15,1.03
2020-05-18,9.25
2020-05-19,5.00
2020-05-20,133.00
2020-05-21,2.33
2020-05-22,0.97
2020-05-26,125.50
2020-05-27,2.00
2020-05-28,116.67
2020-05-29,0.96
2020-06-01,46.55
2020-06-02,330.00
2020-06-03,4.42
2020-06-04,0.03
2020-06-05,0.57
2020-06-08,18.79
2020-06-09,14.00
2020-06-10,93.33
2020-06-11,0.16
2020-06-12,0.89
2020-06-15,1.15
2020-06-16,0.01
2020-06-17,0.01
2020-06-18,0.16
2020-06-19,0.89
2020-06-22,52.00
2020-06-23,504.00
2020-06-24,0.00
2020-06-25,250.00
2020-06-26,0.59
2020-06-29,6.00
2020-06-30,1.14
2020-07-01,686.00
2020-07-02,1.43
2020-07-06,12.09
2020-07-07,15.00
2020-07-08,1.47
2020-07-09,12.00
2020-07-10,1.76
2020-07-13,0.17
2020-07-14,3.00
2020-07-15,0.50
2020-07-16,0.20
2020-07-17,6.79
2020-07-20,0.04
2020-07-21,7921.00
2020-07-22,0.00
2020-07-23,0.20
2020-07-24,1.11
2020-07-27,6.00
2020-07-28,4.00
2020-07-29,302.00
2020-07-30,0.00
2020-07-31,1.10
2020-08-03,259.00
2020-08-04,8.00
2020-08-05,0.57
2020-08-06,0.48
2020-08-07,1.04
2020-08-10,0.00
2020-08-11,0.18
2020-08-12,4.00
2020-08-13,462.00
2020-08-14,1.09
2020-08-17,0.01
2020-08-18,269.00
2020-08-19,380.00
2020-08-20,0.00
2020-08-21,1.10
2020-08-24,36.00
2020-08-25,9.00
2020-08-26,0.59
2020-08-27,0.12
2020-08-28,1.09
2020-08-31,0.99
2020-09-01,1.60
2020-09-02,259.54
2020-09-03,0.00
2020-09-04,1.07
2020-09-08,31.00
2020-09-09,11.08
2020-09-10,0.00
2020-09-11,1.11
2020-09-14,0.49
2020-09-15,0.00
2020-09-16,78.50
2020-09-17,57.46
2020-09-18,1.84
2020-09-21,29.00
2020-09-22,0.05
2020-09-23,25.61
2020-09-24,244.00
2020-09-25,1.07
2020-09-28,0.00
2020-09-29,0.00
2020-09-30,151.00
2020-10-01,0.60
2020-10-02,0.85
2020-10-05,36.00
2020-10-06,20.00
2020-10-07,47.51
2020-10-08,0.60
2020-10-09,1.10
2020-10-12,30.00
2020-10-13,1.20
2020-10-14,256.00
2020-10-15,0.22
2020-10-16,1.04
2020-10-19,2.01
2020-10-20,1.35
2020-10-21,3.40
2020-10-22,8.00
2020-10-23,1.03
2020-10-26,232.00
2020-10-27,504.00
2020-10-28,0.00
2020-10-29,0.00
2020-10-30,1.09
2020-11-02,9.30
2020-11-03,7.34
2020-11-04,0.50
2020-11-05,371.00
2020-11-06,1.27
2020-11-09,33.25
2020-11-10,2.10
2020-11-11,1.00
2020-11-12,2.17
2020-11-13,1.41
2020-11-16,14.59
2020-11-17,0.05
2020-11-18,325.00
2020-11-19,922.25
2020-11-20,0.54
2020-11-23,64.50
2020-11-24,2.16
2020-11-25,0.50
2020-11-27,1.10
2020-11-30,0.00
2020-12-01,3.31
2020-12-02,7.00
2020-12-03,412.00
2020-12-04,1.47
2020-12-07,11.00
2020-12-08,0.58
2020-12-09,50.00
2020-12-10,2.52
2020-12-11,1.05
2020-12-14,0.88
2020-12-15,826.00
2020-12-16,7.50
2020-12-17,18.18
2020-12-18,3.12
2020-12-21,3.85
2020-12-22,19.00
2020-12-23,2.00
2020-12-24,1.08
2020-12-28,2.00
2020-12-29,4.00
2020-12-30,32.29
2020-12-31,1.07
2021-01-04,70.33
2021-01-05,0.65
2021-01-06,326.00
2021-01-07,0.19
2021-01-08,1.78
2021-01-11,28.08
2021-01-12,505.00
2021-01-13,106.00
2021-01-14,1.63
2021-01-15,1.12
2021-01-19,0.04
2021-01-20,15.73
2021-01-21,1.39
2021-01-22,1.30
2021-01-25,3.53
2021-01-26,228.00
2021-01-27,0.10
2021-01-28,0.80
2021-01-29,1.52
2021-02-01,1.16
2021-02-02,52.17
2021-02-03,1.11
2021-02-04,1.85
2021-02-05,1.98
2021-02-08,883.00
2021-02-09,753.00
2021-02-10,786.00
2021-02-11,3.01
2021-02-12,1.42
2021-02-16,0.84
2021-02-17,148.00
2021-02-18,22.00
2021-02-19,1.93
2021-02-22,3.62
2021-02-23,3.00
2021-02-24,576.00
2021-02-25,70.00
2021-02-26,3.10
2021-03-01,18.00
2021-03-02,13.86
2021-03-03,598.00
2021-03-04,156.50
2021-03-05,1.74
2021-03-08,2.21
2021-03-09,16.83
2021-03-10,445.00
2021-03-11,469.00
2021-03-12,1.11
2021-03-15,831.00
2021-03-16,2021.00
2021-03-17,103.83
2021-03-18,4.28
2021-03-19,1.38
2021-03-22,234.00
2021-03-23,461.00
2021-03-24,2221.00
2021-03-25,872.00
2021-03-26,1.35
2021-03-29,1.81
2021-03-30,3.04
2021-03-31,26.31
2021-04-01,1.49
2021-04-05,225.48
2021-04-06,252.00
2021-04-07,77.00
2021-04-08,566.00
2021-04-09,1.78
2021-04-12,2024.00
2021-04-13,0.66
2021-04-14,125.50
2021-04-15,430.80
2021-04-16,1.97
2021-04-19,32.82
2021-04-20,1.19
2021-04-21,182.00
2021-04-22,109.00
2021-04-23,1.57
2021-04-26,0.53
2021-04-27,625.00
2021-04-28,0.54
2021-04-29,34.00
2021-04-30,1.43
2021-05-03,3.60
2021-05-04,69.16
2021-05-05,0.00
2021-05-06,13.00
2021-05-07,1.78
2021-05-10,2450.50
2021-05-11,0.10
2021-05-12,616.00
2021-05-13,279.93
2021-05-14,1.38
2021-05-17,451.00
2021-05-18,29.85
2021-05-19,10.05
2021-05-20,6.37
2021-05-21,1.43
2021-05-24,72.17
2021-05-25,0.56
2021-05-26,5.00
2021-05-27,75.00
2021-05-28,1.90
2021-06-01,1019.50
2021-06-02,109.22
2021-06-03,889.00
2021-06-04,1.37
2021-06-07,45.25
2021-06-08,2.68
2021-06-09,287.00
2021-06-10,42.79
2021-06-11,3.07
2021-06-14,30.40
2021-06-15,279.00
2021-06-16,3.61
2021-06-17,0.00
2021-06-18,1.47
2021-06-21,1.04
2021-06-22,2.00
2021-06-23,222.00
2021-06-24,4.06
2021-06-25,1.61
2021-06-28,21.00
2021-06-29,0.69
2021-06-30,8.25
2021-07-01,16.81
2021-07-02,2.77
2021-07-06,7.00
2021-07-07,23.50
2021-07-08,1740.00
2021-07-09,1.74
2021-07-12,9.38
2021-07-13,644.00
2021-07-14,11.26
2021-07-15,31.12
2021-07-16,1.52
2021-07-19,554.00
2021-07-20,571.00
2021-07-21,53.00
2021-07-22,94.00
2021-07-23,2.00
2021-07-26,116.86
2021-07-27,32.63
2021-07-28,0.53
2021-07-29,202.00
2021-07-30,1.99
2021-08-02,101.43
2021-08-03,5.27
2021-08-04,4.57
2021-08-05,20.00
2021-08-06,1.41
2021-08-09,63.06
2021-08-10,5.90
2021-08-11,389.00
2021-08-12,0.00
2021-08-13,1.39
2021-08-16,105.67
2021-08-17,15.69
2021-08-18,352.00
2021-08-19,159.19
2021-08-20,3.30
2021-08-23,72.00
2021-08-24,123.50
2021-08-25,21.50
2021-08-26,297.00
2021-08-27,1.59
2021-08-30,123.00
2021-08-31,1595.00
2021-09-01,227.11
2021-09-02,701.00
2021-09-03,1.77
2021-09-07,24.67
2021-09-08,46.33
2021-09-09,27.00
2021-09-10,2.94
2021-09-13,0.18
2021-09-14,4.44
2021-09-15,98.00
2021-09-16,111.50
2021-09-17,1.57
2021-09-20,297.20
2021-09-21,399.00
2021-09-22,376.00
2021-09-23,164.00
2021-09-24,1.89
2021-09-27,54.16
2021-09-28,70.00
2021-09-29,0.00
2021-09-30,604.00
2021-10-01,2.92
2021-10-04,83.12
2021-10-05,243.00
2021-10-06,963.00
2021-10-07,3.63
2021-10-08,1.75
2021-10-11,18.06
2021-10-12,2.00
2021-10-13,2.29
2021-10-14,562.00
2021-10-15,1.46
