date,value
2019-10-07,3.49
2019-10-08,1.23
2019-10-09,1.04
2019-10-10,2.89
2019-10-11,1.93
2019-10-14,0.88
2019-10-15,1.47
2019-10-16,2.27
2019-10-17,2.36
2019-10-18,0.98
2019-10-21,3.53
2019-10-22,3.15
2019-10-23,0.78
2019-10-24,0.92
2019-10-25,1.32
2019-10-28,0.97
2019-10-29,5.90
2019-10-30,1.27
2019-10-31,1.52
2019-11-01,1.11
2019-11-04,1.24
2019-11-05,1.29
2019-11-06,3.43
2019-11-07,1.35
2019-11-08,2.96
2019-11-11,2.26
2019-11-12,1.85
2019-11-13,1.01
2019-11-14,8.37
2019-11-15,0.57
2019-11-18,2.20
2019-11-19,3.59
2019-11-20,9.73
2019-11-21,2.95
2019-11-22,3.98
2019-11-25,1.30
2019-11-26,1.96
2019-11-27,0.74
2019-11-29,2.62
2019-12-02,2.83
2019-12-03,1.30
2019-12-04,0.56
2019-12-05,2.54
2019-12-06,0.90
2019-12-09,3.75
2019-12-10,9.57
2019-12-11,2.04
2019-12-12,3.31
2019-12-13,1.40
2019-12-16,3.25
2019-12-17,0.60
2019-12-18,0.84
2019-12-19,2.15
2019-12-20,0.67
2019-12-23,2.14
2019-12-24,4.30
2019-12-26,1.88
2019-12-27,2.80
2019-12-30,0.53
2019-12-31,1.27
2020-01-02,0.82
2020-01-03,1.85
2020-01-06,0.97
2020-01-07,2.84
2020-01-08,1.57
2020-01-09,1.47
2020-01-10,2.61
2020-01-13,2.14
2020-01-14,7.84
2020-01-15,7.77
2020-01-16,2.12
2020-01-17,0.85
2020-01-21,10.30
2020-01-22,3.02
2020-01-23,3.85
2020-01-24,5.58
2020-01-27,2.29
2020-01-28,2.87
2020-01-29,9.90
2020-01-30,6.94
2020-01-31,2.78
2020-02-03,5.37
2020-02-04,2.49
2020-02-05,2.45
2020-02-06,1.07
2020-02-07,1.70
2020-02-10,1.61
2020-02-11,2.16
2020-02-12,5.74
2020-02-13,3.19
2020-02-14,0.68
2020-02-18,0.61
2020-02-19,0.50
2020-02-20,1.00
2020-02-21,0.62
2020-02-24,1.91
2020-02-25,1.05
2020-02-26,1.51
2020-02-27,0.78
2020-02-28,1.02
2020-03-02,1.00
2020-03-03,1.11
2020-03-04,2.38
2020-03-05,1.61
2020-03-06,0.62
2020-03-09,1.83
2020-03-10,1.89
2020-03-11,0.92
2020-03-12,1.39
2020-03-13,1.59
2020-03-16,3.03
2020-03-17,4.38
2020-03-18,3.08
2020-03-19,0.89
2020-03-20,0.20
2020-03-23,1.21
2020-03-24,1.09
2020-03-25,0.80
2020-03-26,0.62
2020-03-27,0.99
2020-03-30,2.17
2020-03-31,2.05
2020-04-01,2.67
2020-04-02,0.71
2020-04-03,1.42
2020-04-06,1.87
2020-04-07,1.24
2020-04-08,1.43
2020-04-09,2.51
2020-04-13,1.65
2020-04-14,1.04
2020-04-15,3.78
2020-04-16,6.54
2020-04-17,2.34
2020-04-20,5.37
2020-04-21,2.18
2020-04-22,1.57
