date,value
2019-10-07,403679
2019-10-08,441902
2019-10-09,325805
2019-10-10,458875
2019-10-11,627474
2019-10-14,391171
2019-10-15,467712
2019-10-16,568279
2019-10-17,465314
2019-10-18,521556
2019-10-21,347893
2019-10-22,272081
2019-10-23,323743
2019-10-24,310362
2019-10-25,475957
2019-10-28,457566
2019-10-29,319303
2019-10-30,391641
2019-10-31,559784
2019-11-01,647528
2019-11-04,579437
2019-11-05,336680
2019-11-06,334484
2019-11-07,577766
2019-11-08,363442
2019-11-11,343431
2019-11-12,342875
2019-11-13,409822
2019-11-14,387235
2019-11-15,611676
2019-11-18,456981
2019-11-19,309592
2019-11-20,490411
2019-11-21,256160
2019-11-22,360703
2019-11-25,419674
2019-11-26,348561
2019-11-27,636925
2019-11-29,282524
2019-12-02,569731
2019-12-03,522577
2019-12-04,416097
2019-12-05,241269
2019-12-06,570119
2019-12-09,347641
2019-12-10,318085
2019-12-11,382461
2019-12-12,621577
2019-12-13,643346
2019-12-16,804484
2019-12-17,441095
2019-12-18,407139
2019-12-19,554230
2019-12-20,781144
2019-12-23,415794
2019-12-24,137831
2019-12-26,239263
2019-12-27,450885
2019-12-30,494357
2019-12-31,558528
2020-01-02,382925
2020-01-03,487820
2020-01-06,443493
2020-01-07,351527
2020-01-08,598909
2020-01-09,546586
2020-01-10,505165
2020-01-13,551310
2020-01-14,448159
2020-01-15,543278
2020-01-16,567063
2020-01-17,651933
2020-01-21,392223
2020-01-22,479145
2020-01-23,358664
2020-01-24,560809
2020-01-27,596730
2020-01-28,386116
2020-01-29,395288
2020-01-30,443064
2020-01-31,692161
2020-02-03,428855
2020-02-04,504455
2020-02-05,545825
2020-02-06,462625
2020-02-07,476512
2020-02-10,425367
2020-02-11,611280
2020-02-12,495590
2020-02-13,406823
2020-02-14,495610
2020-02-18,581470
2020-02-19,542013
2020-02-20,576233
2020-02-21,576095
2020-02-24,874102
2020-02-25,701792
2020-02-26,830959
2020-02-27,845017
2020-02-28,1126910
2020-03-02,899149
2020-03-03,689521
2020-03-04,891837
2020-03-05,520968
2020-03-06,736324
2020-03-09,703637
2020-03-10,715624
2020-03-11,663599
2020-03-12,1185912
2020-03-13,1244052
2020-03-16,692681
2020-03-17,645754
2020-03-18,723309
2020-03-19,789256
2020-03-20,717017
2020-03-23,674243
2020-03-24,703975
2020-03-25,823052
2020-03-26,571842
2020-03-27,588210
2020-03-30,550626
2020-03-31,653629
2020-04-01,532229
2020-04-02,436346
2020-04-03,500829
2020-04-06,626512
2020-04-07,621743
2020-04-08,529037
2020-04-09,624603
2020-04-13,437595
2020-04-14,536190
2020-04-15,530352
2020-04-16,413364
2020-04-17,535657
2020-04-20,423307
2020-04-21,341285
2020-04-22,354959
2020-04-23,311457
2020-04-24,450728
2020-04-27,406303
2020-04-28,310618
2020-04-29,520804
2020-04-30,426319
2020-05-01,482183
2020-05-04,394754
2020-05-05,279849
2020-05-06,335948
2020-05-07,284663
2020-05-08,420686
2020-05-11,487731
2020-05-12,353595
2020-05-13,578199
2020-05-14,474381
2020-05-15,450455
2020-05-18,541192
2020-05-19,359774
2020-05-20,446351
2020-05-21,286125
2020-05-22,383813
2020-05-26,469887
2020-05-27,523479
2020-05-28,506414
2020-05-29,514801
2020-06-01,353022
2020-06-02,365514
2020-06-03,748242
2020-06-04,321835
2020-06-05,926191
2020-06-08,602585
2020-06-09,306264
2020-06-10,466561
2020-06-11,544569
2020-06-12,592778
2020-06-15,547254
2020-06-16,418805
2020-06-17,427056
2020-06-18,329412
2020-06-19,471822
2020-06-22,324368
2020-06-23,242263
2020-06-24,540713
2020-06-25,283901
2020-06-26,522989
2020-06-29,359804
2020-06-30,575516
2020-07-01,406625
2020-07-02,473345
2020-07-06,324691
2020-07-07,230486
2020-07-08,352087
2020-07-09,255611
2020-07-10,382932
2020-07-13,530182
2020-07-14,299638
2020-07-15,514450
2020-07-16,317894
2020-07-17,331345
2020-07-20,408907
2020-07-21,291978
2020-07-22,379650
2020-07-23,260118
2020-07-24,391502
2020-07-27,286374
2020-07-28,200528
2020-07-29,338943
2020-07-30,284384
2020-07-31,443114
2020-08-03,415359
2020-08-04,273235
2020-08-05,403481
2020-08-06,308748
2020-08-07,380470
2020-08-10,351725
2020-08-11,272863
2020-08-12,406393
2020-08-13,250059
2020-08-14,373052
2020-08-17,300880
2020-08-18,274360
2020-08-19,409475
2020-08-20,353174
2020-08-21,386711
2020-08-24,380729
2020-08-25,322025
2020-08-26,680226
2020-08-27,474898
2020-08-28,447669
2020-08-31,427625
2020-09-01,297692
2020-09-02,680075
2020-09-03,495010
2020-09-04,620738
2020-09-08,437434
2020-09-09,465476
2020-09-10,438111
2020-09-11,526902
2020-09-14,400771
2020-09-15,319796
2020-09-16,399049
2020-09-17,428523
2020-09-18,494321
2020-09-21,506934
2020-09-22,302860
2020-09-23,491657
2020-09-24,356869
2020-09-25,492141
2020-09-28,393134
2020-09-29,247511
2020-09-30,569016
2020-10-01,300659
2020-10-02,385264
2020-10-05,365529
2020-10-06,323914
2020-10-07,355838
2020-10-08,277017
2020-10-09,473402
2020-10-12,598022
2020-10-13,282421
2020-10-14,421358
2020-10-15,388739
2020-10-16,433281
2020-10-19,457804
2020-10-20,260065
2020-10-21,343284
2020-10-22,280113
2020-10-23,352611
2020-10-26,565857
2020-10-27,314041
2020-10-28,713388
2020-10-29,359209
2020-10-30,714677
2020-11-02,439361
2020-11-03,366180
2020-11-04,520076
2020-11-05,399511
2020-11-06,404039
2020-11-09,624703
2020-11-10,273511
2020-11-11,329953
2020-11-12,301285
2020-11-13,455104
2020-11-16,440385
2020-11-17,311342
2020-11-18,439004
2020-11-19,387157
2020-11-20,369609
2020-11-23,398921
2020-11-24,357056
2020-11-25,306585
2020-11-27,211278
2020-11-30,432026
2020-12-01,314605
2020-12-02,389741
2020-12-03,268841
2020-12-04,422184
2020-12-07,363002
2020-12-08,358726
2020-12-09,529711
2020-12-10,313701
2020-12-11,530002
2020-12-14,453715
2020-12-15,346151
2020-12-16,428257
2020-12-17,383410
2020-12-18,500337
2020-12-21,567945
2020-12-22,265126
2020-12-23,344426
2020-12-24,256206
2020-12-28,406911
2020-12-29,334208
2020-12-30,346445
2020-12-31,609379
2021-01-04,551022
2021-01-05,278844
2021-01-06,559324
2021-01-07,420705
2021-01-08,512199
2021-01-11,361760
2021-01-12,288644
2021-01-13,491538
2021-01-14,443807
2021-01-15,577555
2021-01-19,358813
2021-01-20,617054
2021-01-21,292937
2021-01-22,386298
2021-01-25,439003
2021-01-26,235246
2021-01-27,554269
2021-01-28,401337
2021-01-29,624130
2021-02-01,464657
2021-02-02,376187
2021-02-03,406200
2021-02-04,321577
2021-02-05,506214
2021-02-08,424406
2021-02-09,269920
2021-02-10,469867
2021-02-11,316886
2021-02-12,457159
2021-02-16,446646
2021-02-17,479764
2021-02-18,463960
2021-02-19,483608
2021-02-22,433826
