date,value
2019-10-07,4868638
2019-10-08,4921028
2019-10-09,5059345
2019-10-10,5061845
2019-10-11,5216189
2019-10-14,5157610
2019-10-15,5176227
2019-10-16,5291867
2019-10-17,5354474
2019-10-18,5474683
2019-10-21,4866897
2019-10-22,4921809
2019-10-23,4999252
2019-10-24,5010180
2019-10-25,5115540
2019-10-28,5058589
2019-10-29,5123831
2019-10-30,5208626
2019-10-31,5245311
2019-11-01,5187183
2019-11-04,5212588
2019-11-05,5293615
2019-11-06,5424934
2019-11-07,5431167
2019-11-08,5645860
2019-11-11,5549760
2019-11-12,5595353
2019-11-13,5684310
2019-11-14,5742639
2019-11-15,5852245
2019-11-18,5356136
2019-11-19,5447239
2019-11-20,5512399
2019-11-21,5583572
2019-11-22,5655008
2019-11-25,5545525
2019-11-26,5639653
2019-11-27,5765347
2019-11-29,5844623
2019-12-02,5635572
2019-12-03,5668331
2019-12-04,5822084
2019-12-05,5821434
2019-12-06,5897512
2019-12-09,5779005
2019-12-10,5813121
2019-12-11,5917770
2019-12-12,5976634
2019-12-13,6156182
2019-12-16,6081188
2019-12-17,6146771
2019-12-18,6257711
2019-12-19,6291141
2019-12-20,6488544
2019-12-23,4426343
2019-12-24,4498063
2019-12-26,4475858
2019-12-27,4548720
2019-12-30,4507133
2019-12-31,4561248
2020-01-02,4361824
2020-01-03,4468341
2020-01-06,4373742
2020-01-07,4463901
2020-01-08,4614584
2020-01-09,4683544
2020-01-10,4864130
2020-01-13,4798072
2020-01-14,4919928
2020-01-15,5025976
2020-01-16,5096496
2020-01-17,5280618
2020-01-21,4327310
2020-01-22,4387677
2020-01-23,4455845
2020-01-24,4558185
2020-01-27,4475231
2020-01-28,4525965
2020-01-29,4663376
2020-01-30,4670554
2020-01-31,4767426
2020-02-03,4597470
2020-02-04,4619058
2020-02-05,4770580
2020-02-06,4795333
2020-02-07,4959499
2020-02-10,4888840
2020-02-11,4930123
2020-02-12,5110561
2020-02-13,5155951
2020-02-14,5268153
2020-02-18,5256569
2020-02-19,5316453
2020-02-20,5390378
2020-02-21,5599341
2020-02-24,4951545
2020-02-25,5069925
2020-02-26,5325698
2020-02-27,5468614
2020-02-28,5820847
2020-03-02,5850894
2020-03-03,5943545
2020-03-04,6109887
2020-03-05,6217571
2020-03-06,6423492
2020-03-09,6433561
2020-03-10,6577272
2020-03-11,6871265
2020-03-12,6989645
2020-03-13,7736213
2020-03-16,7803275
2020-03-17,7981057
2020-03-18,8264442
2020-03-19,8438269
2020-03-20,8803926
2020-03-23,6093529
2020-03-24,6171940
2020-03-25,6479585
2020-03-26,6570411
2020-03-27,6719631
2020-03-30,6506247
2020-03-31,6582121
2020-04-01,6185105
2020-04-02,6280521
2020-04-03,6441545
2020-04-06,6417562
2020-04-07,6560697
2020-04-08,6660936
2020-04-09,6727906
2020-04-13,6716837
2020-04-14,6793796
2020-04-15,6930601
2020-04-16,6992308
2020-04-17,7123128
2020-04-20,5870309
2020-04-21,5932401
2020-04-22,6019420
2020-04-23,6028904
2020-04-24,6106336
2020-04-27,6056349
2020-04-28,6106577
2020-04-29,6186043
2020-04-30,6209828
2020-05-01,6012647
2020-05-04,5983054
2020-05-05,6001661
2020-05-06,6086370
2020-05-07,6098199
2020-05-08,6178976
2020-05-11,6143771
2020-05-12,6201996
