date,value
2019-10-07,11804089
2019-10-08,11890843
2019-10-09,12186735
2019-10-10,12269246
2019-10-11,12505807
2019-10-14,12417161
2019-10-15,12486592
2019-10-16,12810927
2019-10-17,13030005
2019-10-18,13326920
2019-10-21,11514048
2019-10-22,11516177
2019-10-23,11741312
2019-10-24,11747516
2019-10-25,11946384
2019-10-28,11690071
2019-10-29,11798372
2019-10-30,12110268
2019-10-31,12232742
2019-11-01,11912691
2019-11-04,11804000
2019-11-05,11910081
2019-11-06,12179872
2019-11-07,12203704
2019-11-08,12473106
2019-11-11,12407906
2019-11-12,12490858
2019-11-13,12774348
2019-11-14,12985392
2019-11-15,13371227
2019-11-18,11648098
2019-11-19,11806971
2019-11-20,12084669
2019-11-21,12207791
2019-11-22,12568534
2019-11-25,12372279
2019-11-26,12492585
2019-11-27,12722361
2019-11-29,12824887
2019-12-02,12137057
2019-12-03,12419279
2019-12-04,12749506
2019-12-05,12766517
2019-12-06,12997457
2019-12-09,12710064
2019-12-10,12838856
2019-12-11,13145225
2019-12-12,13136892
2019-12-13,13452721
2019-12-16,13355955
2019-12-17,13468505
2019-12-18,13769499
2019-12-19,13904579
2019-12-20,14266779
2019-12-23,10079933
2019-12-24,10159821
2019-12-26,10197718
2019-12-27,10392829
2019-12-30,10306432
2019-12-31,10433209
2020-01-02,9789534
2020-01-03,10091338
2020-01-06,10068277
2020-01-07,10306234
2020-01-08,10573434
2020-01-09,10775693
2020-01-10,11101286
2020-01-13,10999029
2020-01-14,11231173
2020-01-15,11584225
2020-01-16,11769560
2020-01-17,12196323
2020-01-21,10050167
2020-01-22,10222894
2020-01-23,10473484
2020-01-24,10795743
2020-01-27,10776799
2020-01-28,10953056
2020-01-29,11230615
2020-01-30,11255983
2020-01-31,11485425
2020-02-03,10848874
2020-02-04,10921002
2020-02-05,11233399
2020-02-06,11242845
2020-02-07,11550298
2020-02-10,11397674
2020-02-11,11485912
2020-02-12,11834850
2020-02-13,11940991
2020-02-14,12321296
2020-02-18,12075903
2020-02-19,12280030
2020-02-20,12605567
2020-02-21,13014006
2020-02-24,11509950
2020-02-25,11864322
2020-02-26,12329310
2020-02-27,12418060
2020-02-28,12861358
2020-03-02,12607593
2020-03-03,12694141
2020-03-04,12932349
2020-03-05,12910412
2020-03-06,13229963
2020-03-09,13161691
2020-03-10,13261703
2020-03-11,13587794
2020-03-12,13553647
2020-03-13,13892506
2020-03-16,13551284
2020-03-17,13515131
2020-03-18,13878261
2020-03-19,14302828
2020-03-20,14536571
2020-03-23,10916042
2020-03-24,10722523
2020-03-25,10939903
2020-03-26,10941091
2020-03-27,11201552
2020-03-30,10885664
2020-03-31,10937408
2020-04-01,10647466
2020-04-02,10707271
2020-04-03,10940185
2020-04-06,10873696
2020-04-07,10932864
2020-04-08,11055141
2020-04-09,11092060
2020-04-13,11093560
2020-04-14,11123561
2020-04-15,11314184
2020-04-16,11438921
2020-04-17,11680108
2020-04-20,9676863
2020-04-21,9776199
2020-04-22,9940192
2020-04-23,9909004
2020-04-24,10059489
2020-04-27,9958480
2020-04-28,10039719
2020-04-29,10200862
2020-04-30,10212795
2020-05-01,9946616
2020-05-04,10067239
2020-05-05,10126795
2020-05-06,10317044
2020-05-07,10344119
2020-05-08,10537013
2020-05-11,10454395
2020-05-12,10499118
2020-05-13,10723921
2020-05-14,10839869
2020-05-15,11005772
2020-05-18,9581844
2020-05-19,9623481
2020-05-20,9778974
2020-05-21,9886353
2020-05-22,9954455
2020-05-26,9851593
2020-05-27,9937278
2020-05-28,10046999
2020-05-29,10253734
2020-06-01,9853918
2020-06-02,9899487
2020-06-03,10076224
2020-06-04,10189441
2020-06-05,10396762
2020-06-08,10379197
2020-06-09,10461210
2020-06-10,10715764
2020-06-11,10768114
2020-06-12,11020257
2020-06-15,10977853
2020-06-16,10959053
2020-06-17,11187302
2020-06-18,11202647
2020-06-19,11465830
2020-06-22,8278342
2020-06-23,8299886
2020-06-24,8470042
2020-06-25,8510593
2020-06-26,8709423
2020-06-29,8633741
2020-06-30,8682516
2020-07-01,8261606
2020-07-02,8317746
2020-07-06,8308343
2020-07-07,8351203
2020-07-08,8554701
2020-07-09,8643710
2020-07-10,8789396
2020-07-13,8687725
2020-07-14,8812205
2020-07-15,9037559
2020-07-16,9042403
2020-07-17,9234919
2020-07-20,8112226
2020-07-21,8156317
2020-07-22,8323431
2020-07-23,8373000
2020-07-24,8544395
2020-07-27,8438040
2020-07-28,8334673
2020-07-29,8485901
2020-07-30,8529574
2020-07-31,8641931
2020-08-03,8402452
2020-08-04,8538766
2020-08-05,8731504
2020-08-06,8743092
2020-08-07,8895509
2020-08-10,8865336
2020-08-11,8892409
2020-08-12,9085341
2020-08-13,9119939
2020-08-14,9276664
2020-08-17,9207880
2020-08-18,9201906
2020-08-19,9420606
2020-08-20,9505738
2020-08-21,9740792
2020-08-24,8662310
2020-08-25,8771750
2020-08-26,8963823
2020-08-27,9034628
2020-08-28,9302127
2020-08-31,9155535
2020-09-01,8994192
2020-09-02,9198094
2020-09-03,9246731
2020-09-04,9523482
2020-09-08,9530750
2020-09-09,9592745
2020-09-10,9673205
2020-09-11,9889958
2020-09-14,9806995
2020-09-15,9883236
2020-09-16,10045088
2020-09-17,10035366
2020-09-18,10343743
2020-09-21,7886437
2020-09-22,8002874
2020-09-23,8228075
2020-09-24,8250593
2020-09-25,8474740
2020-09-28,8351565
2020-09-29,8416573
2020-09-30,8543821
2020-10-01,8055094
2020-10-02,8245056
2020-10-05,8073127
2020-10-06,8171190
2020-10-07,8342498
2020-10-08,8388073
2020-10-09,8597607
2020-10-12,8572389
2020-10-13,8660742
2020-10-14,8942877
2020-10-15,8921577
2020-10-16,9139293
2020-10-19,7885815
2020-10-20,8026158
2020-10-21,8195352
2020-10-22,8292202
2020-10-23,8438732
2020-10-26,8317507
2020-10-27,8408342
2020-10-28,8582168
2020-10-29,8680537
2020-10-30,8844547
2020-11-02,8408701
2020-11-03,8352973
2020-11-04,8544205
2020-11-05,8618576
2020-11-06,8931222
2020-11-09,8821638
2020-11-10,8947616
2020-11-11,9124908
2020-11-12,9127509
2020-11-13,9350380
2020-11-16,9213011
2020-11-17,9292543
2020-11-18,9482540
2020-11-19,9576955
2020-11-20,9793830
2020-11-23,8649669
2020-11-24,8716239
2020-11-25,8936620
2020-11-27,8990982
2020-11-30,8945725
2020-12-01,8873520
2020-12-02,9095486
2020-12-03,9137623
2020-12-04,9325838
2020-12-07,9271275
2020-12-08,9369661
2020-12-09,9608620
2020-12-10,9675289
2020-12-11,9901008
2020-12-14,9911444
2020-12-15,10088562
2020-12-16,10384176
2020-12-17,10398226
2020-12-18,10678679
2020-12-21,7004989
2020-12-22,7084645
2020-12-23,7304290
2020-12-24,7294637
2020-12-28,7117911
2020-12-29,7195127
2020-12-30,7428136
2020-12-31,7475019
2021-01-04,7035958
2021-01-05,7141126
2021-01-06,7382668
2021-01-07,7458599
2021-01-08,7682846
2021-01-11,7479646
2021-01-12,7619386
2021-01-13,7903753
2021-01-14,8022447
2021-01-15,8390792
2021-01-19,6804504
2021-01-20,6966079
2021-01-21,7080460
2021-01-22,7359809
2021-01-25,7131779
2021-01-26,7314095
2021-01-27,7562490
2021-01-28,7557455
2021-01-29,7766608
2021-02-01,7450091
2021-02-02,7559794
2021-02-03,7845518
2021-02-04,7876245
2021-02-05,8062891
2021-02-08,7919140
2021-02-09,8041895
2021-02-10,8322535
2021-02-11,8404945
2021-02-12,8614637
2021-02-16,8385999
2021-02-17,8571257
2021-02-18,8741609
2021-02-19,8983707
2021-02-22,7915193
2021-02-23,7984466
2021-02-24,8190403
2021-02-25,8178297
2021-02-26,8406800
2021-03-01,8194067
2021-03-02,8304053
2021-03-03,8459821
2021-03-04,8460185
2021-03-05,8659365
2021-03-08,8464646
2021-03-09,8564310
2021-03-10,8766557
2021-03-11,8782903
2021-03-12,9042749
2021-03-15,8909274
2021-03-16,9042665
2021-03-17,9296931
2021-03-18,9332639
2021-03-19,9549788
2021-03-22,7146380
2021-03-23,7218132
2021-03-24,7476631
2021-03-25,7502415
2021-03-26,7717280
2021-03-29,7668771
2021-03-30,7750840
2021-03-31,7931594
2021-04-01,7501225
2021-04-05,7503920
2021-04-06,7671944
2021-04-07,7948732
2021-04-08,8000446
2021-04-09,8239327
2021-04-12,8188367
2021-04-13,8322776
2021-04-14,8521783
2021-04-15,8630499
2021-04-16,8953365
2021-04-19,7700660
2021-04-20,7884882
2021-04-21,8076657
2021-04-22,8136653
2021-04-23,8384983
2021-04-26,8226745
2021-04-27,8280424
2021-04-28,8431639
2021-04-29,8491497
2021-04-30,8705249
2021-05-03,8459442
2021-05-04,8578212
2021-05-05,8850489
