date,value
2019-10-07,16672727
2019-10-08,16811871
2019-10-09,17246080
2019-10-10,17331091
2019-10-11,17721996
2019-10-14,17574771
2019-10-15,17662819
2019-10-16,18102794
2019-10-17,18384479
2019-10-18,18801603
2019-10-21,16380945
2019-10-22,16437986
2019-10-23,16740564
2019-10-24,16757696
2019-10-25,17061924
2019-10-28,16748660
2019-10-29,16922203
2019-10-30,17318894
2019-10-31,17478053
2019-11-01,17099874
2019-11-04,17016588
2019-11-05,17203696
2019-11-06,17604806
2019-11-07,17634871
2019-11-08,18118966
2019-11-11,17957666
2019-11-12,18086211
2019-11-13,18458658
2019-11-14,18728031
2019-11-15,19223472
2019-11-18,17004234
2019-11-19,17254210
2019-11-20,17597068
2019-11-21,17791363
2019-11-22,18223542
2019-11-25,17917804
2019-11-26,18132238
2019-11-27,18487708
2019-11-29,18669510
2019-12-02,17772629
2019-12-03,18087610
2019-12-04,18571590
2019-12-05,18587951
2019-12-06,18894969
2019-12-09,18489069
2019-12-10,18651977
2019-12-11,19062995
2019-12-12,19113526
2019-12-13,19608903
2019-12-16,19437143
2019-12-17,19615276
2019-12-18,20027210
2019-12-19,20195720
2019-12-20,20755323
2019-12-23,14506276
2019-12-24,14657884
2019-12-26,14673576
2019-12-27,14941549
2019-12-30,14813565
2019-12-31,14994457
2020-01-02,14151358
2020-01-03,14559679
2020-01-06,14442019
2020-01-07,14770135
2020-01-08,15188018
2020-01-09,15459237
2020-01-10,15965416
2020-01-13,15797101
2020-01-14,16151101
2020-01-15,16610201
2020-01-16,16866056
2020-01-17,17476941
2020-01-21,14377477
2020-01-22,14610571
2020-01-23,14929329
2020-01-24,15353928
2020-01-27,15252030
2020-01-28,15479021
2020-01-29,15893991
2020-01-30,15926537
2020-01-31,16252851
2020-02-03,15446344
2020-02-04,15540060
2020-02-05,16003979
2020-02-06,16038178
2020-02-07,16509797
2020-02-10,16286514
2020-02-11,16416035
2020-02-12,16945411
2020-02-13,17096942
2020-02-14,17589449
2020-02-18,17332472
2020-02-19,17596483
2020-02-20,17995945
2020-02-21,18613347
2020-02-24,16461495
2020-02-25,16934247
2020-02-26,17655008
2020-02-27,17886674
2020-02-28,18682205
2020-03-02,18458487
2020-03-03,18637686
2020-03-04,19042236
2020-03-05,19127983
2020-03-06,19653455
2020-03-09,19595252
2020-03-10,19838975
2020-03-11,20459059
2020-03-12,20543292
2020-03-13,21628719
2020-03-16,21354559
2020-03-17,21496188
2020-03-18,22142703
2020-03-19,22741097
2020-03-20,23340497
2020-03-23,17009571
2020-03-24,16894463
2020-03-25,17419488
2020-03-26,17511502
2020-03-27,17921183
