date,value
2019-10-07,1.75
2019-10-08,1.71
2019-10-09,2.30
2019-10-10,1.72
2019-10-11,1.77
2019-10-14,1.99
2019-10-15,1.97
2019-10-16,1.75
2019-10-17,1.60
2019-10-18,1.75
2019-10-21,1.72
2019-10-22,1.97
2019-10-23,1.81
2019-10-24,1.55
2019-10-25,1.41
2019-10-28,1.73
2019-10-29,1.97
2019-10-30,1.91
2019-10-31,1.72
2019-11-01,1.20
2019-11-04,1.18
2019-11-05,1.62
2019-11-06,1.70
2019-11-07,0.99
2019-11-08,1.89
2019-11-11,1.66
2019-11-12,1.85
2019-11-13,1.98
2019-11-14,1.97
2019-11-15,1.43
2019-11-18,1.40
2019-11-19,1.80
2019-11-20,1.96
2019-11-21,2.59
2019-11-22,2.00
2019-11-25,1.71
2019-11-26,1.58
2019-11-27,1.22
2019-11-29,2.03
2019-12-02,1.81
2019-12-03,1.65
2019-12-04,1.80
2019-12-05,2.01
2019-12-06,1.55
2019-12-09,2.30
2019-12-10,1.99
2019-12-11,1.67
2019-12-12,1.29
2019-12-13,1.85
2019-12-16,1.27
2019-12-17,1.53
2019-12-18,2.07
2019-12-19,1.35
2019-12-20,1.26
2019-12-23,1.52
2019-12-24,2.23
2019-12-26,1.90
2019-12-27,1.71
2019-12-30,1.46
2019-12-31,1.51
2020-01-02,1.88
2020-01-03,2.10
2020-01-06,1.89
2020-01-07,1.79
2020-01-08,1.51
2020-01-09,1.36
2020-01-10,1.99
2020-01-13,1.55
2020-01-14,1.73
2020-01-15,1.68
2020-01-16,1.62
2020-01-17,1.45
2020-01-21,1.88
2020-01-22,1.94
2020-01-23,1.97
2020-01-24,2.25
2020-01-27,1.95
2020-01-28,1.69
2020-01-29,2.00
2020-01-30,1.69
2020-01-31,1.82
2020-02-03,1.89
2020-02-04,1.70
2020-02-05,1.56
2020-02-06,1.52
2020-02-07,1.94
2020-02-10,1.83
2020-02-11,1.38
2020-02-12,1.76
2020-02-13,1.88
2020-02-14,1.67
2020-02-18,1.79
2020-02-19,2.04
2020-02-20,1.82
2020-02-21,2.08
2020-02-24,2.15
2020-02-25,2.38
2020-02-26,2.05
2020-02-27,2.35
2020-02-28,2.19
2020-03-02,1.54
2020-03-03,1.29
2020-03-04,1.33
2020-03-05,1.90
2020-03-06,2.29
2020-03-09,2.33
2020-03-10,1.90
2020-03-11,2.27
2020-03-12,1.56
2020-03-13,1.58
2020-03-16,1.75
2020-03-17,2.03
2020-03-18,2.48
2020-03-19,1.30
2020-03-20,1.42
2020-03-23,1.36
2020-03-24,1.16
2020-03-25,1.11
2020-03-26,1.44
2020-03-27,1.43
2020-03-30,1.38
2020-03-31,1.38
2020-04-01,1.63
2020-04-02,1.57
2020-04-03,1.72
2020-04-06,1.27
2020-04-07,1.12
2020-04-08,1.39
2020-04-09,1.27
2020-04-13,1.30
2020-04-14,1.31
2020-04-15,1.53
2020-04-16,1.55
2020-04-17,1.33
2020-04-20,1.54
2020-04-21,1.60
2020-04-22,1.41
2020-04-23,1.69
2020-04-24,1.50
2020-04-27,1.66
2020-04-28,1.61
2020-04-29,1.44
2020-04-30,1.62
2020-05-01,1.80
2020-05-04,1.46
2020-05-05,2.05
2020-05-06,1.70
2020-05-07,1.88
2020-05-08,1.60
2020-05-11,1.31
2020-05-12,1.72
2020-05-13,1.84
2020-05-14,1.55
2020-05-15,1.49
2020-05-18,1.24
2020-05-19,1.20
2020-05-20,1.34
2020-05-21,1.44
2020-05-22,1.50
2020-05-26,1.55
2020-05-27,1.40
2020-05-28,1.27
2020-05-29,1.40
2020-06-01,1.56
2020-06-02,1.41
2020-06-03,1.08
2020-06-04,1.76
2020-06-05,1.05
2020-06-08,1.07
2020-06-09,1.97
2020-06-10,1.38
2020-06-11,2.15
2020-06-12,1.89
2020-06-15,1.52
2020-06-16,1.57
2020-06-17,1.61
2020-06-18,2.02
2020-06-19,2.00
2020-06-22,1.97
2020-06-23,2.01
2020-06-24,1.47
2020-06-25,1.73
2020-06-26,1.74
2020-06-29,1.93
2020-06-30,1.57
2020-07-01,1.60
2020-07-02,1.73
2020-07-06,1.80
2020-07-07,2.01
2020-07-08,1.74
2020-07-09,1.83
2020-07-10,1.73
2020-07-13,1.73
2020-07-14,1.74
2020-07-15,1.28
2020-07-16,1.60
2020-07-17,1.93
2020-07-20,1.32
2020-07-21,1.75
2020-07-22,1.60
2020-07-23,2.09
2020-07-24,1.67
2020-07-27,1.68
2020-07-28,1.83
2020-07-29,1.47
2020-07-30,1.52
2020-07-31,1.68
2020-08-03,1.55
2020-08-04,1.76
2020-08-05,1.36
2020-08-06,1.60
2020-08-07,1.79
2020-08-10,1.66
2020-08-11,1.93
2020-08-12,1.57
2020-08-13,1.89
2020-08-14,1.68
2020-08-17,1.51
2020-08-18,1.64
2020-08-19,1.79
2020-08-20,1.61
2020-08-21,1.64
2020-08-24,1.76
2020-08-25,1.46
2020-08-26,1.11
2020-08-27,1.32
2020-08-28,1.66
2020-08-31,1.73
2020-09-01,1.61
2020-09-02,1.43
2020-09-03,1.75
2020-09-04,1.79
2020-09-08,1.74
2020-09-09,1.52
2020-09-10,1.37
2020-09-11,1.58
2020-09-14,1.77
2020-09-15,1.59
2020-09-16,1.75
2020-09-17,1.85
2020-09-18,1.71
2020-09-21,1.66
2020-09-22,1.92
2020-09-23,1.55
2020-09-24,1.67
2020-09-25,1.56
2020-09-28,1.51
2020-09-29,1.60
2020-09-30,1.40
2020-10-01,1.60
2020-10-02,1.71
2020-10-05,1.50
2020-10-06,1.66
2020-10-07,1.62
2020-10-08,1.81
2020-10-09,1.54
2020-10-12,1.22
2020-10-13,2.04
2020-10-14,1.41
2020-10-15,1.60
2020-10-16,1.50
2020-10-19,1.61
2020-10-20,1.48
2020-10-21,1.74
2020-10-22,1.62
2020-10-23,1.77
2020-10-26,1.37
2020-10-27,1.39
2020-10-28,1.41
2020-10-29,1.73
2020-10-30,1.19
2020-11-02,1.46
2020-11-03,1.42
2020-11-04,1.54
2020-11-05,1.90
2020-11-06,2.02
2020-11-09,1.52
2020-11-10,2.26
2020-11-11,1.90
2020-11-12,1.92
2020-11-13,1.53
2020-11-16,1.51
2020-11-17,1.58
2020-11-18,1.75
2020-11-19,1.46
2020-11-20,1.89
2020-11-23,1.54
2020-11-24,1.76
2020-11-25,1.81
2020-11-27,2.19
2020-11-30,1.64
2020-12-01,1.86
2020-12-02,1.54
2020-12-03,1.82
2020-12-04,1.68
2020-12-07,1.74
2020-12-08,1.52
2020-12-09,1.63
2020-12-10,1.69
2020-12-11,1.88
2020-12-14,2.17
2020-12-15,2.01
2020-12-16,1.79
2020-12-17,1.74
2020-12-18,1.68
2020-12-21,1.42
2020-12-22,1.69
2020-12-23,1.61
2020-12-24,1.52
2020-12-28,1.42
2020-12-29,1.55
2020-12-30,1.66
2020-12-31,1.64
2021-01-04,1.77
2021-01-05,1.95
2021-01-06,1.64
2021-01-07,1.53
2021-01-08,1.66
2021-01-11,2.16
2021-01-12,2.05
2021-01-13,1.60
2021-01-14,1.67
2021-01-15,1.68
2021-01-19,2.09
2021-01-20,1.39
2021-01-21,2.10
2021-01-22,1.62
2021-01-25,2.09
2021-01-26,2.35
2021-01-27,1.82
2021-01-28,1.84
2021-01-29,1.71
2021-02-01,1.83
2021-02-02,1.98
2021-02-03,1.77
2021-02-04,1.74
2021-02-05,1.64
2021-02-08,1.61
2021-02-09,2.33
2021-02-10,1.57
2021-02-11,1.86
2021-02-12,1.70
2021-02-16,1.89
