date,value
2019-10-07,705496
2019-10-08,755753
2019-10-09,748860
2019-10-10,788029
2019-10-11,1112661
2019-10-14,776702
2019-10-15,922795
2019-10-16,991705
2019-10-17,744226
2019-10-18,912277
2019-10-21,600078
2019-10-22,536921
2019-10-23,586599
2019-10-24,479530
2019-10-25,669232
2019-10-28,791340
2019-10-29,627555
2019-10-30,746745
2019-10-31,960243
2019-11-01,777619
2019-11-04,682282
2019-11-05,544571
2019-11-06,568499
2019-11-07,569572
2019-11-08,686433
2019-11-11,570408
2019-11-12,633940
2019-11-13,811396
2019-11-14,760941
2019-11-15,877423
2019-11-18,641210
2019-11-19,555732
2019-11-20,962525
2019-11-21,664177
2019-11-22,722322
2019-11-25,717690
2019-11-26,549937
2019-11-27,778475
2019-11-29,572248
2019-12-02,1032511
2019-12-03,860672
2019-12-04,749714
2019-12-05,484335
2019-12-06,880962
2019-12-09,798568
2019-12-10,632670
2019-12-11,640482
2019-12-12,799738
2019-12-13,1187206
2019-12-16,1022752
2019-12-17,673639
2019-12-18,842973
2019-12-19,747914
2019-12-20,987042
2019-12-23,631953
2019-12-24,307454
2019-12-26,454252
2019-12-27,770276
2019-12-30,723292
2019-12-31,845396
2020-01-02,719317
2020-01-03,1022004
2020-01-06,836174
2020-01-07,628320
2020-01-08,907027
2020-01-09,742454
2020-01-10,1003793
2020-01-13,855820
2020-01-14,775854
2020-01-15,912850
2020-01-16,918736
2020-01-17,944948
2020-01-21,736717
2020-01-22,928340
2020-01-23,705065
2020-01-24,1262365
2020-01-27,1161268
2020-01-28,650867
2020-01-29,789908
2020-01-30,749527
2020-01-31,1259479
2020-02-03,811547
2020-02-04,855779
2020-02-05,853138
2020-02-06,701475
2020-02-07,925431
2020-02-10,776397
2020-02-11,841715
2020-02-12,870500
2020-02-13,765845
2020-02-14,825843
2020-02-18,1041710
2020-02-19,1106529
2020-02-20,1048195
2020-02-21,1199543
2020-02-24,1880730
2020-02-25,1673339
2020-02-26,1703702
2020-02-27,1981623
2020-02-28,2466505
2020-03-02,1383432
2020-03-03,886260
2020-03-04,1182127
2020-03-05,988887
2020-03-06,1688899
2020-03-09,1636623
2020-03-10,1359412
2020-03-11,1503612
2020-03-12,1852247
2020-03-13,1965397
2020-03-16,1210007
2020-03-17,1308494
2020-03-18,1790763
2020-03-19,1022997
2020-03-20,1015879
2020-03-23,919711
2020-03-24,818495
2020-03-25,917003
2020-03-26,821537
2020-03-27,840682
2020-03-30,759897
2020-03-31,903880
2020-04-01,867523
2020-04-02,687057
2020-04-03,861215
2020-04-06,795129
2020-04-07,693360
2020-04-08,733311
2020-04-09,794369
2020-04-13,569535
2020-04-14,699984
2020-04-15,813324
2020-04-16,638887
2020-04-17,714801
2020-04-20,650225
2020-04-21,544553
2020-04-22,500759
2020-04-23,526461
2020-04-24,675031
2020-04-27,672736
2020-04-28,498826
2020-04-29,750211
2020-04-30,690976
2020-05-01,867705
2020-05-04,577903
2020-05-05,574999
2020-05-06,572758
2020-05-07,534844
2020-05-08,672979
2020-05-11,639860
2020-05-12,606880
2020-05-13,1064450
2020-05-14,733340
2020-05-15,669660
2020-05-18,671192
2020-05-19,430101
2020-05-20,599727
2020-05-21,412284
2020-05-22,576847
2020-05-26,730602
2020-05-27,733125
2020-05-28,644323
2020-05-29,719025
2020-06-01,550998
2020-06-02,516705
2020-06-03,811086
2020-06-04,564860
2020-06-05,968471
2020-06-08,647055
2020-06-09,602922
2020-06-10,645971
2020-06-11,1172647
2020-06-12,1119550
2020-06-15,834070
2020-06-16,659242
2020-06-17,688327
2020-06-18,663783
2020-06-19,942916
2020-06-22,639755
2020-06-23,485778
2020-06-24,795011
2020-06-25,491037
2020-06-26,912122
2020-06-29,696196
2020-06-30,906141
2020-07-01,649515
2020-07-02,818800
2020-07-06,585641
2020-07-07,462431
2020-07-08,611874
2020-07-09,467499
2020-07-10,663750
2020-07-13,918872
2020-07-14,520298
2020-07-15,657753
2020-07-16,507936
2020-07-17,638504
2020-07-20,539115
2020-07-21,512325
2020-07-22,607201
2020-07-23,543613
2020-07-24,653705
2020-07-27,482035
2020-07-28,367937
2020-07-29,498800
2020-07-30,432024
2020-07-31,745523
2020-08-03,644940
2020-08-04,479801
2020-08-05,550594
2020-08-06,493158
2020-08-07,679583
2020-08-10,585199
2020-08-11,527521
2020-08-12,637998
2020-08-13,472567
2020-08-14,625881
2020-08-17,454695
2020-08-18,450466
2020-08-19,734950
2020-08-20,568618
2020-08-21,634908
2020-08-24,668182
2020-08-25,469139
2020-08-26,752103
2020-08-27,626357
2020-08-28,741267
2020-08-31,738846
2020-09-01,478792
2020-09-02,973654
2020-09-03,868662
2020-09-04,1109874
2020-09-08,760263
2020-09-09,706344
2020-09-10,600293
2020-09-11,832124
2020-09-14,709006
2020-09-15,508602
2020-09-16,700232
2020-09-17,794359
2020-09-18,847115
2020-09-21,842920
2020-09-22,582355
2020-09-23,759908
2020-09-24,595169
2020-09-25,766258
2020-09-28,591928
2020-09-29,396177
2020-09-30,795112
2020-10-01,479968
2020-10-02,659103
2020-10-05,548408
2020-10-06,537969
2020-10-07,576068
2020-10-08,502101
2020-10-09,729549
2020-10-12,728056
2020-10-13,575776
2020-10-14,594813
2020-10-15,621168
2020-10-16,648815
2020-10-19,737653
2020-10-20,385231
2020-10-21,599025
2020-10-22,454097
2020-10-23,623307
2020-10-26,773840
2020-10-27,437238
2020-10-28,1003093
2020-10-29,621449
2020-10-30,852917
2020-11-02,641540
2020-11-03,520687
2020-11-04,801744
2020-11-05,759800
