date,value
2019-10-07,1109175
2019-10-08,1197655
2019-10-09,1074665
2019-10-10,1246904
2019-10-11,1740135
2019-10-14,1167873
2019-10-15,1390507
2019-10-16,1559984
2019-10-17,1209540
2019-10-18,1433833
2019-10-21,947971
2019-10-22,809002
2019-10-23,910342
2019-10-24,789892
2019-10-25,1145189
2019-10-28,1248906
2019-10-29,946858
2019-10-30,1138386
2019-10-31,1520027
2019-11-01,1425147
2019-11-04,1261719
2019-11-05,881251
2019-11-06,902983
2019-11-07,1147338
2019-11-08,1049875
2019-11-11,913839
2019-11-12,976815
2019-11-13,1221218
2019-11-14,1148176
2019-11-15,1489099
2019-11-18,1098191
2019-11-19,865324
2019-11-20,1452936
2019-11-21,920337
2019-11-22,1083025
2019-11-25,1137364
2019-11-26,898498
2019-11-27,1415400
2019-11-29,854772
2019-12-02,1602242
2019-12-03,1383249
2019-12-04,1165811
2019-12-05,725604
2019-12-06,1451081
2019-12-09,1146209
2019-12-10,950755
2019-12-11,1022943
2019-12-12,1421315
2019-12-13,1830552
2019-12-16,1827236
2019-12-17,1114734
2019-12-18,1250112
2019-12-19,1302144
2019-12-20,1768186
2019-12-23,1047747
2019-12-24,445285
2019-12-26,693515
2019-12-27,1221161
2019-12-30,1217649
2019-12-31,1403924
2020-01-02,1102242
2020-01-03,1509824
2020-01-06,1279667
2020-01-07,979847
2020-01-08,1505936
2020-01-09,1289040
2020-01-10,1508958
2020-01-13,1407130
2020-01-14,1224013
2020-01-15,1456128
2020-01-16,1485799
2020-01-17,1596881
2020-01-21,1128940
2020-01-22,1407485
2020-01-23,1063729
2020-01-24,1823174
2020-01-27,1757998
2020-01-28,1036983
2020-01-29,1185196
2020-01-30,1192591
2020-01-31,1951640
2020-02-03,1240402
2020-02-04,1360234
2020-02-05,1398963
2020-02-06,1164100
2020-02-07,1401943
2020-02-10,1201764
2020-02-11,1452995
2020-02-12,1366090
2020-02-13,1172668
2020-02-14,1321453
2020-02-18,1623180
2020-02-19,1648542
2020-02-20,1624428
2020-02-21,1775638
2020-02-24,2754832
2020-02-25,2375131
2020-02-26,2534661
2020-02-27,2826640
2020-02-28,3593415
2020-03-02,2282581
2020-03-03,1575781
2020-03-04,2073964
2020-03-05,1509855
2020-03-06,2425223
2020-03-09,2340260
2020-03-10,2075036
2020-03-11,2167211
2020-03-12,3038159
2020-03-13,3209449
2020-03-16,1902688
2020-03-17,1954248
2020-03-18,2514072
2020-03-19,1812253
2020-03-20,1732896
2020-03-23,1593954
2020-03-24,1522470
2020-03-25,1740055
2020-03-26,1393379
2020-03-27,1428892
2020-03-30,1310523
2020-03-31,1557509
2020-04-01,1399752
2020-04-02,1123403
2020-04-03,1362044
2020-04-06,1421641
2020-04-07,1315103
2020-04-08,1262348
2020-04-09,1418972
2020-04-13,1007130
2020-04-14,1236174
2020-04-15,1343676
2020-04-16,1052251
2020-04-17,1250458
2020-04-20,1073532
2020-04-21,885838
2020-04-22,855718
2020-04-23,837918
2020-04-24,1125759
2020-04-27,1079039
2020-04-28,809444
2020-04-29,1271015
2020-04-30,1117295
2020-05-01,1349888
2020-05-04,972657
2020-05-05,854848
2020-05-06,908706
2020-05-07,819507
2020-05-08,1093665
2020-05-11,1127591
2020-05-12,960475
2020-05-13,1642649
2020-05-14,1207721
2020-05-15,1120115
2020-05-18,1212384
2020-05-19,789875
2020-05-20,1046078
2020-05-21,698409
2020-05-22,960660
2020-05-26,1200489
2020-05-27,1256604
2020-05-28,1150737
2020-05-29,1233826
2020-06-01,904020
