date,value
2003-10-17,1152086
2003-10-21,773759
2003-10-22,663452
2003-10-23,579837
2003-10-24,690948
2003-10-27,512226
2003-10-28,713166
2003-10-29,809215
2003-10-30,725972
2003-10-31,578348
2003-11-03,707961
2003-11-04,682009
2003-11-05,640931
2003-11-06,669108
2003-11-07,744763
2003-11-10,516110
2003-11-11,537257
2003-11-12,701977
2003-11-13,721852
2003-11-14,785626
2003-11-17,835827
2003-11-18,745954
2003-11-19,777117
2003-11-20,859456
2003-11-21,856787
2003-11-24,754172
2003-11-25,688827
2003-11-26,546449
2003-11-28,270108
2003-12-01,759954
2003-12-02,735096
2003-12-03,744581
2003-12-04,682634
2003-12-05,585094
2003-12-08,562382
2003-12-09,770383
2003-12-10,745868
2003-12-11,767216
2003-12-12,683513
2003-12-15,855029
2003-12-16,814131
2003-12-17,782694
2003-12-18,1083462
2003-12-19,988767
2003-12-22,642045
2003-12-23,585116
2003-12-24,272788
2003-12-26,243405
2003-12-29,713256
2003-12-30,660409
2003-12-31,637298
2004-01-02,650305
2004-01-05,1043254
2004-01-06,1003430
2004-01-07,950530
2004-01-08,1160572
2004-01-09,1116174
2004-01-12,897062
2004-01-13,1132464
2004-01-14,1083341
2004-01-15,1448897
2004-01-16,1705830
2004-01-20,1126135
2004-01-21,1007919
2004-01-22,886395
2004-01-23,861409
2004-01-26,735712
2004-01-27,762179
2004-01-28,898844
2004-01-29,960543
2004-01-30,702516
2004-02-02,748796
2004-02-03,730466
2004-02-04,803225
2004-02-05,757792
2004-02-06,897646
2004-02-09,663520
2004-02-10,712657
2004-02-11,907062
2004-02-12,916360
2004-02-13,766143
2004-02-17,830958
2004-02-18,894554
2004-02-19,1242874
2004-02-20,1224856
2004-02-23,897710
2004-02-24,816858
2004-02-25,698751
2004-02-26,714777
2004-02-27,624138
2004-03-01,486328
2004-03-02,699614
2004-03-03,619970
2004-03-04,669444
2004-03-05,696919
2004-03-08,757246
2004-03-09,830649
2004-03-10,942219
2004-03-11,911050
2004-03-12,758249
2004-03-15,722084
2004-03-16,784976
2004-03-17,1001423
2004-03-18,876364
2004-03-19,853502
2004-03-22,867817
2004-03-23,819911
2004-03-24,690843
2004-03-25,976574
2004-03-26,584342
2004-03-29,727022
2004-03-30,685330
2004-03-31,617784
2004-04-01,862321
2004-04-02,1154470
2004-04-05,957355
2004-04-06,846971
2004-04-07,721673
2004-04-08,701853
2004-04-12,616446
2004-04-13,856548
2004-04-14,852572
2004-04-15,1005497
2004-04-16,1220955
2004-04-19,794760
2004-04-20,833531
2004-04-21,776135
2004-04-22,977611
2004-04-23,750552
2004-04-26,618295
2004-04-27,876032
2004-04-28,817411
2004-04-29,797749
2004-04-30,794028
2004-05-03,604159
2004-05-04,698925
2004-05-05,533593
2004-05-06,543069
2004-05-07,684716
2004-05-10,872813
2004-05-11,799195
2004-05-12,849269
2004-05-13,684749
2004-05-14,530308
2004-05-17,622932
2004-05-18,716116
2004-05-19,968473
2004-05-20,642507
2004-05-21,868694
2004-05-24,687410
2004-05-25,829079
2004-05-26,618924
2004-05-27,648734
2004-05-28,388547
2004-06-01,500343
2004-06-02,581605
2004-06-03,518239
2004-06-04,569900
2004-06-07,751705
2004-06-08,617310
2004-06-09,563453
2004-06-10,486746
2004-06-14,538233
2004-06-15,737671
2004-06-16,740529
2004-06-17,818546
2004-06-18,1095854
2004-06-21,690718
2004-06-22,761243
2004-06-23,738101
2004-06-24,861415
2004-06-25,567925
2004-06-28,837842
2004-06-29,589137
2004-06-30,684227
2004-07-01,736874
2004-07-02,559886
2004-07-06,654782
2004-07-07,602726
2004-07-08,731641
2004-07-09,614062
2004-07-12,542641
2004-07-13,636712
2004-07-14,939151
2004-07-15,935067
2004-07-16,1003161
2004-07-19,851240
2004-07-20,811128
2004-07-21,840775
2004-07-22,828641
2004-07-23,566657
2004-07-26,726589
2004-07-27,720204
2004-07-28,756943
2004-07-29,671863
2004-07-30,544250
2004-08-02,484103
2004-08-03,488837
2004-08-04,528603
2004-08-05,611312
2004-08-06,753807
2004-08-09,548918
2004-08-10,606837
2004-08-11,712094
2004-08-12,658641
2004-08-13,575679
2004-08-16,628640
2004-08-17,711771
2004-08-18,836750
2004-08-19,824248
2004-08-20,1049280
2004-08-23,666177
2004-08-24,581836
2004-08-25,623235
2004-08-26,563139
2004-08-27,478110
2004-08-30,448057
2004-08-31,529841
2004-09-01,419929
2004-09-02,537742
2004-09-03,460669
2004-09-07,591019
2004-09-08,522688
2004-09-09,616250
2004-09-10,688108
2004-09-13,925613
2004-09-14,741513
2004-09-15,764819
2004-09-16,773434
2004-09-17,905929
2004-09-20,801309
2004-09-21,834590
2004-09-22,629502
2004-09-23,562196
2004-09-24,473767
2004-09-27,533723
2004-09-28,689020
2004-09-29,731516
