date,value
2019-10-07,145033661
2019-10-08,147148908
2019-10-09,149810215
2019-10-10,151487639
2019-10-11,153982694
2019-10-14,152228292
2019-10-15,154002323
2019-10-16,156717809
2019-10-17,157242566
2019-10-18,160253093
2019-10-21,133421040
2019-10-22,136734660
2019-10-23,140038331
2019-10-24,142400101
2019-10-25,145222317
2019-10-28,142044645
2019-10-29,145516718
2019-10-30,148404912
2019-10-31,151115889
2019-11-01,153475246
2019-11-04,150381168
2019-11-05,153251936
2019-11-06,156318979
2019-11-07,158301102
2019-11-08,161389398
2019-11-11,158902427
2019-11-12,160970427
2019-11-13,163285814
2019-11-14,165062367
2019-11-15,167545411
2019-11-18,143860876
2019-11-19,147292775
2019-11-20,150280041
2019-11-21,150740739
2019-11-22,153496872
2019-11-25,150773319
2019-11-26,153992790
2019-11-27,156407953
2019-11-29,158121149
2019-12-02,153711385
2019-12-03,156753832
2019-12-04,159401884
2019-12-05,160642818
2019-12-06,162833263
2019-12-09,159695280
2019-12-10,162118343
2019-12-11,164390389
2019-12-12,166552891
2019-12-13,170001269
2019-12-16,164506264
2019-12-17,163230910
2019-12-18,168699236
2019-12-19,168061752
2019-12-20,166329944
2019-12-23,137151703
2019-12-24,140258757
2019-12-26,141441045
2019-12-27,143518918
2019-12-30,140923907
2019-12-31,143828318
2020-01-02,143780325
2020-01-03,146607427
2020-01-06,145353382
2020-01-07,148374394
2020-01-08,151327160
2020-01-09,154081658
2020-01-10,157509123
2020-01-13,155544389
2020-01-14,158593616
2020-01-15,161571770
2020-01-16,164622750
2020-01-17,167378427
2020-01-21,108620340
2020-01-22,113168573
2020-01-23,114671818
2020-01-24,118605140
2020-01-27,116055177
2020-01-28,120176763
2020-01-29,124060121
2020-01-30,126795646
2020-01-31,130270857
2020-02-03,125882583
2020-02-04,129311152
2020-02-05,132823893
2020-02-06,136049938
2020-02-07,138938010
2020-02-10,135355779
2020-02-11,138716520
2020-02-12,142594125
2020-02-13,145934726
2020-02-14,148845108
2020-02-18,145050531
2020-02-19,148423325
2020-02-20,149555314
2020-02-21,153138533
2020-02-24,127193951
2020-02-25,132478000
2020-02-26,137807796
2020-02-27,141497903
2020-02-28,146801201
2020-03-02,143062080
2020-03-03,146757838
2020-03-04,150785621
2020-03-05,153608651
2020-03-06,157376850
2020-03-09,154135969
2020-03-10,157607827
2020-03-11,161523029
2020-03-12,164924313
2020-03-13,169396383
2020-03-16,165897377
2020-03-17,168541917
2020-03-18,171956579
2020-03-19,172673641
2020-03-20,175892376
2020-03-23,132250888
2020-03-24,135721827
2020-03-25,140000006
2020-03-26,142833316
2020-03-27,146408216
2020-03-30,141818513
2020-03-31,146194312
2020-04-01,146097763
2020-04-02,148457204
2020-04-03,151441561
2020-04-06,148576107
2020-04-07,152170497
2020-04-08,155221761
2020-04-09,157580743
2020-04-13,156224215
2020-04-14,159449983
2020-04-15,161878102
2020-04-16,164295725
2020-04-17,167769265
2020-04-20,134507359
2020-04-21,138665183
2020-04-22,143221943
2020-04-23,145537111
2020-04-24,149504969
2020-04-27,146502624
2020-04-28,150077298
2020-04-29,147336024
2020-04-30,156178273
2020-05-01,158852213
2020-05-04,154584973
2020-05-05,157689504
2020-05-06,160560161
2020-05-07,162968803
2020-05-08,166120434
2020-05-11,163118123
2020-05-12,166805012
2020-05-13,170039589
2020-05-14,172733533
2020-05-15,175764217
2020-05-18,148330003
2020-05-19,153657221
2020-05-20,157332716
2020-05-21,158973973
2020-05-22,162141312
2020-05-26,158702358
2020-05-27,162155470
2020-05-28,165446290
2020-05-29,168825469
2020-06-01,164488273
2020-06-02,167956174
2020-06-03,171612356
2020-06-04,174494017
2020-06-05,178387861
2020-06-08,176737696
2020-06-09,182296178
2020-06-10,186617710
2020-06-11,190161214
2020-06-12,194382223
2020-06-15,188197479
2020-06-16,191725031
2020-06-17,194585848
2020-06-18,195089508
2020-06-19,196584337
2020-06-22,150185828
2020-06-23,154844392
2020-06-24,158646961
2020-06-25,162028392
2020-06-26,165579823
2020-06-29,160527078
2020-06-30,163887032
2020-07-01,165483882
2020-07-02,168007996
2020-07-06,165610371
2020-07-07,169310608
2020-07-08,172705514
2020-07-09,175902076
2020-07-10,179522623
