date,value
2019-10-07,151632568
2019-10-08,153685836
2019-10-09,156267712
2019-10-10,157466750
2019-10-11,159952622
2019-10-14,157924594
2019-10-15,159426122
2019-10-16,162233821
2019-10-17,163641906
2019-10-18,166309470
2019-10-21,140675587
2019-10-22,143395435
2019-10-23,146707591
2019-10-24,148667751
2019-10-25,151243191
2019-10-28,147792339
2019-10-29,150568754
2019-10-30,153739333
2019-10-31,156516056
2019-11-01,158733699
2019-11-04,155541074
2019-11-05,158362254
2019-11-06,161820285
2019-11-07,163818830
2019-11-08,166691877
2019-11-11,164411422
2019-11-12,166559291
2019-11-13,168862436
2019-11-14,170745280
2019-11-15,173811599
2019-11-18,147316197
2019-11-19,150148032
2019-11-20,153965879
2019-11-21,155711926
2019-11-22,158718307
2019-11-25,155692640
2019-11-26,158362058
2019-11-27,161242074
2019-11-29,163251672
2019-12-02,158672875
2019-12-03,161421264
2019-12-04,164331614
2019-12-05,165967058
2019-12-06,168486920
2019-12-09,165617068
2019-12-10,168055313
2019-12-11,170613975
2019-12-12,172900302
2019-12-13,176178354
2019-12-16,173505793
2019-12-17,168385376
2019-12-18,176509784
2019-12-19,177097181
2019-12-20,180045726
2019-12-23,142147039
2019-12-24,144667394
2019-12-26,145804127
2019-12-27,148013593
2019-12-30,144977427
2019-12-31,148478919
2020-01-02,146909419
2020-01-03,150051083
2020-01-06,149047216
2020-01-07,152045162
2020-01-08,154920687
2020-01-09,157772783
2020-01-10,161426725
2020-01-13,159909741
2020-01-14,163472766
2020-01-15,166662956
2020-01-16,169381141
2020-01-17,173639421
2020-01-21,111199503
2020-01-22,115919577
2020-01-23,118986610
2020-01-24,122645692
2020-01-27,122344177
2020-01-28,126214374
2020-01-29,129484899
2020-01-30,132080236
2020-01-31,135523979
2020-02-03,131743706
2020-02-04,134331196
2020-02-05,137434800
2020-02-06,140087400
2020-02-07,143330005
2020-02-10,140090032
2020-02-11,142634867
2020-02-12,145711313
2020-02-13,148649148
2020-02-14,151659391
2020-02-18,148335219
2020-02-19,151041839
2020-02-20,152570146
2020-02-21,156164947
2020-02-24,130430726
2020-02-25,135641654
2020-02-26,141391586
2020-02-27,144711649
2020-02-28,150400303
2020-03-02,149120850
2020-03-03,152957601
2020-03-04,157041465
2020-03-05,159723536
2020-03-06,164239757
2020-03-09,162314716
2020-03-10,165401042
2020-03-11,169110067
2020-03-12,172801599
2020-03-13,174648973
2020-03-16,173037976
2020-03-17,173947948
2020-03-18,176251176
2020-03-19,173341523
2020-03-20,175427080
2020-03-23,140389931
2020-03-24,141877204
2020-03-25,145318846
2020-03-26,147420124
2020-03-27,151079258
2020-03-30,145524429
2020-03-31,149510156
2020-04-01,149911188
2020-04-02,151018328
2020-04-03,154441948
2020-04-06,151995733
2020-04-07,154518922
2020-04-08,157725165
2020-04-09,160211097
2020-04-13,159218874
2020-04-14,161012864
2020-04-15,164327083
2020-04-16,164931977
2020-04-17,167871818
2020-04-20,135634195
2020-04-21,139177853
2020-04-22,143068674
2020-04-23,145101380
2020-04-24,148059362
2020-04-27,144215700
2020-04-28,147494512
2020-04-29,147647528
2020-04-30,153670545
2020-05-01,156071359
2020-05-04,152293954
2020-05-05,154723952
2020-05-06,157694439
2020-05-07,159697893
2020-05-08,162692066
2020-05-11,159752170
2020-05-12,162214303
2020-05-13,165249909
2020-05-14,167657589
2020-05-15,170204018
2020-05-18,141868359
2020-05-19,145419076
2020-05-20,148221078
2020-05-21,150010767
2020-05-22,153247158
2020-05-26,149351252
2020-05-27,152792576
2020-05-28,156056791
2020-05-29,159329448
2020-06-01,154700675
2020-06-02,156989374
2020-06-03,160154523
2020-06-04,162756891
2020-06-05,166767964
2020-06-08,164834187
2020-06-09,168230809
2020-06-10,171554744
2020-06-11,174383046
2020-06-12,178073532
2020-06-15,174709404
2020-06-16,176675930
2020-06-17,179736248
2020-06-18,179751716
2020-06-19,182398771
2020-06-22,134782784
2020-06-23,137963731
2020-06-24,141077993
2020-06-25,144185190
2020-06-26,147156291
2020-06-29,143917056
2020-06-30,146180112
2020-07-01,146145822
2020-07-02,148109260
2020-07-06,146460314
2020-07-07,149187418
2020-07-08,151909058
2020-07-09,154372433
2020-07-10,157186315
2020-07-13,154572592
2020-07-14,157555672
2020-07-15,160104871
2020-07-16,162257238
2020-07-17,164527413
2020-07-20,134123079
2020-07-21,137462098
2020-07-22,141013890
2020-07-23,142294372
2020-07-24,145424562
2020-07-27,142428629
2020-07-28,145222777
2020-07-29,148507130
2020-07-30,150965673
2020-07-31,153955838
2020-08-03,149449880
2020-08-04,152296419
2020-08-05,155470501
2020-08-06,157987263
2020-08-07,161001149
2020-08-10,158083949
2020-08-11,160906499
2020-08-12,164029392
2020-08-13,166159058
2020-08-14,169025425
2020-08-17,165662945
2020-08-18,167954130
2020-08-19,171661456
2020-08-20,173152659
2020-08-21,175891019
2020-08-24,147436932
2020-08-25,150491659
2020-08-26,154064224
2020-08-27,157004881
2020-08-28,160295488
2020-08-31,154906717
2020-09-01,168287932
2020-09-02,171322598
2020-09-03,174512283
2020-09-04,177717580
2020-09-08,173730061
2020-09-09,176357714
2020-09-10,178755042
2020-09-11,181533265
2020-09-14,178452727
2020-09-15,180933702
2020-09-16,183479225
2020-09-17,184336382
2020-09-18,186833117
2020-09-21,148786995
2020-09-22,152565437
2020-09-23,155812254
2020-09-24,158791601
2020-09-25,161485817
2020-09-28,157859927
2020-09-29,160411286
2020-09-30,163108590
2020-10-01,162441121
2020-10-02,165035349
2020-10-05,162277469
2020-10-06,164644640
2020-10-07,167950214
2020-10-08,170371643
2020-10-09,172996224
2020-10-12,170265540
2020-10-13,173082300
2020-10-14,176189255
2020-10-15,178236034
2020-10-16,180980559
2020-10-19,151685094
2020-10-20,155195952
2020-10-21,158309704
2020-10-22,159991452
2020-10-23,162830526
2020-10-26,159507688
2020-10-27,163112567
2020-10-28,166438020
2020-10-29,169550531
2020-10-30,172200018
2020-11-02,166365001
2020-11-03,169470405
2020-11-04,173109718
2020-11-05,175434999
2020-11-06,179134935
2020-11-09,175069780
2020-11-10,178918008
2020-11-11,182009467
2020-11-12,184801383
2020-11-13,188405855
2020-11-16,184595116
2020-11-17,186886370
2020-11-18,191161292
2020-11-19,192971430
2020-11-20,196407824
2020-11-23,164017306
2020-11-24,168144922
2020-11-25,172813505
2020-11-27,175768833
2020-11-30,171629924
2020-12-01,174907076
2020-12-02,178389918
2020-12-03,181357881
2020-12-04,184759941
2020-12-07,181454961
2020-12-08,184933714
2020-12-09,188020754
2020-12-10,191263357
2020-12-11,194317971
2020-12-14,191441317
2020-12-15,194606420
2020-12-16,198074058
2020-12-17,199022886
2020-12-18,202578528
2020-12-21,160615311
2020-12-22,164915713
2020-12-23,168611782
2020-12-24,171381944
2020-12-28,167864230
2020-12-29,170876888
2020-12-30,174409329
2020-12-31,176860537
2021-01-04,170541909
2021-01-05,174853466
2021-01-06,178952527
2021-01-07,182778154
2021-01-08,186566807
2021-01-11,183941325
2021-01-12,188128655
2021-01-13,192543369
2021-01-14,196941934
2021-01-15,202458293
2021-01-19,128105708
2021-01-20,133538999
2021-01-21,136636691
2021-01-22,141868987
2021-01-25,138254774
2021-01-26,143712946
2021-01-27,148379469
2021-01-28,153643200
2021-01-29,157757159
2021-02-01,152405357
2021-02-02,156638891
2021-02-03,160720274
2021-02-04,163471546
2021-02-05,167351293
2021-02-08,162419887
2021-02-09,166263421
2021-02-10,170560589
2021-02-11,174280706
2021-02-12,178341798
2021-02-16,174321834
2021-02-17,179658237
2021-02-18,181367422
2021-02-19,185301640
2021-02-22,152121774
2021-02-23,157709418
2021-02-24,162108848
2021-02-25,166440101
2021-02-26,170977835
2021-03-01,165684149
2021-03-02,168903328
2021-03-03,172412095
2021-03-04,175387787
2021-03-05,178858749
2021-03-08,174459515
2021-03-09,178377455
2021-03-10,181016085
2021-03-11,183639627
2021-03-12,187515771
2021-03-15,183334169
2021-03-16,186797419
2021-03-17,190682851
2021-03-18,191330277
2021-03-19,194945692
2021-03-22,148098490
2021-03-23,151987540
2021-03-24,156543312
2021-03-25,160727215
2021-03-26,164179979
2021-03-29,160987989
2021-03-30,164596527
2021-03-31,167429440
2021-04-01,167100191
2021-04-05,164423621
2021-04-06,167527407
2021-04-07,170625956
2021-04-08,173574235
2021-04-09,176756409
2021-04-12,173694304
2021-04-13,177142557
2021-04-14,180586571
2021-04-15,183566207
2021-04-16,187098520
2021-04-19,152608793
2021-04-20,157680250
2021-04-21,161766414
2021-04-22,162804501
2021-04-23,165593621
2021-04-26,162361578
2021-04-27,165449431
2021-04-28,169105465
2021-04-29,171823562
2021-04-30,175690328
2021-05-03,169902977
2021-05-04,173301448
2021-05-05,177352760
2021-05-06,180022412
2021-05-07,184000803
2021-05-10,180494511
2021-05-11,184541721
2021-05-12,188255244
2021-05-13,191992458
2021-05-14,195277907
2021-05-17,191260973
2021-05-18,194119097
2021-05-19,197511976
2021-05-20,198945191
2021-05-21,201913123
2021-05-24,169305496
2021-05-25,172921762
2021-05-26,176463661
2021-05-27,179446412
2021-05-28,183427668
2021-06-01,178594291
2021-06-02,182698299
2021-06-03,186392929
2021-06-04,191025120
2021-06-07,187317021
2021-06-08,191026522
2021-06-09,194754169
2021-06-10,197886492
2021-06-11,201683743
2021-06-14,197193865
2021-06-15,200927944
2021-06-16,204492535
2021-06-17,206297626
2021-06-18,211319705
2021-06-21,161079148
2021-06-22,165036036
2021-06-23,169209046
2021-06-24,172293238
2021-06-25,176033754
2021-06-28,171526212
2021-06-29,175307475
2021-06-30,179396671
2021-07-01,179188738
2021-07-02,183090285
2021-07-06,179065434
2021-07-07,183936692
2021-07-08,187281948
2021-07-09,191014051
2021-07-12,187755980
2021-07-13,190831931
2021-07-14,194913857
2021-07-15,197665515
2021-07-16,201001857
2021-07-19,168012746
2021-07-20,173035531
2021-07-21,178596279
2021-07-22,179805878
2021-07-23,183294648
2021-07-26,178503984
2021-07-27,182072707
2021-07-28,186447231
2021-07-29,189106934
2021-07-30,192997012
2021-08-02,184625679
2021-08-03,189396981
2021-08-04,193062635
2021-08-05,195664587
2021-08-06,198862381
2021-08-09,193993191
2021-08-10,197117589
2021-08-11,200739210
2021-08-12,203245997
2021-08-13,206811780
2021-08-16,202954378
2021-08-17,206300357
2021-08-18,210070445
2021-08-19,211576888
2021-08-20,215349058
2021-08-23,182277080
2021-08-24,186190252
2021-08-25,189998683
2021-08-26,193049568
2021-08-27,196868107
2021-08-30,192054556
2021-08-31,195396277
2021-09-01,198571774
2021-09-02,201597299
2021-09-03,204898929
2021-09-07,200333671
2021-09-08,203973401
2021-09-09,207130869
2021-09-10,210391417
2021-09-13,207493811
2021-09-14,210613071
2021-09-15,213982938
2021-09-16,215131408
2021-09-17,218334449
2021-09-20,175237964
2021-09-21,181433405
2021-09-22,185491189
2021-09-23,188187517
2021-09-24,192547069
2021-09-27,187754195
2021-09-28,191155209
2021-09-29,195636001
2021-09-30,198149029
2021-10-01,197805178
2021-10-04,193126777
2021-10-05,196792050
2021-10-06,200344885
2021-10-07,202970812
2021-10-08,206860812
2021-10-11,202568910
2021-10-12,205410623
2021-10-13,208709227
2021-10-14,211134102
2021-10-15,215412117
2021-10-18,181748636
2021-10-19,185921211
2021-10-20,190253604
2021-10-21,192266515
2021-10-22,196471100
2021-10-25,191710585
2021-10-26,195192916
2021-10-27,199499133
2021-10-28,202651440
2021-10-29,205902103
2021-11-01,200182639
2021-11-02,204006815
2021-11-03,207870399
2021-11-04,211117643
2021-11-05,215963774
2021-11-08,210984764
2021-11-09,214668885
2021-11-10,218405445
2021-11-11,221297773
2021-11-12,224826624
2021-11-15,219468600
2021-11-16,222555830
2021-11-17,226194347
2021-11-18,227835776
2021-11-19,231461281
2021-11-22,194846265
2021-11-23,199845570
2021-11-24,204268828
2021-11-26,206575627
2021-11-29,203220029
2021-11-30,206350797
2021-12-01,210443610
2021-12-02,213954531
2021-12-03,218301083
2021-12-06,214613113
2021-12-07,217420409
2021-12-08,221339965
2021-12-09,222265127
2021-12-10,225371141
2021-12-13,220417278
2021-12-14,222875768
2021-12-15,226544149
2021-12-16,228098143
2021-12-17,231834845
2021-12-20,187677494
2021-12-21,191329943
2021-12-22,194390339
2021-12-23,194911201
2021-12-27,191503831
2021-12-28,194102495
2021-12-29,196649926
2021-12-30,198266402
2021-12-31,201161619
2022-01-03,193256295
2022-01-04,196482082
2022-01-05,200564988
2022-01-06,204327116
2022-01-07,208130507
2022-01-10,204248623
2022-01-11,207399773
2022-01-12,210384654
2022-01-13,212891298
2022-01-14,217150135
2022-01-18,213351659
2022-01-19,217670900
2022-01-20,219077808
2022-01-21,224513338
2022-01-24,151236084
2022-01-25,157483158
2022-01-26,162436521
2022-01-27,165745727
2022-01-28,169635588
2022-01-31,165667880
2022-02-01,169338543
2022-02-02,173204299
2022-02-03,176180101
2022-02-04,180436411
2022-02-07,175248484
2022-02-08,179094306
2022-02-09,182888167
2022-02-10,186617538
2022-02-11,190937532
2022-02-14,186928025
2022-02-15,190352052
2022-02-16,193959945
2022-02-17,195136676
2022-02-18,198910275
2022-02-22,168141603
2022-02-23,171728311
2022-02-24,174659117
2022-02-25,179183493
2022-02-28,175646917
2022-03-01,178495191
2022-03-02,182895887
2022-03-03,185631374
2022-03-04,189498577
2022-03-07,185594465
2022-03-08,189557507
2022-03-09,194186161
2022-03-10,197112298
2022-03-11,200368236
2022-03-14,195544856
2022-03-15,198180419
2022-03-16,199947037
2022-03-17,202970244
2022-03-18,207413363
2022-03-21,164346367
2022-03-22,168233344
2022-03-23,172848771
2022-03-24,175905938
