date,value
2019-10-07,296666229
2019-10-08,300834744
2019-10-09,306077927
2019-10-10,308954389
2019-10-11,313935316
2019-10-14,310152886
2019-10-15,313428445
2019-10-16,318951630
2019-10-17,320884472
2019-10-18,326562563
2019-10-21,274096627
2019-10-22,280130095
2019-10-23,286745922
2019-10-24,291067852
2019-10-25,296465508
2019-10-28,289836984
2019-10-29,296085472
2019-10-30,302144245
2019-10-31,307631945
2019-11-01,312208945
2019-11-04,305922242
2019-11-05,311614190
2019-11-06,318139264
2019-11-07,322119932
2019-11-08,328081275
2019-11-11,323313849
2019-11-12,327529718
2019-11-13,332148250
2019-11-14,335807647
2019-11-15,341357010
2019-11-18,291177073
2019-11-19,297440807
2019-11-20,304245920
2019-11-21,306452665
2019-11-22,312215179
2019-11-25,306465959
2019-11-26,312354848
2019-11-27,317650027
2019-11-29,321372821
2019-12-02,312384260
2019-12-03,318175096
2019-12-04,323733498
2019-12-05,326609876
2019-12-06,331320183
2019-12-09,325312348
2019-12-10,330173656
2019-12-11,335004364
2019-12-12,339453193
2019-12-13,346179623
2019-12-16,338012057
2019-12-17,331616286
2019-12-18,345209020
2019-12-19,345158933
2019-12-20,346375670
2019-12-23,279298742
2019-12-24,284926151
2019-12-26,287245172
2019-12-27,291532511
2019-12-30,285901334
2019-12-31,292307237
2020-01-02,290689744
2020-01-03,296658510
2020-01-06,294400598
2020-01-07,300419556
2020-01-08,306247847
2020-01-09,311854441
2020-01-10,318935848
2020-01-13,315454130
2020-01-14,322066382
2020-01-15,328234726
2020-01-16,334003891
2020-01-17,341017848
2020-01-21,219819843
2020-01-22,229088150
2020-01-23,233658428
2020-01-24,241250832
2020-01-27,238399354
2020-01-28,246391137
2020-01-29,253545020
2020-01-30,258875882
2020-01-31,265794836
2020-02-03,257626289
2020-02-04,263642348
2020-02-05,270258693
2020-02-06,276137338
2020-02-07,282268015
2020-02-10,275445811
2020-02-11,281351387
2020-02-12,288305438
2020-02-13,294583874
2020-02-14,300504499
2020-02-18,293385750
2020-02-19,299465164
2020-02-20,302125460
2020-02-21,309303480
2020-02-24,257624677
2020-02-25,268119654
2020-02-26,279199382
2020-02-27,286209552
2020-02-28,297201504
2020-03-02,292182930
2020-03-03,299715439
2020-03-04,307827086
2020-03-05,313332187
2020-03-06,321616607
2020-03-09,316450685
2020-03-10,323008869
2020-03-11,330633096
2020-03-12,337725912
2020-03-13,344045356
2020-03-16,338935353
2020-03-17,342489865
2020-03-18,348207755
2020-03-19,346015164
2020-03-20,351319456
2020-03-23,272640819
2020-03-24,277599031
2020-03-25,285318852
2020-03-26,290253440
2020-03-27,297487474
2020-03-30,287342942
2020-03-31,295704468
2020-04-01,296008951
2020-04-02,299475532
2020-04-03,305883509
2020-04-06,300571840
2020-04-07,306689419
2020-04-08,312946926
2020-04-09,317791840
2020-04-13,315443089
2020-04-14,320462847
2020-04-15,326205185
2020-04-16,329227702
2020-04-17,335641083
2020-04-20,270141554
2020-04-21,277843036
2020-04-22,286290617
2020-04-23,290638491
2020-04-24,297564331
2020-04-27,290718324
2020-04-28,297571810
2020-04-29,294983552
2020-04-30,309848818
2020-05-01,314923572
2020-05-04,306878927
2020-05-05,312413456
2020-05-06,318254600
2020-05-07,322666696
2020-05-08,328812500
2020-05-11,322870293
2020-05-12,329019315
2020-05-13,335289498
2020-05-14,340391122
2020-05-15,345968235
2020-05-18,290198362
2020-05-19,299076297
2020-05-20,305553794
2020-05-21,308984740
2020-05-22,315388470
2020-05-26,308053610
2020-05-27,314948046
2020-05-28,321503081
2020-05-29,328154917
2020-06-01,319188948
2020-06-02,324945548
2020-06-03,331766879
2020-06-04,337250908
2020-06-05,345155825
2020-06-08,341571883
2020-06-09,350526987
2020-06-10,358172454
2020-06-11,364544260
2020-06-12,372455755
2020-06-15,362906883
2020-06-16,368400961
2020-06-17,374322096
2020-06-18,374841224
2020-06-19,378983108
2020-06-22,284968612
2020-06-23,292808123
2020-06-24,299724954
2020-06-25,306213582
2020-06-26,312736114
2020-06-29,304444134
2020-06-30,310067144
2020-07-01,311629704
2020-07-02,316117256
2020-07-06,312070685
2020-07-07,318498026
2020-07-08,324614572
2020-07-09,330274509
2020-07-10,336708938
2020-07-13,331029655
2020-07-14,338292001
2020-07-15,343832278
2020-07-16,349163269
2020-07-17,354211039
2020-07-20,288443903
2020-07-21,296246566
2020-07-22,304469996
2020-07-23,307847754
2020-07-24,314362137
2020-07-27,306216413
2020-07-28,313069181
2020-07-29,319760446
2020-07-30,325215002
2020-07-31,331430721
2020-08-03,321037212
2020-08-04,328264257
2020-08-05,335063334
2020-08-06,341237672
2020-08-07,347673168
2020-08-10,340840328
2020-08-11,348112213
2020-08-12,354929821
2020-08-13,359635516
2020-08-14,365891998
2020-08-17,357947379
2020-08-18,363151142
2020-08-19,370265055
2020-08-20,373464037
2020-08-21,378765225
2020-08-24,317349785
2020-08-25,325494410
2020-08-26,333360273
2020-08-27,339979252
2020-08-28,347225644
2020-08-31,334816691
2020-09-01,363339684
2020-09-02,369947530
2020-09-03,377357571
2020-09-04,384365167
2020-09-08,375114633
