date,value
2003-10-17,733258
2003-10-21,540023
2003-10-22,646991
2003-10-23,493493
2003-10-24,630758
2003-10-27,328592
2003-10-28,532300
2003-10-29,471246
2003-10-30,585376
2003-10-31,647265
2003-11-03,445631
2003-11-04,418717
2003-11-05,441878
2003-11-06,512323
2003-11-07,582223
2003-11-10,469592
2003-11-11,514414
2003-11-12,558089
2003-11-13,560283
2003-11-14,541118
2003-11-17,698744
2003-11-18,565047
2003-11-19,678335
2003-11-20,690504
2003-11-21,689308
2003-11-24,490527
2003-11-25,430183
2003-11-26,394310
2003-11-28,186728
2003-12-01,539961
2003-12-02,524620
2003-12-03,642879
2003-12-04,489126
2003-12-05,491146
2003-12-08,523183
2003-12-09,559394
2003-12-10,605431
2003-12-11,514764
2003-12-12,513507
2003-12-15,602488
2003-12-16,556412
2003-12-17,538954
2003-12-18,704617
2003-12-19,792798
2003-12-22,627611
2003-12-23,442008
2003-12-24,198166
2003-12-26,137844
2003-12-29,375101
2003-12-30,392442
2003-12-31,796876
2004-01-02,490925
2004-01-05,708252
2004-01-06,567995
2004-01-07,654588
2004-01-08,753665
2004-01-09,723463
2004-01-12,712123
2004-01-13,690443
2004-01-14,715875
2004-01-15,843359
2004-01-16,875993
2004-01-20,673994
2004-01-21,673801
2004-01-22,812495
2004-01-23,665677
2004-01-26,428519
2004-01-27,666311
2004-01-28,767664
2004-01-29,764294
2004-01-30,568347
2004-02-02,542419
2004-02-03,508402
2004-02-04,647213
2004-02-05,574865
2004-02-06,563415
2004-02-09,468357
2004-02-10,510672
2004-02-11,616712
2004-02-12,508743
2004-02-13,582099
2004-02-17,730243
2004-02-18,697541
2004-02-19,890484
2004-02-20,1050314
2004-02-23,554218
2004-02-24,623121
2004-02-25,535512
2004-02-26,460082
2004-02-27,448697
2004-03-01,357508
2004-03-02,495954
2004-03-03,442675
2004-03-04,475721
2004-03-05,549202
2004-03-08,620432
2004-03-09,803092
2004-03-10,853517
2004-03-11,1097093
2004-03-12,795143
2004-03-15,761678
2004-03-16,830306
2004-03-17,807241
2004-03-18,700998
2004-03-19,881695
2004-03-22,839966
2004-03-23,554977
2004-03-24,605230
2004-03-25,679442
2004-03-26,449027
2004-03-29,484474
2004-03-30,418968
2004-03-31,812143
2004-04-01,524115
2004-04-02,788367
2004-04-05,637365
2004-04-06,692316
2004-04-07,506208
2004-04-08,516837
2004-04-12,473888
2004-04-13,785025
2004-04-14,698987
2004-04-15,846617
2004-04-16,936934
2004-04-19,531366
2004-04-20,677967
2004-04-21,530939
2004-04-22,617591
2004-04-23,526044
2004-04-26,407195
2004-04-27,627839
2004-04-28,720636
2004-04-29,798591
2004-04-30,811936
2004-05-03,490665
2004-05-04,467344
2004-05-05,475515
2004-05-06,682891
2004-05-07,693425
2004-05-10,1118006
2004-05-11,885934
2004-05-12,949087
2004-05-13,692405
2004-05-14,516156
2004-05-17,761623
2004-05-18,710531
2004-05-19,772361
2004-05-20,778148
2004-05-21,973948
2004-05-24,526740
2004-05-25,748788
2004-05-26,623225
2004-05-27,608932
2004-05-28,407570
2004-06-01,467935
2004-06-02,531082
2004-06-03,585165
2004-06-04,580062
2004-06-07,637981
2004-06-08,531082
2004-06-09,520110
2004-06-10,559901
2004-06-14,710300
2004-06-15,578207
2004-06-16,513345
2004-06-17,647093
2004-06-18,878324
2004-06-21,573578
2004-06-22,620003
2004-06-23,614036
2004-06-24,572208
2004-06-25,385072
2004-06-28,517724
2004-06-29,511491
2004-06-30,531961
2004-07-01,686859
2004-07-02,453271
2004-07-06,705568
2004-07-07,597852
2004-07-08,667630
2004-07-09,457710
2004-07-12,635693
2004-07-13,505934
2004-07-14,883419
2004-07-15,771837
2004-07-16,1124042
2004-07-19,599463
2004-07-20,531659
2004-07-21,642570
2004-07-22,735463
2004-07-23,460356
2004-07-26,587961
2004-07-27,520685
2004-07-28,514160
2004-07-29,435720
2004-07-30,344652
2004-08-02,381474
2004-08-03,358603
2004-08-04,488441
2004-08-05,525243
2004-08-06,1042286
2004-08-09,512333
2004-08-10,622547
2004-08-11,631782
2004-08-12,695880
2004-08-13,585383
2004-08-16,532805
2004-08-17,678781
2004-08-18,816418
2004-08-19,731637
2004-08-20,1001436
2004-08-23,533040
2004-08-24,458150
2004-08-25,484308
2004-08-26,472778
2004-08-27,439606
2004-08-30,380550
2004-08-31,375877
2004-09-01,442284
2004-09-02,493922
2004-09-03,472480
2004-09-07,507845
2004-09-08,551202
2004-09-09,558939
2004-09-10,609139
2004-09-13,632576
2004-09-14,692059
2004-09-15,718152
2004-09-16,582658
2004-09-17,753552
2004-09-20,737399
2004-09-21,631199
2004-09-22,689662
2004-09-23,518122
2004-09-24,443196
2004-09-27,529476
2004-09-28,630321
2004-09-29,619402
2004-09-30,594500
2004-10-01,886252
2004-10-04,829529
2004-10-05,709061
2004-10-06,658411
2004-10-07,694062
2004-10-08,734805
2004-10-11,436159
2004-10-12,773814
2004-10-13,1079595
2004-10-14,1023708
2004-10-15,1045784
2004-10-18,627777
2004-10-19,810611
2004-10-20,702235
2004-10-21,647548
2004-10-22,536881
2004-10-25,495655
2004-10-26,566655
2004-10-27,709114
2004-10-28,560128
2004-10-29,561320
2004-11-01,564343
2004-11-02,673404
2004-11-03,846918
2004-11-04,910493
2004-11-05,785612
2004-11-08,532572
2004-11-09,596088
2004-11-10,603831
2004-11-11,700494
2004-11-12,874194
2004-11-15,710469
2004-11-16,713584
2004-11-17,947805
2004-11-18,726699
2004-11-19,1098849
2004-11-22,627011
2004-11-23,678770
2004-11-24,427012
2004-11-26,238429
2004-11-29,605727
2004-11-30,529019
2004-12-01,720657
2004-12-02,872938
2004-12-03,660400
2004-12-06,580294
2004-12-07,697405
2004-12-08,662837
2004-12-09,723012
2004-12-10,464246
2004-12-13,530421
2004-12-14,727301
2004-12-15,672798
2004-12-16,814736
2004-12-17,1037969
2004-12-20,366241
2004-12-21,620054
2004-12-22,574492
2004-12-23,376167
2004-12-27,376917
2004-12-28,387881
2004-12-29,532154
2004-12-30,402438
2004-12-31,283382
2005-01-03,610292
2005-01-04,831280
2005-01-05,824718
2005-01-06,617900
2005-01-07,840718
2005-01-10,624201
2005-01-11,741247
2005-01-12,746458
2005-01-13,799634
2005-01-14,611182
2005-01-18,946447
2005-01-19,884732
2005-01-20,1188329
2005-01-21,1243714
2005-01-24,857058
2005-01-25,779289
2005-01-26,726158
2005-01-27,681175
2005-01-28,689060
2005-01-31,615415
2005-02-01,800281
2005-02-02,635757
2005-02-03,686884
2005-02-04,729552
2005-02-07,542721
2005-02-08,632315
2005-02-09,788168
2005-02-10,743148
2005-02-11,751832
2005-02-14,616637
2005-02-15,761609
2005-02-16,804359
2005-02-17,974098
2005-02-18,1059773
2005-02-22,898840
2005-02-23,638716
2005-02-24,845580
2005-02-25,805772
2005-02-28,585529
2005-03-01,684790
2005-03-02,733041
2005-03-03,669055
2005-03-04,779672
2005-03-07,708547
2005-03-08,657505
2005-03-09,871681
2005-03-10,844582
2005-03-11,753095
2005-03-14,779659
2005-03-15,897467
2005-03-16,1249413
2005-03-17,1156936
2005-03-18,1459245
2005-03-21,760705
2005-03-22,938724
2005-03-23,862141
2005-03-24,670057
2005-03-28,502311
2005-03-29,908763
2005-03-30,717794
2005-03-31,627390
2005-04-01,915501
2005-04-04,692502
2005-04-05,702990
2005-04-06,879206
2005-04-07,658040
2005-04-08,757320
2005-04-11,748289
2005-04-12,1285030
2005-04-13,1286230
2005-04-14,1575643
2005-04-15,2396996
2005-04-18,1278178
2005-04-19,995876
2005-04-20,1015613
2005-04-21,1031423
2005-04-22,822131
2005-04-25,550397
2005-04-26,637677
2005-04-27,837921
2005-04-28,841725
2005-04-29,829160
2005-05-02,605038
2005-05-03,611144
2005-05-04,966691
2005-05-05,858764
2005-05-06,704353
2005-05-09,544147
2005-05-10,749721
2005-05-11,749922
2005-05-12,938589
2005-05-13,994556
2005-05-16,778419
2005-05-17,900669
2005-05-18,1230165
2005-05-19,1017284
2005-05-20,1213829
2005-05-23,776014
2005-05-24,590526
2005-05-25,755365
2005-05-26,644268
2005-05-27,420207
2005-05-31,649457
2005-06-01,803978
2005-06-02,632859
2005-06-03,749441
2005-06-06,605172
2005-06-07,878033
2005-06-08,705363
2005-06-09,713278
2005-06-10,625745
2005-06-13,723469
2005-06-14,767122
2005-06-15,1019985
2005-06-16,1246739
2005-06-17,1511489
2005-06-20,830839
2005-06-21,707158
2005-06-22,750022
2005-06-23,804407
2005-06-24,696983
2005-06-27,687606
2005-06-28,625551
2005-06-29,554639
2005-06-30,716570
2005-07-01,560708
2005-07-05,546300
2005-07-06,874860
2005-07-07,977510
2005-07-08,893784
2005-07-11,886167
2005-07-12,864189
2005-07-13,793669
2005-07-14,1166617
2005-07-15,1093629
2005-07-18,946155
2005-07-19,836824
2005-07-20,1023840
2005-07-21,988300
2005-07-22,617804
2005-07-25,592858
2005-07-26,730538
2005-07-27,702894
2005-07-28,747057
2005-07-29,916780
2005-08-01,657989
2005-08-02,889099
2005-08-03,789018
2005-08-04,870520
2005-08-05,998532
2005-08-08,804500
2005-08-09,776989
2005-08-10,1013004
2005-08-11,724929
2005-08-12,1156168
2005-08-15,692768
2005-08-16,1118959
2005-08-17,1171882
2005-08-18,1118998
2005-08-19,1403891
2005-08-22,900299
2005-08-23,792823
2005-08-24,750979
2005-08-25,629851
2005-08-26,802100
2005-08-29,753592
2005-08-30,862235
2005-08-31,928013
2005-09-01,896126
2005-09-02,761324
2005-09-06,869301
2005-09-07,757980
2005-09-08,781539
2005-09-09,778048
2005-09-12,995799
2005-09-13,1081466
2005-09-14,1054794
2005-09-15,1161431
2005-09-16,1362515
2005-09-19,962052
2005-09-20,1051130
2005-09-21,1320628
2005-09-22,1554319
2005-09-23,831103
2005-09-26,1100864
2005-09-27,601005
2005-09-28,694069
2005-09-29,749544
2005-09-30,753491
2005-10-03,781451
2005-10-04,817938
2005-10-05,1240276
2005-10-06,1606540
2005-10-07,907246
2005-10-10,879918
2005-10-11,1265231
2005-10-12,1732169
2005-10-13,1736845
2005-10-14,1087162
2005-10-17,965732
2005-10-18,1021115
2005-10-19,1624409
2005-10-20,1690976
2005-10-21,1772063
2005-10-24,961164
2005-10-25,955444
2005-10-26,1014574
2005-10-27,1191454
2005-10-28,820849
2005-10-31,1044310
2005-11-01,858685
2005-11-02,988239
2005-11-03,1315026
2005-11-04,839094
2005-11-07,750877
2005-11-08,666323
2005-11-09,867780
2005-11-10,952532
2005-11-11,665957
2005-11-14,925051
2005-11-15,966649
2005-11-16,964141
2005-11-17,1266296
2005-11-18,1246786
2005-11-21,1031868
2005-11-22,1276439
2005-11-23,1014998
2005-11-25,389923
2005-11-28,888761
2005-11-29,1020628
2005-11-30,694304
2005-12-01,1018709
2005-12-02,867863
2005-12-05,759511
2005-12-06,925753
2005-12-07,913338
2005-12-08,980764
2005-12-09,724729
2005-12-12,779183
2005-12-13,913399
2005-12-14,1093180
2005-12-15,1082595
2005-12-16,1542006
2005-12-19,1281212
2005-12-20,1022213
2005-12-21,761306
2005-12-22,582421
2005-12-23,399035
2005-12-27,790347
2005-12-28,532185
2005-12-29,563442
2005-12-30,631964
2006-01-03,921025
2006-01-04,911186
2006-01-05,754592
2006-01-06,1037917
2006-01-09,1111368
2006-01-10,1049439
2006-01-11,1059668
2006-01-12,1009912
2006-01-13,871862
2006-01-17,1092987
2006-01-18,1432445
2006-01-19,1769040
2006-01-20,2804347
2006-01-23,1452756
2006-01-24,1150791
2006-01-25,1289904
2006-01-26,1046100
2006-01-27,1272343
2006-01-30,858098
2006-01-31,943771
2006-02-01,1100153
2006-02-02,1179212
2006-02-03,1181378
2006-02-06,806456
2006-02-07,1163384
2006-02-08,932423
2006-02-09,1037626
2006-02-10,971049
2006-02-13,1058797
2006-02-14,1264886
2006-02-15,1280467
2006-02-16,1317809
2006-02-17,1631596
2006-02-21,1197002
2006-02-22,947775
2006-02-23,876721
2006-02-24,881133
2006-02-27,834063
2006-02-28,1196270
2006-03-01,839726
2006-03-02,1137696
2006-03-03,993888
2006-03-06,1047355
2006-03-07,1292947
2006-03-08,1249069
2006-03-09,1028510
2006-03-10,1042131
2006-03-13,908681
2006-03-14,1117925
2006-03-15,1179721
2006-03-16,1391257
2006-03-17,1584939
2006-03-20,1201606
2006-03-21,1191075
2006-03-22,1049279
2006-03-23,836797
2006-03-24,870409
2006-03-27,778661
2006-03-28,1167224
2006-03-29,905655
2006-03-30,922332
2006-03-31,822988
2006-04-03,768551
2006-04-04,925994
2006-04-05,999748
2006-04-06,1100844
2006-04-07,1129594
2006-04-10,904458
2006-04-11,1375260
2006-04-12,876935
2006-04-13,836311
2006-04-17,1051890
2006-04-18,1456879
2006-04-19,1384258
2006-04-20,1677351
2006-04-21,2294773
2006-04-24,1201194
2006-04-25,1325728
2006-04-26,1410725
2006-04-27,1293321
2006-04-28,1193418
2006-05-01,1141471
2006-05-02,1077069
2006-05-03,1149494
2006-05-04,950011
2006-05-05,1214808
2006-05-08,1160838
2006-05-09,1130012
2006-05-10,1220251
2006-05-11,1822179
2006-05-12,2349127
2006-05-15,2082127
2006-05-16,1578382
2006-05-17,3136221
2006-05-18,2396428
2006-05-19,3216314
2006-05-22,2269767
2006-05-23,1681523
2006-05-24,2244917
