date,value
2003-10-17,1885344
2003-10-21,1313782
2003-10-22,1310443
2003-10-23,1073330
2003-10-24,1321706
2003-10-27,840818
2003-10-28,1245466
2003-10-29,1280461
2003-10-30,1311348
2003-10-31,1225613
2003-11-03,1153592
2003-11-04,1100726
2003-11-05,1082809
2003-11-06,1181431
2003-11-07,1326986
2003-11-10,985702
2003-11-11,1051671
2003-11-12,1260066
2003-11-13,1282135
2003-11-14,1326744
2003-11-17,1534571
2003-11-18,1311001
2003-11-19,1455452
2003-11-20,1549960
2003-11-21,1546095
2003-11-24,1244699
2003-11-25,1119010
2003-11-26,940759
2003-11-28,456836
2003-12-01,1299915
2003-12-02,1259716
2003-12-03,1387460
2003-12-04,1171760
2003-12-05,1076240
2003-12-08,1085565
2003-12-09,1329777
2003-12-10,1351299
2003-12-11,1281980
2003-12-12,1197020
2003-12-15,1457517
2003-12-16,1370543
2003-12-17,1321648
2003-12-18,1788079
2003-12-19,1781565
2003-12-22,1269656
2003-12-23,1027124
2003-12-24,470954
2003-12-26,381249
2003-12-29,1088357
2003-12-30,1052851
2003-12-31,1434174
2004-01-02,1141230
2004-01-05,1751506
2004-01-06,1571425
2004-01-07,1605118
2004-01-08,1914237
2004-01-09,1839637
2004-01-12,1609185
2004-01-13,1822907
2004-01-14,1799216
2004-01-15,2292256
2004-01-16,2581823
2004-01-20,1800129
2004-01-21,1681720
2004-01-22,1698890
2004-01-23,1527086
2004-01-26,1164231
2004-01-27,1428490
2004-01-28,1666508
2004-01-29,1724837
2004-01-30,1270863
2004-02-02,1291215
2004-02-03,1238868
2004-02-04,1450438
2004-02-05,1332657
2004-02-06,1461061
2004-02-09,1131877
2004-02-10,1223329
2004-02-11,1523774
2004-02-12,1425103
2004-02-13,1348242
2004-02-17,1561201
2004-02-18,1592095
2004-02-19,2133358
2004-02-20,2275170
2004-02-23,1451928
2004-02-24,1439979
2004-02-25,1234263
2004-02-26,1174859
2004-02-27,1072835
2004-03-01,843836
2004-03-02,1195568
2004-03-03,1062645
2004-03-04,1145165
2004-03-05,1246121
2004-03-08,1377678
2004-03-09,1633741
2004-03-10,1795736
2004-03-11,2008143
2004-03-12,1553392
2004-03-15,1483762
2004-03-16,1615282
2004-03-17,1808664
2004-03-18,1577362
2004-03-19,1735197
2004-03-22,1707783
2004-03-23,1374888
2004-03-24,1296073
2004-03-25,1656016
2004-03-26,1033369
2004-03-29,1211496
2004-03-30,1104298
2004-03-31,1429927
2004-04-01,1386436
2004-04-02,1942837
2004-04-05,1594720
2004-04-06,1539287
2004-04-07,1227881
2004-04-08,1218690
2004-04-12,1090334
2004-04-13,1641573
2004-04-14,1551559
2004-04-15,1852114
2004-04-16,2157889
2004-04-19,1326126
2004-04-20,1511498
2004-04-21,1307074
2004-04-22,1595202
2004-04-23,1276596
2004-04-26,1025490
2004-04-27,1503871
2004-04-28,1538047
2004-04-29,1596340
2004-04-30,1605964
2004-05-03,1094824
2004-05-04,1166269
2004-05-05,1009108
2004-05-06,1225960
2004-05-07,1378141
2004-05-10,1990819
2004-05-11,1685129
2004-05-12,1798356
