date,value
2019-10-07,261136
2019-10-08,445728
2019-10-09,200325
2019-10-10,187442
2019-10-11,381250
2019-10-14,335507
2019-10-15,349685
2019-10-16,247946
2019-10-17,253390
2019-10-18,155466
2019-10-21,122608
2019-10-22,137456
2019-10-23,167406
2019-10-24,216145
2019-10-25,214279
2019-10-28,212876
2019-10-29,290465
2019-10-30,261601
2019-10-31,205112
2019-11-01,239553
2019-11-04,338898
2019-11-05,258621
2019-11-06,155918
2019-11-07,234180
2019-11-08,159822
2019-11-11,162172
2019-11-12,333963
2019-11-13,178453
2019-11-14,349322
2019-11-15,398613
2019-11-18,224419
2019-11-19,275452
2019-11-20,418428
2019-11-21,144389
2019-11-22,96206
2019-11-25,258208
2019-11-26,248298
2019-11-27,115978
2019-11-29,132060
2019-12-02,356447
2019-12-03,245090
2019-12-04,135233
2019-12-05,149839
2019-12-06,158834
2019-12-09,239453
2019-12-10,312821
2019-12-11,289116
2019-12-12,272669
2019-12-13,414987
2019-12-16,362981
2019-12-17,439191
2019-12-18,441854
2019-12-19,146812
2019-12-20,209800
2019-12-23,101267
2019-12-24,28243
2019-12-26,95890
2019-12-27,131957
2019-12-30,156707
2019-12-31,216356
2020-01-02,236858
2020-01-03,205803
2020-01-06,233274
2020-01-07,247295
2020-01-08,299586
2020-01-09,472829
2020-01-10,349291
2020-01-13,258473
2020-01-14,313338
2020-01-15,378330
2020-01-16,400263
2020-01-17,663078
2020-01-21,400038
2020-01-22,329257
2020-01-23,349685
2020-01-24,415243
2020-01-27,430980
2020-01-28,357629
2020-01-29,176833
2020-01-30,229399
2020-01-31,618934
2020-02-03,331608
2020-02-04,237363
2020-02-05,250491
2020-02-06,365413
2020-02-07,138138
2020-02-10,149164
2020-02-11,186062
2020-02-12,404800
2020-02-13,275139
2020-02-14,213660
2020-02-18,604772
2020-02-19,325031
2020-02-20,354004
2020-02-21,283042
2020-02-24,1071553
2020-02-25,1000508
2020-02-26,505199
2020-02-27,760944
2020-02-28,903120
2020-03-02,317295
2020-03-03,1230480
2020-03-04,362804
2020-03-05,1235375
2020-03-06,1240897
2020-03-09,684814
2020-03-10,591942
2020-03-11,857428
2020-03-12,788139
2020-03-13,1006291
2020-03-16,747254
