date,value
2019-10-07,5726360
2019-10-08,5769991
2019-10-09,5891774
2019-10-10,5886715
2019-10-11,5939248
2019-10-14,6067622
2019-10-15,6202619
2019-10-16,6270018
2019-10-17,3817546
2019-10-18,3951659
2019-10-21,4025260
2019-10-22,4072945
2019-10-23,4144262
2019-10-24,4126750
2019-10-25,4257480
2019-10-28,4354695
2019-10-29,4463451
2019-10-30,4612589
2019-10-31,4699196
2019-11-01,4761816
2019-11-04,4849114
2019-11-05,4933366
2019-11-06,5114326
2019-11-07,5089388
2019-11-08,5190766
2019-11-11,5290574
2019-11-12,5327552
2019-11-13,5471838
2019-11-14,5460104
2019-11-15,5639529
2019-11-18,5883629
2019-11-19,5991251
2019-11-20,6144320
2019-11-21,3955741
2019-11-22,4010559
2019-11-25,4050215
2019-11-26,4186059
2019-11-27,4260188
2019-11-29,4104992
2019-12-02,4180143
2019-12-03,4310385
2019-12-04,4282187
2019-12-05,4184069
2019-12-06,4241567
2019-12-09,4263103
2019-12-10,4334692
2019-12-11,4383474
2019-12-12,4430209
2019-12-13,4506732
2019-12-16,4665933
2019-12-17,4783317
2019-12-18,5065183
2019-12-19,2983772
2019-12-20,3043024
2019-12-23,3178166
2019-12-24,3214991
2019-12-26,3201353
2019-12-27,3223503
2019-12-30,3297938
2019-12-31,3345592
2020-01-02,3429393
2020-01-03,3598009
2020-01-06,3661645
2020-01-07,3838261
2020-01-08,3941731
2020-01-09,4100932
2020-01-10,4391320
2020-01-13,4443220
2020-01-14,4611641
2020-01-15,4725071
2020-01-16,4976033
2020-01-17,5230120
2020-01-21,5624066
2020-01-22,5795242
2020-01-23,3885398
2020-01-24,4077012
2020-01-27,4245994
2020-01-28,4351990
2020-01-29,4657467
2020-01-30,4650543
2020-01-31,4728704
2020-02-03,4900573
2020-02-04,4998101
2020-02-05,4993377
2020-02-06,4934425
2020-02-07,5089524
2020-02-10,5146478
2020-02-11,5195567
2020-02-12,5259452
2020-02-13,5407425
2020-02-14,5493412
2020-02-18,5568188
2020-02-19,5915170
2020-02-20,4033920
2020-02-21,4283769
2020-02-24,4409339
2020-02-25,4758526
2020-02-26,5022866
2020-02-27,5071096
2020-02-28,5230989
2020-03-02,5337452
2020-03-03,5363676
2020-03-04,5678552
2020-03-05,5628298
2020-03-06,6079613
2020-03-09,6242029
2020-03-10,6323141
2020-03-11,6420762
2020-03-12,6711351
2020-03-13,6667633
2020-03-16,6951861
2020-03-17,6856439
2020-03-18,6802383
2020-03-19,4414975
2020-03-20,4347822
2020-03-23,4561245
2020-03-24,4453890
2020-03-25,4703059
2020-03-26,4663113
2020-03-27,4764480
2020-03-30,4851534
2020-03-31,4912275
2020-04-01,5025189
2020-04-02,5062985
2020-04-03,5094173
2020-04-06,5185283
2020-04-07,5300133
2020-04-08,5336823
2020-04-09,5265124
2020-04-13,5357946
2020-04-14,5381853
2020-04-15,5451147
2020-04-16,3808416
2020-04-17,3867419
2020-04-20,3946432
2020-04-21,3980704
2020-04-22,4059639
2020-04-23,3991521
2020-04-24,4061248
2020-04-27,4094899
2020-04-28,4098803
2020-04-29,4141086
2020-04-30,4106787
2020-05-01,4191216
2020-05-04,4249014
2020-05-05,4326533
2020-05-06,4403373
2020-05-07,4456558
2020-05-08,4651901
2020-05-11,4774667
2020-05-12,4839667
2020-05-13,4911339
2020-05-14,4970615
2020-05-15,5053239
2020-05-18,5225800
2020-05-19,5284014
2020-05-20,5371221
2020-05-21,3378433
2020-05-22,3427741
2020-05-26,3469779
2020-05-27,3511843
2020-05-28,3505218
2020-05-29,3591186
2020-06-01,3599473
2020-06-02,3680467
2020-06-03,3685900
2020-06-04,3717710
2020-06-05,3746994
2020-06-08,3770659
2020-06-09,3829443
2020-06-10,3903039
2020-06-11,3945962
2020-06-12,4004720
2020-06-15,4120937
2020-06-16,4073743
2020-06-17,4095718
2020-06-18,2727012
2020-06-19,2779134
2020-06-22,2806458
2020-06-23,2856060
2020-06-24,2890795
2020-06-25,2908216
2020-06-26,2945328
2020-06-29,2977536
2020-06-30,3005122
2020-07-01,3108360
2020-07-02,3129292
2020-07-06,3194455
2020-07-07,3212615
2020-07-08,3268254
2020-07-09,3305725
2020-07-10,3360105
2020-07-13,3432746
2020-07-14,3490786
2020-07-15,3533243
2020-07-16,3555259
2020-07-17,3591826
2020-07-20,3807565
2020-07-21,3865447
2020-07-22,3951724
2020-07-23,2432047
2020-07-24,2443031
2020-07-27,2485388
2020-07-28,2502321
2020-07-29,2544592
2020-07-30,2557272
2020-07-31,2566927
2020-08-03,2598173
2020-08-04,2672326
2020-08-05,2693603
2020-08-06,2725948
2020-08-07,2768010
2020-08-10,2867379
2020-08-11,2968834
2020-08-12,3049078
2020-08-13,3103119
2020-08-14,3170706
2020-08-17,3278380
2020-08-18,3374324
2020-08-19,3533741
2020-08-20,2499193
