date,value
2019-10-07,1872091
2019-10-08,1889596
2019-10-09,1981981
2019-10-10,2012155
2019-10-11,2048258
2019-10-14,2103429
2019-10-15,2196009
2019-10-16,2206536
2019-10-17,1328381
2019-10-18,1347486
2019-10-21,1380971
2019-10-22,1390816
2019-10-23,1443800
2019-10-24,1444313
2019-10-25,1461465
2019-10-28,1476049
2019-10-29,1513940
2019-10-30,1539334
2019-10-31,1694413
2019-11-01,1821627
2019-11-04,1885716
2019-11-05,1911797
2019-11-06,1977039
2019-11-07,2098789
2019-11-08,2149165
2019-11-11,2189207
2019-11-12,2223644
2019-11-13,2241752
2019-11-14,2236259
2019-11-15,2315111
2019-11-18,2457743
2019-11-19,2516305
2019-11-20,2719537
2019-11-21,2051779
2019-11-22,1993091
2019-11-25,2113262
2019-11-26,2208051
2019-11-27,2237256
2019-11-29,2254404
2019-12-02,2261240
2019-12-03,2411155
2019-12-04,2416845
2019-12-05,2451874
2019-12-06,2503703
2019-12-09,2516730
2019-12-10,2574713
2019-12-11,2690171
2019-12-12,2898985
2019-12-13,2946255
2019-12-16,3154692
2019-12-17,2972072
2019-12-18,2827252
2019-12-19,1374776
2019-12-20,1378755
2019-12-23,1427996
2019-12-24,1437531
2019-12-26,1433543
2019-12-27,1445876
2019-12-30,1498037
2019-12-31,1549300
2020-01-02,1611078
2020-01-03,1680045
2020-01-06,1718305
2020-01-07,1751966
2020-01-08,1821911
2020-01-09,1850385
2020-01-10,1888520
2020-01-13,1983639
2020-01-14,2012982
2020-01-15,2025506
2020-01-16,2035247
2020-01-17,2036837
2020-01-21,2060018
2020-01-22,2116882
2020-01-23,1430367
2020-01-24,1491673
2020-01-27,1651074
2020-01-28,1729779
2020-01-29,1811323
2020-01-30,1834805
2020-01-31,1888985
2020-02-03,1986001
2020-02-04,2046383
2020-02-05,2094993
2020-02-06,2085759
2020-02-07,2149365
2020-02-10,2142861
2020-02-11,2161012
2020-02-12,2185132
2020-02-13,2197489
2020-02-14,2231200
2020-02-18,2236382
2020-02-19,2288879
2020-02-20,1184220
2020-02-21,1274913
2020-02-24,1356007
2020-02-25,1610517
2020-02-26,1842396
2020-02-27,2010317
2020-02-28,2355434
2020-03-02,2707709
2020-03-03,3282035
2020-03-04,3573691
2020-03-05,3686397
2020-03-06,3991685
2020-03-09,4789568
2020-03-10,6046776
2020-03-11,6399031
2020-03-12,7042289
2020-03-13,7679387
2020-03-16,8228581
2020-03-17,8464819
2020-03-18,8647895
2020-03-19,4731208
2020-03-20,4988923
2020-03-23,5332734
2020-03-24,5436534
2020-03-25,5453698
2020-03-26,5282179
2020-03-27,5353214
2020-03-30,5434181
2020-03-31,5453578
2020-04-01,5495527
2020-04-02,5145985
2020-04-03,5204667
2020-04-06,5256961
2020-04-07,5376844
2020-04-08,5420418
2020-04-09,5253428
2020-04-13,5292699
2020-04-14,5310864
2020-04-15,5355327
2020-04-16,3376095
2020-04-17,3427288
2020-04-20,3464315
2020-04-21,3519088
2020-04-22,3581282
2020-04-23,3524160
2020-04-24,3599699
2020-04-27,3711581
2020-04-28,3811934
2020-04-29,3930208
2020-04-30,4022773
2020-05-01,4062244
2020-05-04,4141815
2020-05-05,4164966
2020-05-06,4177354
2020-05-07,4151367
2020-05-08,4188434
2020-05-11,4273291
2020-05-12,4257418
