date,value
2019-10-07,7598451
2019-10-08,7659587
2019-10-09,7873755
2019-10-10,7898870
2019-10-11,7987506
2019-10-14,8171051
2019-10-15,8398628
2019-10-16,8476554
2019-10-17,5145927
2019-10-18,5299145
2019-10-21,5406231
2019-10-22,5463761
2019-10-23,5588062
2019-10-24,5571063
2019-10-25,5718945
2019-10-28,5830744
2019-10-29,5977391
2019-10-30,6151923
2019-10-31,6393609
2019-11-01,6583443
2019-11-04,6734830
2019-11-05,6845163
2019-11-06,7091365
2019-11-07,7188177
2019-11-08,7339931
2019-11-11,7479781
2019-11-12,7551196
2019-11-13,7713590
2019-11-14,7696363
2019-11-15,7954640
2019-11-18,8341372
2019-11-19,8507556
2019-11-20,8863857
2019-11-21,6007520
2019-11-22,6003650
2019-11-25,6163477
2019-11-26,6394110
2019-11-27,6497444
2019-11-29,6359396
2019-12-02,6441383
2019-12-03,6721540
2019-12-04,6699032
2019-12-05,6635943
2019-12-06,6745270
2019-12-09,6779833
2019-12-10,6909405
2019-12-11,7073645
2019-12-12,7329194
2019-12-13,7452987
2019-12-16,7820625
2019-12-17,7755389
2019-12-18,7892435
2019-12-19,4358548
2019-12-20,4421779
2019-12-23,4606162
2019-12-24,4652522
2019-12-26,4634896
2019-12-27,4669379
2019-12-30,4795975
2019-12-31,4894892
2020-01-02,5040471
2020-01-03,5278054
2020-01-06,5379950
2020-01-07,5590227
2020-01-08,5763642
2020-01-09,5951317
2020-01-10,6279840
2020-01-13,6426859
2020-01-14,6624623
2020-01-15,6750577
2020-01-16,7011280
2020-01-17,7266957
2020-01-21,7684084
2020-01-22,7912124
2020-01-23,5315765
2020-01-24,5568685
2020-01-27,5897068
2020-01-28,6081769
2020-01-29,6468790
2020-01-30,6485348
2020-01-31,6617689
2020-02-03,6886574
2020-02-04,7044484
2020-02-05,7088370
2020-02-06,7020184
2020-02-07,7238889
2020-02-10,7289339
2020-02-11,7356579
2020-02-12,7444584
2020-02-13,7604914
2020-02-14,7724612
2020-02-18,7804570
2020-02-19,8204049
2020-02-20,5218140
2020-02-21,5558682
2020-02-24,5765346
2020-02-25,6369043
2020-02-26,6865262
2020-02-27,7081413
2020-02-28,7586423
2020-03-02,8045161
2020-03-03,8645711
2020-03-04,9252243
2020-03-05,9314695
2020-03-06,10071298
2020-03-09,11031597
2020-03-10,12369917
2020-03-11,12819793
2020-03-12,13753640
2020-03-13,14347020
2020-03-16,15180442
2020-03-17,15321258
2020-03-18,15450278
2020-03-19,9146183
2020-03-20,9336745
2020-03-23,9893979
2020-03-24,9890424
2020-03-25,10156757
2020-03-26,9945292
2020-03-27,10117694
2020-03-30,10285715
2020-03-31,10365853
2020-04-01,10520716
2020-04-02,10208970
2020-04-03,10298840
2020-04-06,10442244
2020-04-07,10676977
2020-04-08,10757241
2020-04-09,10518552
2020-04-13,10650645
2020-04-14,10692717
2020-04-15,10806474
2020-04-16,7184511
2020-04-17,7294707
2020-04-20,7410747
2020-04-21,7499792
2020-04-22,7640921
2020-04-23,7515681
2020-04-24,7660947
2020-04-27,7806480
2020-04-28,7910737
2020-04-29,8071294
2020-04-30,8129560
2020-05-01,8253460
2020-05-04,8390829
2020-05-05,8491499
2020-05-06,8580727
2020-05-07,8607925
2020-05-08,8840335
2020-05-11,9047958
2020-05-12,9097085
2020-05-13,9125828
2020-05-14,9255133
2020-05-15,9410845
2020-05-18,9601660
2020-05-19,9678928
2020-05-20,9770308
2020-05-21,6240895
2020-05-22,6398665
2020-05-26,6475420
2020-05-27,6553228
2020-05-28,6568337
2020-05-29,6702127
2020-06-01,6740535
2020-06-02,6856589
2020-06-03,6966860
2020-06-04,7029291
2020-06-05,7111269
2020-06-08,7205146
2020-06-09,7322252
2020-06-10,7493966
2020-06-11,7573153
2020-06-12,7719691
2020-06-15,7946538
2020-06-16,7951824
2020-06-17,8033247
2020-06-18,5157471
2020-06-19,5249299
2020-06-22,5309775
2020-06-23,5452140
2020-06-24,5513240
2020-06-25,5592364
2020-06-26,5664353
2020-06-29,5745532
2020-06-30,5815455
2020-07-01,5929490
2020-07-02,5964745
2020-07-06,6126382
2020-07-07,6177375
2020-07-08,6186449
2020-07-09,6254500
2020-07-10,6335935
2020-07-13,6485603
2020-07-14,6578468
2020-07-15,6662826
2020-07-16,6680613
2020-07-17,6784338
2020-07-20,7094504
2020-07-21,7255863
2020-07-22,7364040
2020-07-23,4633416
2020-07-24,4725819
2020-07-27,4837853
2020-07-28,4845693
2020-07-29,4908618
2020-07-30,4940005
2020-07-31,5017749
2020-08-03,5062385
2020-08-04,5164489
2020-08-05,5204583
2020-08-06,5262509
2020-08-07,5328606
2020-08-10,5511289
2020-08-11,5649475
2020-08-12,5720814
2020-08-13,5777141
2020-08-14,5857212
2020-08-17,5962950
2020-08-18,6086834
2020-08-19,6276666
2020-08-20,4256130
2020-08-21,4389917
2020-08-24,4580492
2020-08-25,4693187
2020-08-26,4810863
2020-08-27,4823291
2020-08-28,4951737
2020-08-31,4996831
2020-09-01,5078062
2020-09-02,5152861
2020-09-03,5266052
2020-09-04,5492121
2020-09-08,5652119
2020-09-09,5853909
2020-09-10,5885270
2020-09-11,5959182
2020-09-14,6060266
2020-09-15,6121664
2020-09-16,6174604
2020-09-17,4226652
2020-09-18,4368134
2020-09-21,4445109
2020-09-22,4510055
2020-09-23,4598117
2020-09-24,4688836
2020-09-25,4720705
2020-09-28,4838326
2020-09-29,4918194
2020-09-30,5080723
2020-10-01,5213327
2020-10-02,5399555
2020-10-05,5572279
2020-10-06,5763742
2020-10-07,5937433
2020-10-08,6040094
2020-10-09,6182731
2020-10-12,6443756
2020-10-13,6465604
2020-10-14,6531004
2020-10-15,6637486
2020-10-16,6777883
2020-10-19,7207862
2020-10-20,7330747
2020-10-21,7637935
2020-10-22,5984699
2020-10-23,6158296
2020-10-26,6329887
2020-10-27,6528176
2020-10-28,6716189
2020-10-29,6870195
2020-10-30,6995942
2020-11-02,7262464
2020-11-03,7463567
2020-11-04,7728323
2020-11-05,7679498
2020-11-06,7810157
2020-11-09,7934398
2020-11-10,8062465
2020-11-11,8247403
2020-11-12,8272685
2020-11-13,8224953
2020-11-16,8293810
2020-11-17,8403988
2020-11-18,8788702
2020-11-19,6288685
2020-11-20,6526627
2020-11-23,6636106
2020-11-24,6675542
2020-11-25,6780954
2020-11-27,6825293
2020-11-30,6892990
2020-12-01,6958678
2020-12-02,7029705
2020-12-03,7243015
2020-12-04,7333224
2020-12-07,7377986
2020-12-08,7461626
2020-12-09,7514350
2020-12-10,7497957
2020-12-11,7672689
2020-12-14,7730561
2020-12-15,7833474
2020-12-16,8056158
2020-12-17,5116026
2020-12-18,5231894
2020-12-21,5358420
2020-12-22,5531312
2020-12-23,5670213
2020-12-24,5821605
2020-12-28,5870442
2020-12-29,5914811
2020-12-30,6020342
2020-12-31,6032995
2021-01-04,6234304
2021-01-05,6579942
2021-01-06,6953418
2021-01-07,7174672
2021-01-08,7411472
2021-01-11,7643945
2021-01-12,7704058
2021-01-13,7884620
2021-01-14,7971395
2021-01-15,8375614
2021-01-19,8372573
2021-01-20,8554921
2021-01-21,6057431
2021-01-22,6193739
2021-01-25,6354774
2021-01-26,6533358
2021-01-27,6724815
2021-01-28,7066942
2021-01-29,7488831
2021-02-01,7902882
2021-02-02,8013222
2021-02-03,8167953
2021-02-04,8195581
2021-02-05,8453097
2021-02-08,8586593
2021-02-09,8687859
2021-02-10,9025578
2021-02-11,9226275
2021-02-12,9578358
2021-02-16,10069851
2021-02-17,10471025
2021-02-18,7162566
2021-02-19,7368533
2021-02-22,7578566
2021-02-23,7662354
2021-02-24,7762375
2021-02-25,8043342
2021-02-26,8302585
2021-03-01,8551712
2021-03-02,8694463
2021-03-03,8708565
2021-03-04,8764857
2021-03-05,9028940
2021-03-08,9127715
2021-03-09,9205046
2021-03-10,9195408
2021-03-11,9270412
2021-03-12,9358730
2021-03-15,9511777
2021-03-16,9833989
2021-03-17,10085627
2021-03-18,6662949
2021-03-19,6815672
2021-03-22,6996968
2021-03-23,7060204
2021-03-24,7294578
2021-03-25,7332242
2021-03-26,7442904
2021-03-29,7576214
2021-03-30,7683315
2021-03-31,7745372
2021-04-01,7739681
2021-04-05,7784118
2021-04-06,7847108
2021-04-07,7948111
2021-04-08,8118889
2021-04-09,8960389
2021-04-12,9179453
2021-04-13,9283060
2021-04-14,9507116
2021-04-15,9661659
2021-04-16,9809352
2021-04-19,10043180
2021-04-20,10113908
2021-04-21,10379437
2021-04-22,7042700
2021-04-23,7134468
2021-04-26,7324055
2021-04-27,7379574
2021-04-28,7422522
2021-04-29,7529779
2021-04-30,7672509
2021-05-03,7772922
2021-05-04,7903042
2021-05-05,8059657
2021-05-06,8064884
2021-05-07,8218614
2021-05-10,8316655
2021-05-11,8628870
2021-05-12,9086053
2021-05-13,9585695
2021-05-14,9690355
2021-05-17,9928615
2021-05-18,10138660
2021-05-19,10490340
2021-05-20,7858316
2021-05-21,8050965
2021-05-24,8148128
2021-05-25,8193273
2021-05-26,8221292
2021-05-27,8268403
2021-05-28,8454795
2021-06-01,8601525
2021-06-02,8736371
2021-06-03,8803803
2021-06-04,8903526
2021-06-07,9111066
2021-06-08,9199757
2021-06-09,9335525
2021-06-10,9407904
2021-06-11,9615182
2021-06-14,9716561
2021-06-15,9743539
2021-06-16,9949532
2021-06-17,6831202
2021-06-18,7108338
2021-06-21,7237516
2021-06-22,7337344
2021-06-23,7444793
2021-06-24,7583905
2021-06-25,7771223
2021-06-28,7944563
2021-06-29,7973040
2021-06-30,8050729
2021-07-01,8106457
2021-07-02,8426370
2021-07-06,8297730
2021-07-07,8509531
2021-07-08,8507127
2021-07-09,8531653
2021-07-12,8701945
2021-07-13,8729350
2021-07-14,8783058
2021-07-15,8782873
2021-07-16,8877908
2021-07-19,9120484
2021-07-20,9362800
2021-07-21,9475360
2021-07-22,6182066
2021-07-23,6296165
2021-07-26,6407623
2021-07-27,6445516
2021-07-28,6566088
2021-07-29,6605625
2021-07-30,6704362
2021-08-02,6856451
2021-08-03,6982489
2021-08-04,7121481
2021-08-05,7152818
2021-08-06,7200542
2021-08-09,7341341
2021-08-10,7455445
2021-08-11,7615519
2021-08-12,7829674
2021-08-13,8005172
2021-08-16,8264441
2021-08-17,8344511
2021-08-18,8604399
2021-08-19,6205363
2021-08-20,6447396
2021-08-23,6474917
2021-08-24,6531979
