date,value
2019-10-07,43027
2019-10-08,247925
2019-10-09,69473
2019-10-10,136257
2019-10-11,428126
2019-10-14,308027
2019-10-15,398312
2019-10-16,126487
2019-10-17,87938
2019-10-18,53445
2019-10-21,44941
2019-10-22,72604
2019-10-23,18435
2019-10-24,38328
2019-10-25,94405
2019-10-28,104411
2019-10-29,49659
2019-10-30,257848
2019-10-31,162484
2019-11-01,125896
2019-11-04,52972
2019-11-05,112013
2019-11-06,181789
2019-11-07,133447
2019-11-08,103326
2019-11-11,77531
2019-11-12,145308
2019-11-13,125588
2019-11-14,131029
2019-11-15,352861
2019-11-18,180059
2019-11-19,544556
2019-11-20,257684
2019-11-21,151777
2019-11-22,157004
2019-11-25,121508
2019-11-26,76812
2019-11-27,41141
2019-11-29,14097
2019-12-02,218055
2019-12-03,221849
2019-12-04,124754
2019-12-05,79056
2019-12-06,89299
2019-12-09,188002
2019-12-10,222780
2019-12-11,414659
2019-12-12,199491
2019-12-13,822611
2019-12-16,510803
2019-12-17,163339
2019-12-18,201146
2019-12-19,78267
2019-12-20,132696
2019-12-23,22634
2019-12-24,13112
2019-12-26,26561
2019-12-27,74971
2019-12-30,157786
2019-12-31,162840
2020-01-02,113441
2020-01-03,110877
2020-01-06,107560
2020-01-07,98371
2020-01-08,84484
2020-01-09,116083
2020-01-10,234593
2020-01-13,92561
2020-01-14,139352
2020-01-15,63906
2020-01-16,73012
2020-01-17,163505
2020-01-21,241443
2020-01-22,124253
2020-01-23,102312
2020-01-24,339750
2020-01-27,224372
2020-01-28,114033
2020-01-29,109974
2020-01-30,96321
2020-01-31,283189
2020-02-03,109635
2020-02-04,140464
2020-02-05,105098
2020-02-06,193876
2020-02-07,74173
2020-02-10,82128
2020-02-11,128046
2020-02-12,94165
2020-02-13,107461
2020-02-14,89770
2020-02-18,291430
2020-02-19,107527
2020-02-20,171911
2020-02-21,240178
2020-02-24,476434
2020-02-25,546372
2020-02-26,374881
2020-02-27,548603
2020-02-28,582655
2020-03-02,790808
2020-03-03,480843
2020-03-04,270544
2020-03-05,479239
2020-03-06,1089532
2020-03-09,1579958
2020-03-10,685924
2020-03-11,940077
2020-03-12,924061
2020-03-13,1048878
2020-03-16,610014
2020-03-17,405034
2020-03-18,424092
2020-03-19,363987
2020-03-20,541477
2020-03-23,556188
2020-03-24,403771
2020-03-25,244995
2020-03-26,174626
2020-03-27,275665
2020-03-30,289644
2020-03-31,313467
2020-04-01,162139
2020-04-02,142387
2020-04-03,139786
2020-04-06,285848
2020-04-07,238019
2020-04-08,171326
2020-04-09,196412
2020-04-13,153345
2020-04-14,416094
2020-04-15,143607
2020-04-16,89210
2020-04-17,117582
2020-04-20,114379
2020-04-21,145732
2020-04-22,61856
2020-04-23,97990
2020-04-24,217179
2020-04-27,304813
2020-04-28,188547
2020-04-29,235614
2020-04-30,87797
2020-05-01,129762
2020-05-04,79881
2020-05-05,85506
2020-05-06,53849
2020-05-07,117271
2020-05-08,186726
2020-05-11,236180
2020-05-12,184343
2020-05-13,287905
2020-05-14,192128
2020-05-15,123811
2020-05-18,162167
2020-05-19,267569
2020-05-20,236026
2020-05-21,171484
2020-05-22,46886
2020-05-26,84709
2020-05-27,99603
2020-05-28,121431
2020-05-29,113032
2020-06-01,80573
2020-06-02,221552
2020-06-03,229840
2020-06-04,143471
2020-06-05,235767
2020-06-08,195054
2020-06-09,206661
2020-06-10,140626
2020-06-11,355990
2020-06-12,467601
2020-06-15,246777
2020-06-16,201456
2020-06-17,186784
2020-06-18,86904
2020-06-19,87370
2020-06-22,165007
2020-06-23,87846
2020-06-24,145362
2020-06-25,191535
2020-06-26,146808
2020-06-29,199242
2020-06-30,101428
2020-07-01,197841
2020-07-02,138506
2020-07-06,116898
2020-07-07,232707
2020-07-08,131440
2020-07-09,113490
2020-07-10,232297
2020-07-13,145787
2020-07-14,125423
2020-07-15,91324
2020-07-16,164040
2020-07-17,307989
2020-07-20,337319
2020-07-21,367975
2020-07-22,89724
2020-07-23,132985
2020-07-24,135547
2020-07-27,35670
2020-07-28,122216
2020-07-29,90452
2020-07-30,125700
2020-07-31,77654
2020-08-03,61526
2020-08-04,68729
2020-08-05,153828
2020-08-06,45940
2020-08-07,162767
2020-08-10,106983
2020-08-11,166429
2020-08-12,163538
2020-08-13,129706
2020-08-14,119622
2020-08-17,205894
2020-08-18,275829
2020-08-19,157641
2020-08-20,135526
2020-08-21,50458
2020-08-24,61184
2020-08-25,107813
2020-08-26,172390
2020-08-27,195930
2020-08-28,246524
2020-08-31,123135
2020-09-01,104064
2020-09-02,143428
2020-09-03,271034
2020-09-04,217228
2020-09-08,191244
2020-09-09,155776
2020-09-10,111391
2020-09-11,259133
2020-09-14,190765
2020-09-15,163712
2020-09-16,103903
2020-09-17,121223
2020-09-18,103100
2020-09-21,201227
2020-09-22,101673
2020-09-23,153300
2020-09-24,145894
2020-09-25,162705
2020-09-28,78328
2020-09-29,169759
2020-09-30,198530
2020-10-01,224460
2020-10-02,253883
2020-10-05,190948
2020-10-06,280008
2020-10-07,215821
2020-10-08,265888
2020-10-09,567722
2020-10-12,131094
2020-10-13,226794
2020-10-14,133572
2020-10-15,237840
2020-10-16,529122
2020-10-19,164023
2020-10-20,393810
2020-10-21,277922
2020-10-22,237166
2020-10-23,177856
2020-10-26,538101
2020-10-27,248354
2020-10-28,474317
2020-10-29,356732
2020-10-30,341533
2020-11-02,370301
2020-11-03,508624
2020-11-04,633320
2020-11-05,234007
2020-11-06,442730
2020-11-09,526343
2020-11-10,280034
2020-11-11,310855
2020-11-12,285724
2020-11-13,185777
2020-11-16,327416
2020-11-17,565507
2020-11-18,145892
2020-11-19,184502
2020-11-20,192201
2020-11-23,47196
2020-11-24,162130
2020-11-25,195404
2020-11-27,206716
2020-11-30,162040
2020-12-01,283086
2020-12-02,202366
2020-12-03,236599
2020-12-04,186251
2020-12-07,134123
2020-12-08,146431
2020-12-09,246501
2020-12-10,153705
2020-12-11,267154
2020-12-14,174895
2020-12-15,569873
2020-12-16,148860
2020-12-17,140716
2020-12-18,117751
2020-12-21,168221
2020-12-22,107458
2020-12-23,321459
2020-12-24,54741
2020-12-28,78988
2020-12-29,130934
2020-12-30,123987
2020-12-31,84400
2021-01-04,325126
2021-01-05,242508
2021-01-06,540858
2021-01-07,190789
2021-01-08,265724
2021-01-11,142267
2021-01-12,224806
2021-01-13,222648
2021-01-14,454600
2021-01-15,298057
2021-01-19,247798
2021-01-20,214250
2021-01-21,221522
2021-01-22,87340
2021-01-25,249732
2021-01-26,258229
2021-01-27,492193
2021-01-28,706943
2021-01-29,441763
2021-02-01,410458
2021-02-02,400620
2021-02-03,202321
2021-02-04,292972
2021-02-05,205364
2021-02-08,186642
2021-02-09,326617
2021-02-10,412874
2021-02-11,516508
2021-02-12,684541
2021-02-16,612027
2021-02-17,352913
2021-02-18,198707
2021-02-19,230422
2021-02-22,102063
2021-02-23,181679
2021-02-24,380391
2021-02-25,362746
2021-02-26,321480
2021-03-01,251146
2021-03-02,194787
2021-03-03,184654
2021-03-04,394114
2021-03-05,233619
2021-03-08,131196
2021-03-09,531985
2021-03-10,271482
2021-03-11,247080
2021-03-12,237720
2021-03-15,509793
2021-03-16,610899
2021-03-17,156996
2021-03-18,161893
2021-03-19,196449
2021-03-22,218832
2021-03-23,262198
2021-03-24,165870
2021-03-25,221453
2021-03-26,140119
2021-03-29,140255
2021-03-30,199457
2021-03-31,92056
2021-04-01,215934
2021-04-05,197232
2021-04-06,118933
2021-04-07,262422
2021-04-08,446705
2021-04-09,151366
2021-04-12,86344
2021-04-13,237061
2021-04-14,300601
2021-04-15,341256
2021-04-16,432271
2021-04-19,250400
2021-04-20,294946
2021-04-21,142537
2021-04-22,105128
2021-04-23,90235
2021-04-26,82685
2021-04-27,148567
2021-04-28,203205
2021-04-29,157829
2021-04-30,87924
2021-05-03,62357
2021-05-04,204515
2021-05-05,98651
2021-05-06,131877
2021-05-07,126273
2021-05-10,174353
2021-05-11,408319
2021-05-12,557839
2021-05-13,360379
2021-05-14,438784
2021-05-17,249318
2021-05-18,351795
2021-05-19,501893
2021-05-20,186913
2021-05-21,179475
2021-05-24,178266
2021-05-25,104561
2021-05-26,306772
2021-05-27,372788
2021-05-28,136247
