date,value
2019-10-07,304163
2019-10-08,693653
2019-10-09,269798
2019-10-10,323699
2019-10-11,809376
2019-10-14,643534
2019-10-15,747997
2019-10-16,374433
2019-10-17,341328
2019-10-18,208911
2019-10-21,167549
2019-10-22,210060
2019-10-23,185841
2019-10-24,254473
2019-10-25,308684
2019-10-28,317287
2019-10-29,340124
2019-10-30,519449
2019-10-31,367596
2019-11-01,365449
2019-11-04,391870
2019-11-05,370634
2019-11-06,337707
2019-11-07,367627
2019-11-08,263148
2019-11-11,239703
2019-11-12,479271
2019-11-13,304041
2019-11-14,480351
2019-11-15,751474
2019-11-18,404478
2019-11-19,820008
2019-11-20,676112
2019-11-21,296166
2019-11-22,253210
2019-11-25,379716
2019-11-26,325110
2019-11-27,157119
2019-11-29,146157
2019-12-02,574502
2019-12-03,466939
2019-12-04,259987
2019-12-05,228895
2019-12-06,248133
2019-12-09,427455
2019-12-10,535601
2019-12-11,703775
2019-12-12,472160
2019-12-13,1237598
2019-12-16,873784
2019-12-17,602530
2019-12-18,643000
2019-12-19,225079
2019-12-20,342496
2019-12-23,123901
2019-12-24,41355
2019-12-26,122451
2019-12-27,206928
2019-12-30,314493
2019-12-31,379196
2020-01-02,350299
2020-01-03,316680
2020-01-06,340834
2020-01-07,345666
2020-01-08,384070
2020-01-09,588912
2020-01-10,583884
2020-01-13,351034
2020-01-14,452690
2020-01-15,442236
2020-01-16,473275
2020-01-17,826583
2020-01-21,641481
2020-01-22,453510
2020-01-23,451997
2020-01-24,754993
2020-01-27,655352
2020-01-28,471662
2020-01-29,286807
2020-01-30,325720
2020-01-31,902123
2020-02-03,441243
2020-02-04,377827
2020-02-05,355589
2020-02-06,559289
2020-02-07,212311
2020-02-10,231292
2020-02-11,314108
2020-02-12,498965
2020-02-13,382600
2020-02-14,303430
2020-02-18,896202
2020-02-19,432558
2020-02-20,525915
2020-02-21,523220
2020-02-24,1547987
2020-02-25,1546880
2020-02-26,880080
2020-02-27,1309547
2020-02-28,1485775
2020-03-02,1108103
2020-03-03,1711323
2020-03-04,633348
2020-03-05,1714614
2020-03-06,2330429
2020-03-09,2264772
2020-03-10,1277866
2020-03-11,1797505
2020-03-12,1712200
2020-03-13,2055169
2020-03-16,1357268
2020-03-17,1549467
2020-03-18,1030431
2020-03-19,630034
2020-03-20,877238
2020-03-23,764172
2020-03-24,807516
2020-03-25,514502
2020-03-26,356107
2020-03-27,504563
2020-03-30,423605
2020-03-31,554523
2020-04-01,304774
2020-04-02,230296
2020-04-03,351100
2020-04-06,536473
2020-04-07,380770
2020-04-08,325232
2020-04-09,439073
2020-04-13,314831
2020-04-14,648754
2020-04-15,461199
2020-04-16,195115
2020-04-17,266939
2020-04-20,215870
2020-04-21,317210
2020-04-22,130262
2020-04-23,249760
2020-04-24,323087
2020-04-27,461360
2020-04-28,295598
2020-04-29,343190
2020-04-30,217500
2020-05-01,273692
2020-05-04,222559
2020-05-05,249683
2020-05-06,199379
2020-05-07,395276
2020-05-08,382140
2020-05-11,421583
2020-05-12,387272
2020-05-13,612344
2020-05-14,443093
2020-05-15,579677
2020-05-18,390069
2020-05-19,545647
2020-05-20,454117
2020-05-21,276507
2020-05-22,146726
2020-05-26,334053
2020-05-27,223827
2020-05-28,308644
2020-05-29,193827
2020-06-01,202292
2020-06-02,380766
2020-06-03,464434
2020-06-04,240832
2020-06-05,351507
2020-06-08,320229
2020-06-09,372416
2020-06-10,267652
2020-06-11,964058
2020-06-12,1341374
2020-06-15,584275
2020-06-16,510104
2020-06-17,492774
2020-06-18,178584
2020-06-19,169285
2020-06-22,378154
2020-06-23,218412
2020-06-24,288716
2020-06-25,284476
2020-06-26,303426
2020-06-29,315675
2020-06-30,359075
2020-07-01,291270
2020-07-02,265200
2020-07-06,386940
2020-07-07,370681
2020-07-08,238255
2020-07-09,277231
2020-07-10,394564
2020-07-13,356974
2020-07-14,274208
2020-07-15,261303
2020-07-16,298138
2020-07-17,697978
2020-07-20,541728
2020-07-21,723476
2020-07-22,192164
2020-07-23,275396
2020-07-24,244316
2020-07-27,200660
2020-07-28,206531
2020-07-29,197412
2020-07-30,269680
2020-07-31,198528
2020-08-03,253012
2020-08-04,264600
2020-08-05,389454
2020-08-06,170200
2020-08-07,460317
2020-08-10,225294
2020-08-11,362539
2020-08-12,316996
2020-08-13,275033
2020-08-14,309897
2020-08-17,347447
2020-08-18,652536
2020-08-19,476553
2020-08-20,321682
2020-08-21,233215
2020-08-24,214839
2020-08-25,200716
2020-08-26,421536
2020-08-27,575781
2020-08-28,518146
2020-08-31,283807
2020-09-01,396087
2020-09-02,393266
2020-09-03,946618
2020-09-04,560460
2020-09-08,458407
2020-09-09,396316
2020-09-10,303522
2020-09-11,485173
2020-09-14,354721
2020-09-15,465344
2020-09-16,272758
2020-09-17,232115
2020-09-18,206814
2020-09-21,317797
2020-09-22,172092
2020-09-23,318687
2020-09-24,218511
2020-09-25,275756
2020-09-28,174736
2020-09-29,305783
2020-09-30,397256
2020-10-01,444815
2020-10-02,424304
2020-10-05,378037
2020-10-06,449611
2020-10-07,396616
2020-10-08,353939
2020-10-09,842721
2020-10-12,356018
2020-10-13,350260
2020-10-14,378770
2020-10-15,499143
2020-10-16,681149
2020-10-19,330296
2020-10-20,634366
2020-10-21,469688
2020-10-22,362879
2020-10-23,244850
2020-10-26,719946
2020-10-27,417061
2020-10-28,757799
2020-10-29,672970
2020-10-30,663157
2020-11-02,579056
