date,api_scha,api_scaf,api_sc,api_scmv,api_htm_unrealized,api_bank_count
1994-03-31,606977.2,542103.8,1149077.0,925473.8,-223607.3,13232
1994-06-30,630796.2,513675.4,1144422.8,912849.5,-231622.1,13057
1994-09-30,650087.6,485743.3,1135830.9,901976.6,-233854.3,12884
1994-12-31,644132.1,471206.1,1115338.2,878225.5,-237112.6,12710
1995-03-31,636749.9,464280.5,1101030.4,878418.1,-222612.3,12464
1995-06-30,628785.8,468477.9,1097263.7,882329.3,-214934.4,12356
1995-09-30,614056.8,496872.7,1110929.5,902878.5,-208051.1,12218
1995-12-31,312406.5,789003.5,1101410.1,895052.1,-206358.0,12078
1996-03-31,314675.2,777977.6,1092652.9,892910.2,-199742.6,11954
1996-06-30,317121.2,770830.7,1087951.9,885811.5,-202140.4,11775
1996-09-30,311822.3,761972.5,1073794.9,878160.3,-195634.6,11656
1996-12-31,299628.9,765613.8,1065160.7,880326.9,-184915.8,11562
1997-03-31,291070.7,783222.7,1074293.4,891467.3,-182826.2,11457
1997-06-30,282480.9,799666.2,1082147.1,901555.6,-180591.5,11286
1997-09-30,277243.3,809040.4,1086283.7,915612.6,-170671.1,11155
1997-12-31,267275.9,856551.9,1123827.8,950526.8,-173300.9,11047
1998-03-31,258055.0,902354.0,1160409.0,990974.3,-169434.7,10909
1998-06-30,255871.1,895995.0,1151866.1,978691.2,-173174.9,10841
1998-09-30,247750.0,933391.7,1181141.7,1004965.2,-176176.5,10748
1998-12-31,238283.1,1014235.8,1252518.9,1065645.9,-186873.0,10585
1999-03-31,238308.6,1048983.5,1287292.1,1083443.3,-203848.8,10516
1999-06-30,239488.8,1062135.4,1301624.2,1094285.0,-207339.2,10452
1999-09-30,234697.1,1088643.4,1323340.5,1119136.2,-204204.3,10396
1999-12-31,240618.8,1101745.7,1342364.5,1131300.8,-211063.8,10345
2000-03-31,237457.8,1107287.3,1344745.1,1141770.2,-202974.8,10275
2000-06-30,237775.6,1093079.2,1330854.8,1130159.1,-200695.7,10226
2000-09-30,230665.1,1112375.2,1343040.4,1146314.8,-196725.6,10113
2000-12-31,228061.4,1137456.9,1365518.2,1164634.3,-200884.0,10021
2001-03-31,176445.5,1156033.4,1332478.8,1135857.9,-196621.0,9941
