date,afs_fair_value,afs_amortized_cost,afs_unrealized,htm_fair_value,htm_amortized_cost,htm_unrealized,total_unrealized,api_scha,api_scaf,api_sc,api_scmv,api_htm_unrealized,api_bank_count,source
1994-03-31,539951.0,479936.3,60014.7,444162.9,602648.1,-158485.2,-98470.5,606977.2,542103.8,1149077.0,925473.8,-223607.3,13232,both
1994-06-30,512228.3,460086.2,52142.1,457185.2,628325.1,-171139.9,-118997.8,630796.2,513675.4,1144422.8,912849.5,-231622.1,13057,both
1994-09-30,485469.7,440056.2,45413.5,467699.4,647724.8,-180025.4,-134611.8,650087.6,485743.3,1135830.9,901976.6,-233854.3,12884,both
1994-12-31,470983.8,431584.6,39399.2,457308.6,642351.9,-185043.3,-145644.1,644132.1,471206.1,1115338.2,878225.5,-237112.6,12710,both
1995-03-31,464108.6,421111.1,42997.4,460740.9,635137.5,-174396.6,-131399.2,636749.9,464280.5,1101030.4,878418.1,-222612.3,12464,both
1995-06-30,468167.0,421175.3,46991.7,457672.4,627158.1,-169485.7,-122494.0,628785.8,468477.9,1097263.7,882329.3,-214934.4,12356,both
1995-09-30,496547.5,450579.1,45968.5,448101.6,612488.3,-164386.7,-118418.2,614056.8,496872.7,1110929.5,902878.5,-208051.1,12218,both
1995-12-31,787814.6,673871.0,113943.5,211879.8,311672.2,-99792.4,14151.1,312406.5,789003.5,1101410.1,895052.1,-206358.0,12078,both
1996-03-31,776796.0,675369.5,101426.5,214520.5,313954.8,-99434.3,1992.2,314675.2,777977.6,1092652.9,892910.2,-199742.6,11954,both
1996-06-30,769660.0,676365.1,93294.9,210481.7,316333.9,-105852.1,-12557.2,317121.2,770830.7,1087951.9,885811.5,-202140.4,11775,both
1996-09-30,760826.2,667479.3,93347.0,208877.2,310965.3,-102088.1,-8741.1,311822.3,761972.5,1073794.9,878160.3,-195634.6,11656,both
1996-12-31,764417.7,669869.3,94548.4,204160.4,298675.9,-94515.6,32.8,299628.9,765613.8,1065160.7,880326.9,-184915.8,11562,both
1997-03-31,781284.2,689105.1,92179.1,200898.2,289928.4,-89030.2,3148.9,291070.7,783222.7,1074293.4,891467.3,-182826.2,11457,both
1997-06-30,797267.2,695255.5,102011.8,197753.0,281309.8,-83556.7,18455.1,282480.9,799666.2,1082147.1,901555.6,-180591.5,11286,both
1997-09-30,806813.9,710721.2,96092.7,193016.8,276155.1,-83138.3,12954.5,277243.3,809040.4,1086283.7,915612.6,-170671.1,11155,both
1997-12-31,854301.6,747338.4,106963.2,190800.0,266258.7,-75458.7,31504.6,267275.9,856551.9,1123827.8,950526.8,-173300.9,11047,both
1998-03-31,897849.3,791039.5,106809.7,184720.7,256640.5,-71919.9,34889.9,258055.0,902354.0,1160409.0,990974.3,-169434.7,10909,both
1998-06-30,891711.3,780386.1,111325.1,182956.9,254348.7,-71391.8,39933.3,255871.1,895995.0,1151866.1,978691.2,-173174.9,10841,both
1998-09-30,931708.5,808321.4,123387.1,179856.2,246489.8,-66633.6,56753.5,247750.0,933391.7,1181141.7,1004965.2,-176176.5,10748,both
1998-12-31,1012309.7,878979.6,133330.1,173629.2,237059.2,-63430.0,69900.1,238283.1,1014235.8,1252518.9,1065645.9,-186873.0,10585,both
1999-03-31,1046616.7,906480.5,140136.2,169534.5,236997.3,-67462.8,72673.4,238308.6,1048983.5,1287292.1,1083443.3,-203848.8,10516,both
1999-06-30,1058740.3,933211.7,125528.6,167987.2,238979.9,-70992.7,54535.9,239488.8,1062135.4,1301624.2,1094285.0,-207339.2,10452,both
1999-09-30,1085271.8,964287.6,120984.3,166433.1,234148.7,-67715.6,53268.7,234697.1,1088643.4,1323340.5,1119136.2,-204204.3,10396,both
1999-12-31,1097912.8,982376.3,115536.5,166935.5,240017.4,-73081.9,42454.6,240618.8,1101745.7,1342364.5,1131300.8,-211063.8,10345,both
2000-03-31,1102703.9,995442.4,107261.5,165498.7,236950.8,-71452.1,35809.3,237457.8,1107287.3,1344745.1,1141770.2,-202974.8,10275,both
2000-06-30,1088259.9,984283.0,103977.0,163242.5,237162.8,-73920.4,30056.6,237775.6,1093079.2,1330854.8,1130159.1,-200695.7,10226,both
2000-09-30,1107987.3,995829.6,112157.7,158599.6,229968.8,-71369.3,40788.4,230665.1,1112375.2,1343040.4,1146314.8,-196725.6,10113,both
2000-12-31,1133606.3,1000208.4,133397.9,157545.5,227350.6,-69805.1,63592.8,228061.4,1137456.9,1365518.2,1164634.3,-200884.0,10021,both
2001-03-31,1152896.2,995631.1,157265.1,126334.8,175693.3,-49358.5,107906.5,176445.5,1156033.4,1332478.8,1135857.9,-196621.0,9941,both
2001-06-30,1166652.8,1012612.0,154040.8,120650.9,168839.0,-48188.1,105852.6,169619.1,1169554.0,1339173.1,1143840.0,-195333.1,9864,both
2001-09-30,1220980.9,1052581.6,168399.3,117613.1,161498.7,-43885.5,124513.7,161872.4,1224900.5,1386772.9,1196202.2,-190570.7,9819,both
2001-12-31,1301142.8,1137382.3,163760.6,119443.6,164104.3,-44660.7,119099.8,164624.7,1305212.0,1469836.7,1270603.5,-199233.2,9732,both
2002-03-31,1322714.9,1153346.2,169368.7,119254.8,165504.0,-46249.2,123119.5,166402.4,1326107.2,1492509.7,1280699.0,-211810.6,9635,both
2002-06-30,1365827.2,1190629.0,175198.2,122197.2,164406.0,-42208.8,132989.4,165381.0,1368956.8,1534337.8,1336475.9,-197862.0,9580,both
2002-09-30,1423088.4,1244775.9,178312.6,125607.3,166336.0,-40728.7,137583.9,167324.8,1426464.7,1593789.5,1404361.6,-189427.8,9528,both
2002-12-31,1469218.3,1292589.1,176629.2,125711.9,164116.6,-38404.7,138224.5,165498.7,1472824.4,1638323.1,1451332.6,-186990.5,9465,both
2003-03-31,1527863.4,1344587.2,183276.2,126760.2,167119.6,-40359.4,142916.8,168131.6,1531541.1,1699672.7,1501931.5,-197741.2,9425,both
2003-06-30,1601689.7,1409792.0,191897.7,124737.2,160940.1,-36203.0,155694.8,161521.0,1605273.1,1766794.2,1566667.7,-200126.5,9380,both
2003-09-30,1532580.5,1360513.4,172067.1,132526.6,169674.0,-37147.3,134919.8,170396.1,1536114.2,1706510.3,1512343.0,-194167.3,9349,both
2003-12-31,1595694.8,1425900.8,169794.0,133193.5,175052.7,-41859.2,127934.8,175863.0,1599283.3,1775146.2,1575246.0,-199900.2,9297,both
2004-03-31,1723004.1,1525108.5,197895.7,137008.1,184828.3,-47820.2,150075.5,185627.4,1726451.0,1912078.4,1690598.7,-221479.8,9230,both
